platform,year,depthmin,depthmax,item,hardPerc,hardmm,softPerc,softmm,Total_Area_Coverage,Recommended_Cleaning_Method
5,2008,-13,4,13,23,51,96,184,5,1
20,2017,-40,-30,20,11,37,77,179,77,1
26,2011,-39,-39,21,3,22,20,24,76,4
18,2010,-27,-32,12,28,131,84,81,84,3
11,2016,-8,-16,5,54,46,42,165,75,1
18,2006,-41,4,13,28,74,77,165,80,3
9,2017,-32,-30,8,8,18,74,108,74,1
26,2002,3,-6,13,49,16,81,116,9,1
28,2004,0,-12,1,44,11,83,174,5,1
24,2016,-38,-37,17,14,1,17,128,71,1
6,2006,-9,-39,18,31,111,53,200,76,3
6,2008,-24,-15,14,96,221,97,96,81,3
1,2003,-24,-42,19,41,105,28,26,41,3
6,2006,-12,-19,13,1,71,75,97,84,3
23,2004,-19,-16,11,84,186,50,191,83,3
30,2000,-38,-39,10,20,187,65,188,74,3
21,2005,3,-19,1,18,4,60,86,7,1
30,2005,-11,-13,15,49,123,64,138,87,3
19,1999,-4,-17,2,79,46,51,195,78,1
20,2001,-33,-24,21,31,93,86,174,86,3
9,2013,-10,4,9,7,62,62,104,7,3
16,2002,-16,-8,19,60,121,11,63,72,3
1,2004,-11,-18,1,96,43,99,176,88,3
8,2015,-32,-17,11,71,27,56,131,71,1
17,2004,-13,-13,8,79,45,32,198,81,1
23,2016,-16,-8,11,86,78,76,86,75,3
6,2004,-12,-16,16,53,8,2,103,70,1
9,2010,-18,-40,6,28,201,16,20,28,3
22,2013,-9,-39,13,8,59,83,187,81,1
18,1999,-19,-4,3,60,179,39,15,84,3
25,2002,-11,-4,20,66,38,50,179,6,1
8,2016,-26,-27,21,49,71,92,49,90,3
14,2012,-8,-8,3,30,169,9,98,6,3
16,2010,-10,-17,0,13,195,78,193,87,3
20,2001,-24,-15,1,41,0,70,100,82,1
0,2014,-39,-32,15,70,199,15,65,90,3
13,2010,-27,-39,17,63,240,76,108,76,3
29,2005,-10,-24,1,17,23,84,83,70,1
33,2005,0,-37,8,11,93,85,127,86,3
31,2005,-24,-31,12,28,173,96,75,90,3
22,1999,-7,-18,4,48,50,81,50,89,1
6,2000,-41,4,1,10,8,11,108,87,1
17,2016,-24,4,12,78,10,61,132,11,1
7,2000,-30,-33,3,10,80,7,167,10,3
31,2004,-37,-31,11,7,16,46,71,46,1
19,2010,-41,-12,19,43,7,41,115,43,1
20,2016,-42,-17,20,12,134,11,123,12,3
22,2017,-11,-24,8,18,6,55,32,72,4
14,2010,3,-8,11,92,6,83,64,11,3
30,2015,-19,-11,4,75,12,0,187,82,1
27,2005,-33,-29,14,26,22,93,30,90,1
33,2013,-18,-18,3,48,9,89,138,91,1
0,2004,-9,-7,9,29,27,5,121,10,1
15,2000,-6,-41,6,32,42,15,109,82,1
17,2015,-32,-10,8,89,3,84,133,86,3
3,2002,-33,4,12,7,13,61,170,90,1
29,2006,-31,-27,0,6,195,2,92,6,3
5,2004,-38,-30,5,69,9,97,183,90,1
6,2015,-4,-38,13,87,9,93,134,84,3
29,2007,-24,-32,10,76,215,18,192,76,3
13,2002,-8,-40,8,95,23,0,19,80,3
15,2002,-17,-26,1,72,118,59,165,85,3
9,2002,-10,-7,6,17,27,75,75,6,1
24,2002,-29,-40,20,98,246,76,197,90,3
29,2007,-17,-15,2,5,27,98,188,70,1
5,2005,-26,-24,17,10,31,10,97,10,1
9,2011,-4,-32,19,61,33,17,87,91,1
9,2012,-37,-17,21,9,39,80,23,80,1
0,1999,-8,-7,15,81,4,29,122,7,1
2,2014,-24,-9,20,50,153,31,99,75,3
11,2015,-11,-8,19,6,140,70,41,9,3
23,2005,-15,-24,15,5,112,40,36,71,3
12,2003,-40,-31,0,20,246,45,41,90,3
33,2011,-18,-31,17,37,209,90,134,90,3
14,2010,-38,-19,15,78,40,80,93,80,1
33,2000,-6,0,4,84,4,91,172,10,1
2,2009,-24,-29,3,17,93,39,124,39,3
6,2008,0,-19,16,25,14,97,98,9,1
22,2001,-24,-24,11,33,128,86,110,82,3
13,2010,3,-10,8,65,185,94,149,5,3
1,2000,-39,-12,6,21,122,82,39,82,3
12,2009,-19,-17,21,40,231,10,113,80,3
6,2009,-29,-19,20,9,56,75,74,84,1
1,2015,-41,-41,16,6,28,20,93,20,1
16,1999,-24,-4,17,33,140,68,91,81,3
6,2008,-15,-4,5,28,35,91,197,6,1
26,2005,-26,-8,5,8,177,74,64,72,3
29,2015,-41,-40,13,87,93,80,106,87,3
2,2013,-40,-18,8,6,240,82,148,82,3
20,2000,0,-29,6,90,53,76,163,74,3
23,2013,-9,-16,7,4,146,93,5,89,3
32,2006,-6,-32,2,8,5,1,113,74,1
12,2001,-39,-19,16,35,241,90,2,90,3
26,2011,-30,-24,8,28,250,47,173,47,3
14,2005,-39,-13,7,64,20,61,79,64,1
19,2004,-7,-9,11,28,137,77,114,10,3
28,2015,-27,-33,0,17,48,38,76,38,1
31,2012,-10,-15,17,95,158,85,10,76,3
11,2011,-34,-11,21,39,17,76,200,89,1
21,2011,-42,-10,13,34,233,28,11,34,3
14,2004,0,-4,4,32,10,86,185,5,1
14,2011,-6,-38,1,19,175,96,184,72,3
17,2004,-30,-30,21,39,221,85,12,85,3
18,2012,-29,-42,15,97,84,39,167,90,3
18,2017,-11,-39,21,32,167,14,183,32,3
7,2008,-14,-39,12,21,20,43,68,43,1
12,2013,-8,-32,19,52,219,72,101,79,3
14,2016,-26,-8,21,7,11,10,30,90,4
27,2007,-4,-10,21,72,68,80,54,6,3
3,2006,-9,-37,7,15,23,82,114,77,1
3,2000,-7,-8,1,4,10,29,96,10,1
4,2012,-42,-9,9,47,9,70,156,70,1
7,2003,-13,-13,20,51,35,95,191,81,1
10,2011,-4,-13,8,46,231,44,135,8,3
7,2014,-33,-33,0,17,32,84,92,84,1
28,2010,-4,-29,20,30,179,92,121,88,3
10,2014,-26,-8,4,49,123,11,140,78,3
14,2002,-26,-37,14,74,3,73,197,74,1
16,2016,-14,-15,18,18,92,23,16,85,3
0,2003,-15,-40,19,19,16,92,165,90,1
16,2001,-12,-18,3,88,3,59,99,77,3
4,2001,-7,-6,8,13,114,100,1,9,3
20,2017,-26,-11,13,63,38,91,148,75,1
11,2016,-42,-4,15,20,23,35,71,80,1
1,1999,-37,-32,1,37,17,96,193,90,1
7,2011,-18,0,11,33,10,15,77,10,1
29,2017,-12,-42,6,42,58,86,134,86,1
7,2015,-15,0,16,14,250,50,55,10,3
1,2003,-41,-4,1,30,24,81,176,73,1
8,2010,-40,-24,3,44,210,80,142,80,3
5,2003,-34,-34,14,15,210,90,97,90,3
22,2005,-14,-38,12,26,244,35,134,35,3
30,2006,-4,-40,11,49,7,16,134,78,1
5,2009,-33,-42,9,46,19,100,184,83,1
23,2008,-15,-6,6,27,157,34,89,70,3
0,2002,-32,-31,0,32,182,15,35,32,3
8,2005,-33,-15,12,54,11,26,127,87,1
27,1999,-33,-19,20,22,14,8,131,22,1
1,2014,-7,-40,10,43,23,34,148,71,1
11,2007,-29,-8,20,12,118,13,158,77,3
8,2003,-6,-6,8,74,40,76,27,11,1
18,2003,-41,-12,17,3,102,52,69,52,3
30,2013,-4,-41,12,72,86,82,106,88,3
25,2011,-27,-12,21,97,32,2,104,72,3
30,2012,-19,-16,19,67,7,10,193,86,1
12,2008,-6,0,18,4,41,1,184,8,1
7,2012,-9,-26,0,71,20,59,44,82,0
32,2001,-27,-19,21,27,224,35,32,74,3
15,1999,-37,-34,7,69,215,7,166,84,3
23,2002,-26,-13,17,37,115,73,85,86,3
20,2011,-8,-33,11,33,17,90,106,82,1
3,2014,-6,-10,14,50,23,10,175,11,1
21,2013,-13,-29,4,80,246,47,120,84,3
14,1999,-38,-33,20,15,16,17,136,80,1
9,2009,-10,-37,18,41,208,27,111,77,3
29,2000,-34,-19,17,26,42,72,84,72,1
20,2011,-17,-19,3,14,23,73,55,74,1
5,1999,3,-16,18,12,170,33,92,11,3
3,2007,-39,-39,7,10,106,95,187,85,3
22,2002,-10,-14,19,33,80,78,80,78,3
7,2014,-32,-34,17,32,22,94,173,90,1
13,2002,-40,0,3,15,81,75,114,77,3
8,2001,-42,-10,0,2,52,13,110,13,1
33,2000,-17,-32,19,48,240,93,155,90,3
0,2015,-40,-9,0,53,7,11,169,53,1
33,2008,-42,-4,17,80,43,87,28,77,1
4,2016,-10,-38,16,36,195,96,154,84,3
3,2011,-33,-39,1,46,182,55,62,81,3
20,2013,-40,-38,18,0,249,7,118,73,3
4,2016,3,-6,8,90,15,9,132,10,3
23,2017,-14,-7,14,53,0,86,155,71,1
28,2017,-17,-40,12,0,66,36,90,36,3
15,2015,-24,0,6,55,245,7,76,85,3
29,2000,-8,-14,12,94,0,87,110,83,3
18,2017,-40,0,1,40,122,62,151,73,3
11,2006,-7,-34,18,96,28,11,106,88,3
33,1999,-10,-30,9,96,59,86,171,75,3
23,2010,-7,-12,16,17,41,77,45,7,1
16,2003,3,-6,6,71,40,91,87,8,1
2,2017,-18,-4,12,9,156,11,95,74,3
1,2003,-42,-7,1,6,170,14,84,14,3
13,2005,-30,-27,13,75,4,100,85,90,1
9,2009,-17,-16,5,2,62,4,144,86,3
31,2013,-19,-17,7,14,44,71,145,79,1
14,2010,-33,-14,4,8,10,7,144,70,1
14,2010,-10,-27,7,61,0,2,196,85,1
25,2013,-16,-10,2,95,234,59,138,82,3
3,2008,-34,-40,2,57,8,65,120,77,1
8,2001,-17,-4,7,61,190,52,130,74,3
6,2012,-18,-15,17,67,23,96,105,87,1
33,2015,-9,-34,18,39,191,79,200,87,3
2,2009,-18,-10,21,36,0,28,114,70,1
17,2010,-6,-16,14,25,15,100,178,70,1
22,2003,-39,-11,16,47,33,97,117,90,1
2,2013,-11,-24,7,83,65,85,113,87,3
33,2009,-39,-33,6,10,37,83,137,71,1
8,2009,3,-13,12,97,85,16,122,9,3
1,2001,-6,-26,20,88,2,57,174,71,3
16,2008,-26,-29,21,73,156,91,50,90,3
10,2005,-40,-15,8,4,3,94,60,90,1
6,1999,-14,-17,9,22,213,59,145,76,3
21,2006,-13,-42,7,27,15,76,51,76,1
10,2017,-40,-39,4,30,9,83,127,82,1
16,1999,-33,-37,3,5,29,95,97,90,1
25,2001,-33,-11,13,4,32,99,131,71,1
25,2015,-37,-14,1,99,120,77,88,90,3
18,1999,-33,-26,20,33,25,22,125,33,1
2,2000,-42,4,7,16,191,75,184,80,3
6,2016,-17,-29,12,29,27,71,156,85,1
3,1999,-30,-4,9,44,20,41,93,78,1
16,2012,-26,-9,18,17,207,98,136,70,3
0,2008,-10,-29,17,78,40,64,132,72,1
4,2001,-31,-26,16,2,16,77,82,77,1
0,2000,-37,-8,18,92,67,34,162,77,3
0,2010,-33,-14,20,22,27,16,124,87,1
33,2014,-32,-7,0,34,29,100,145,78,1
27,2017,-12,-38,2,21,152,80,55,80,3
15,2016,-12,-12,8,27,4,53,117,88,1
4,2012,3,-24,4,17,194,12,79,73,3
25,2017,-39,-30,4,14,40,12,46,14,2
9,2003,-32,-19,19,4,92,29,9,29,3
19,2000,-19,-9,21,71,36,56,91,86,1
24,2006,-16,-27,18,40,169,58,176,88,3
24,2009,3,-7,13,17,67,80,21,10,3
11,2001,-8,-8,20,2,214,10,40,9,3
4,2016,3,-38,20,26,19,37,170,79,1
33,2008,-29,-24,14,100,60,65,180,90,3
31,2009,-8,-9,7,28,92,94,78,10,3
