platform,year,depthmin,depthmax,item,hardPerc,hardmm,softPerc,softmm,Total_Area_Coverage,Recommended_Cleaning_Method
L10-AC,2003,-40,-12,Row A,61,217,33,14,61,Mechanical cleaning methods
L10-BB,2016,-11,-4,Row 1-2,38,60,84,74,11,Mechanical cleaning methods
K9-C,2011,-38,-14,Row 1,94,2,52,45,90,Mechanical cleaning methods
L10-AD,2016,-29,-17,Row B,57,54,50,93,77,High-pressure water jetting
L10-AC,2007,-19,-6,Row 3-1,10,9,85,110,72,High-pressure water jetting
K12-A,2010,-18,-12,Conductors,70,23,13,98,80,High-pressure water jetting
L10-M,2007,-32,-31,Level 2,4,155,19,31,19,Mechanical cleaning methods
K9-B,2003,-15,-18,Level 1,7,24,4,135,79,High-pressure water jetting
L10-AC,2005,-34,4,Row D,78,166,99,194,75,Mechanical cleaning methods
L10-L,2009,-41,-10,Level 2 ,28,21,44,200,44,High-pressure water jetting
G16-A,2004,-26,-33,Row 5,12,16,2,71,12,High-pressure water jetting
K9-C,2016,-38,-6,Level 3,48,44,9,11,73,Laser cleaning
L10-AC,2003,-12,-10,Row 2,16,243,77,126,87,Mechanical cleaning methods
L10-AD,2002,-14,-9,Row 2,6,224,96,200,76,Mechanical cleaning methods
K12-C,2005,-24,-26,Risers,52,84,97,138,90,Mechanical cleaning methods
L10-AD,2017,-18,-42,Row 3,97,2,23,82,90,Mechanical cleaning methods
K12-BP,2009,-34,-37,Row 1,10,69,20,56,86,Mechanical cleaning methods
K12-C,2011,-40,-42,Rows and Elevations,19,144,7,89,19,Mechanical cleaning methods
L10-AD,2014,-41,-24,Level 2 ,68,26,86,67,86,High-pressure water jetting
G14-A,2015,-26,4,Row 3-1,24,9,51,183,85,High-pressure water jetting
L10-G,2015,0,-26,Level 3,15,97,13,150,76,Mechanical cleaning methods
K2-A,2009,-31,-13,Caissons,78,2,72,195,83,High-pressure water jetting
K12-C,2006,-33,-38,Row 3,46,24,13,188,90,High-pressure water jetting
L10-L,2009,-39,-39,Row 2-3,88,196,92,89,91,Mechanical cleaning methods
