platform,year,depthmin,depthmax,item,hardPerc,hardmm,softPerc,softmm,Total_Area_Coverage,Recommended_Cleaning_Method
E17-A,2001,-33,-27,Level 1 ,61,25,29,173,61,High-pressure water jetting
K12-K,1999,-10,-19,Row A,76,156,6,74,73,Mechanical cleaning methods
L10-F,2007,-9,-41,Row D,32,73,18,12,32,Mechanical cleaning methods
E17-A,2002,0,-24,Row 2-3,97,244,2,27,76,Mechanical cleaning methods
K9-A,1999,-32,-8,Row 2-3,2,53,81,148,79,Mechanical cleaning methods
L10-F,1999,-18,-33,Row 3,97,223,3,56,90,Mechanical cleaning methods
K9-A,2006,-41,-10,Conductors,36,126,52,177,52,Mechanical cleaning methods
K2-A,2001,-29,-31,Level 1 ,100,206,0,82,90,Mechanical cleaning methods
E17-A,2004,-16,-27,Risers,75,182,24,135,79,Mechanical cleaning methods
L5-A,2004,-10,-40,Conductors,23,57,48,59,48,Mechanical cleaning methods
K12-CC,2000,-17,-30,Level 2,4,23,34,182,87,High-pressure water jetting
K9-B,2007,-18,-34,Level 2 ,67,89,10,140,67,Mechanical cleaning methods
L10-M,2005,-4,-32,Level 2,92,226,7,139,76,Mechanical cleaning methods
D15-A,2006,-6,-34,Row 5,30,168,49,16,70,Mechanical cleaning methods
L10-AC,2006,-33,-41,Row D,46,56,25,158,79,Mechanical cleaning methods
L10-L,2013,-33,-38,Level 1 ,12,58,11,123,80,Mechanical cleaning methods
L5-A,2015,-37,-40,Row C,80,108,11,107,90,Mechanical cleaning methods
L10-G,2004,-38,-12,Row A,85,181,14,53,85,Mechanical cleaning methods
G17-AP,2001,-27,-39,Level 1 ,62,137,19,90,62,Mechanical cleaning methods
K12-CC,2012,-16,-8,Row 5,93,234,4,9,74,Mechanical cleaning methods
K12-BD,2011,-18,-9,Row 5,14,74,10,153,87,Mechanical cleaning methods
K12-CC,2002,-33,-4,Level 1,77,66,5,139,89,Mechanical cleaning methods
L10-B,2008,-6,-38,Row 3-1,65,227,15,171,76,Mechanical cleaning methods
K12-K,1999,-31,-27,Row 1,94,182,2,116,90,Mechanical cleaning methods
K12-D,2017,0,-6,Row B,37,39,27,162,10,High-pressure water jetting
L10-G,2012,-8,-18,Row E,40,14,59,31,71,Ultrasonic cleaning
L10-AR,2014,-40,-33,Rows and Elevations,99,121,1,112,89,Mechanical cleaning methods
G14-A,2005,0,-26,Row 1,44,111,27,172,82,Mechanical cleaning methods
L10-F,2014,-40,-32,Row A,3,73,19,194,80,Mechanical cleaning methods
L10-B,2003,-7,-33,Level 1 ,91,13,6,159,80,Mechanical cleaning methods
K12-A,2009,-11,0,Row D,6,164,25,107,6,Mechanical cleaning methods
L10-AD,2003,-16,-31,Row B,74,22,16,105,84,High-pressure water jetting
G14-B,2007,-11,-31,Row 1-2,2,45,64,79,86,High-pressure water jetting
G14-A,2003,-14,-4,Level 1 ,11,8,69,43,7,Ultrasonic cleaning
K9-C,2016,-27,-34,Row 1-2,70,76,28,99,70,Mechanical cleaning methods
K12-K,2006,0,-29,Row 4,4,144,66,120,91,Mechanical cleaning methods
G17-A,1999,0,-40,Level 1 ,2,104,61,29,80,Mechanical cleaning methods
D15-A,2003,-31,-29,Row B,69,151,31,73,69,Mechanical cleaning methods
L10-G,2017,-30,-7,Row 4,82,94,13,179,91,Mechanical cleaning methods
L10-B,2003,-39,-29,Level 1 ,59,204,29,180,59,Mechanical cleaning methods
L10-AC,2007,-37,-38,Row 5,98,234,1,11,84,Mechanical cleaning methods
K2-A,2007,-34,-16,Row C,75,98,21,123,75,Mechanical cleaning methods
D15-A,2013,-8,-10,Row 5,79,155,15,10,6,Mechanical cleaning methods
K12-A,2003,-17,-9,Conductors,62,162,0,2,80,Mechanical cleaning methods
K12-K,2013,-33,-14,Row D,39,191,12,47,83,Mechanical cleaning methods
L10-B,2008,-27,-19,Row D,97,239,2,7,77,Mechanical cleaning methods
L10-E,2015,-30,0,Row 3,13,78,61,175,83,Mechanical cleaning methods
K12-G,2008,-29,-18,Level 2,25,66,13,144,71,Mechanical cleaning methods
L10-G,2015,-26,-30,Row 2-3,86,73,0,126,86,Mechanical cleaning methods
K9-B,2008,-14,-34,Level 2 ,61,241,6,50,84,Mechanical cleaning methods
K12-A,2009,-17,-8,Row B,4,110,31,0,83,Mechanical cleaning methods
L10-F,2001,-38,-15,Row 2-3,72,166,23,0,72,Mechanical cleaning methods
G16-A,2009,-27,-40,Row A,76,155,4,145,76,Mechanical cleaning methods
L10-AC,2009,-14,-27,Row 5,47,213,45,191,82,Mechanical cleaning methods
L10-B,2005,-37,-40,Row 1-2,53,61,15,150,76,Mechanical cleaning methods
L10-L,2007,-37,-17,Level 2,50,244,29,44,50,Mechanical cleaning methods
L10-L,2017,-11,-10,Row 3-1,70,175,0,53,91,Mechanical cleaning methods
K9-A,2008,-8,-8,Row 2,83,217,4,44,7,Mechanical cleaning methods
G14-B,2002,-33,-29,Row 3-1,54,226,9,196,54,Mechanical cleaning methods
K2-A,2001,-18,-29,Level 2 ,77,14,11,113,79,Mechanical cleaning methods
K9-C,2009,-15,-38,Level 2 ,21,42,2,44,21,Laser cleaning
L5-A,2014,-12,-32,Row E,55,176,44,133,79,Mechanical cleaning methods
K2-A,2007,-30,-14,Row 2-3,22,244,9,128,74,Mechanical cleaning methods
G17-AP,2008,-10,-15,Row 5,82,175,18,192,78,Mechanical cleaning methods
K12-G,2001,-38,-26,Row 3,70,28,0,198,70,High-pressure water jetting
K12-BP,2000,-34,-14,Rows and Elevations,18,4,46,183,80,High-pressure water jetting
K12-CC,2008,-34,-29,Level 1 ,21,232,0,70,21,Mechanical cleaning methods
L10-G,2004,-29,0,Row C,53,77,42,127,91,Mechanical cleaning methods
K9-A,2010,-8,-6,Row 1,46,58,11,198,7,Mechanical cleaning methods
K12-BD,2017,-11,-11,Level 1 ,42,193,35,97,86,Mechanical cleaning methods
L10-AP,1999,-11,-30,Row C,58,67,33,126,83,Mechanical cleaning methods
L10-G,2017,-13,-40,Row 3-1,13,27,43,18,43,Ultrasonic cleaning
L10-EE,2016,-39,-29,Row B,28,132,3,90,28,Mechanical cleaning methods
L10-D,2013,-40,-31,Row 4,39,91,17,120,79,Mechanical cleaning methods
K12-BP,2017,-40,-10,Row 3,40,244,6,90,40,Mechanical cleaning methods
G17-AP,2010,0,-40,Row A,73,129,9,108,79,Mechanical cleaning methods
L5-A,2008,-14,-4,Level 1 ,75,45,9,65,9,Mechanical cleaning methods
K12-BP,2005,-31,-40,Row C,79,194,13,85,81,Mechanical cleaning methods
L5-A,2017,-17,-24,Conductors,59,190,26,172,77,Mechanical cleaning methods
L10-AR,1999,-14,-13,Row A,15,212,53,173,76,Mechanical cleaning methods
K12-K,2011,-26,-18,Row E,12,39,38,124,86,High-pressure water jetting
K12-CC,2004,0,-19,Row 2,72,23,6,127,7,High-pressure water jetting
K9-B,1999,-33,-41,Level 2 ,88,144,11,87,90,Mechanical cleaning methods
K2-A,2001,-38,-11,Row B,91,215,6,24,90,Mechanical cleaning methods
L10-B,2009,-41,-8,Caissons,12,25,52,90,52,High-pressure water jetting
K12-BP,2016,3,-38,Rows and Elevations,6,159,31,107,83,Mechanical cleaning methods
L5-A,2005,-30,-13,Level 2,32,229,20,195,76,Mechanical cleaning methods
L10-M,2014,-24,-13,Row 5,52,182,3,136,78,Mechanical cleaning methods
L10-G,2013,-40,-32,Level 3,89,159,6,69,72,Mechanical cleaning methods
L10-F,2015,-41,0,Row 2,58,205,17,175,74,Mechanical cleaning methods
K12-A,2012,-41,-33,Level 1,100,214,0,97,75,Mechanical cleaning methods
K12-BP,1999,-30,-15,Row 1-2,22,51,10,21,79,Mechanical cleaning methods
L10-F,2000,-41,-41,Row C,18,31,21,181,21,High-pressure water jetting
K12-BP,2004,-34,-29,Row 3,84,138,5,58,84,Mechanical cleaning methods
L10-L,2015,-41,0,Level 2,11,213,30,9,83,Mechanical cleaning methods
G16-A,2004,-37,-33,Row 2,62,84,4,129,62,Mechanical cleaning methods
L10-G,2010,-6,-40,Row A,17,146,67,125,87,Mechanical cleaning methods
K12-D,2015,-16,-9,Row B,4,139,84,69,77,Mechanical cleaning methods
L10-D,2006,-7,-39,Rows and Elevations,54,172,26,81,88,Mechanical cleaning methods
K9-B,2012,-34,-40,Row 2-3,62,36,22,192,88,High-pressure water jetting
D15-A,2007,-30,-29,Row 2-3,40,17,15,116,40,High-pressure water jetting
L10-L,2006,-33,-37,Row 2-3,77,247,16,106,77,Mechanical cleaning methods
L10-F,2001,-34,-19,Level 3,67,244,25,46,67,Mechanical cleaning methods
L10-AR,2000,3,-37,Row 4,96,206,4,118,91,Mechanical cleaning methods
D15-A,1999,-19,-26,Level 3,14,139,11,9,73,Mechanical cleaning methods
K9-C,2013,-37,-37,Row B,35,197,18,194,79,Mechanical cleaning methods
L10-AD,2012,-42,-4,Row E,22,144,37,183,79,Mechanical cleaning methods
L10-L,2011,-18,-24,Level 1 ,57,123,7,179,76,Mechanical cleaning methods
K9-A,2013,-29,-4,Row 3-1,73,157,27,152,78,Mechanical cleaning methods
K12-A,2008,-39,-38,Level 2 ,28,152,16,138,91,Mechanical cleaning methods
K12-CC,2006,-7,-13,Row B,43,145,31,106,6,Mechanical cleaning methods
L10-BB,2001,-42,-18,Row B,77,199,21,148,77,Mechanical cleaning methods
L10-BB,2005,-16,-6,Row 4,13,231,3,152,79,Mechanical cleaning methods
L10-F,2012,-16,4,Row 2,42,76,52,112,5,Mechanical cleaning methods
L10-AR,2005,-17,-29,Row 3,7,76,7,92,81,Mechanical cleaning methods
L10-G,2012,-24,-32,Row 1,93,72,1,57,90,Mechanical cleaning methods
L10-M,2005,-40,-18,Row 1,49,26,22,38,49,Ultrasonic cleaning
K12-G,2000,-29,-33,Row E,32,93,29,16,32,Mechanical cleaning methods
L10-AD,2014,-42,-11,Level 3,33,127,35,36,35,Mechanical cleaning methods
L10-BB,2005,-17,-12,Level 3,55,20,35,165,85,High-pressure water jetting
K9-A,2010,-15,-26,Rows and Elevations,85,202,14,41,88,Mechanical cleaning methods
L10-AC,2009,-27,4,Row D,75,218,4,186,84,Mechanical cleaning methods
L10-D,2012,-33,-9,Level 1 ,6,16,33,83,71,High-pressure water jetting
L10-L,2010,-33,-29,Caissons,61,91,2,192,61,Mechanical cleaning methods
E17-A,2006,-30,-34,Row 3,86,250,6,55,86,Mechanical cleaning methods
K2-A,1999,0,-14,Rows and Elevations,11,90,27,17,10,Mechanical cleaning methods
L10-E,2011,-39,-7,Conductors,54,87,13,65,88,Mechanical cleaning methods
L10-AD,2016,-27,-26,Rows and Elevations,93,123,1,128,90,Mechanical cleaning methods
K12-C,2009,-30,-40,Row D,49,27,16,129,49,High-pressure water jetting
L10-M,2014,-26,0,Row 2,80,204,4,51,87,Mechanical cleaning methods
L10-D,2004,-31,-42,Level 1 ,54,187,29,41,79,Mechanical cleaning methods
L10-G,2015,-39,-24,Row B,34,77,8,111,34,Mechanical cleaning methods
K12-C,2017,-4,-37,Risers,14,162,1,84,91,Mechanical cleaning methods
L10-B,2001,-42,-19,Row B,3,95,95,26,90,Mechanical cleaning methods
L10-BB,2004,-16,-18,Row 1,13,230,5,138,71,Mechanical cleaning methods
K12-CC,2002,-37,-32,Row 2,85,98,15,12,85,Mechanical cleaning methods
G14-A,2008,-12,0,Level 2 ,3,243,63,189,11,Mechanical cleaning methods
E17-A,2003,-24,-27,Row A,26,179,45,136,45,Mechanical cleaning methods
D15-A,2004,-24,-9,Row 3-1,15,164,56,179,87,Mechanical cleaning methods
L10-L,2010,-39,-42,Level 1 ,89,5,3,112,70,Mechanical cleaning methods
L10-D,2005,-15,-16,Row 3-1,28,12,72,190,79,High-pressure water jetting
L5-A,2015,-27,-33,Caissons,51,232,40,119,51,Mechanical cleaning methods
D15-A,2006,-19,-31,Row 3,30,205,69,197,69,Mechanical cleaning methods
G16-A,2003,-7,-13,Row A,32,30,47,69,10,High-pressure water jetting
G17-A,2014,-13,-41,Level 2 ,50,151,38,68,50,Mechanical cleaning methods
K12-G,2007,-9,-11,Row B,73,222,8,72,5,Mechanical cleaning methods
