platform,year,depthmin,depthmax,Item,AvgMax,hardperc,hardmm,softperc,softmm,Remarks
E17-A,2012,3.0,-12.0,Rows and Elevations,A,43.0,20.0,57.0,14.0,
E17-A,2012,3.0,-12.0,Risers,A,26.0,24.0,75.0,16.0,
E17-A,2012,3.0,-12.0,Caissons,A,45.0,29.0,55.0,22.0,
E17-A,2012,3.0,-12.0,Conductors,A,33.0,19.0,79.0,9.0,
E17-A,2012,-12.0,-39.0,Rows and Elevations,A,44.0,10.0,56.0,21.0,
E17-A,2012,-12.0,-39.0,Risers,A,38.0,13.0,62.0,21.0,
E17-A,2012,-12.0,-39.0,Caissons,A,45.0,29.0,55.0,22.0,
E17-A,2012,-12.0,-39.0,Conductors,A,48.0,12.0,54.0,20.0,
E17-A,2012,3.0,-12.0,Rows and Elevations,M,70.0,40.0,90.0,20.0,
E17-A,2012,3.0,-12.0,Risers,M,60.0,40.0,90.0,20.0,
E17-A,2012,3.0,-12.0,Caissons,M,70.0,60.0,80.0,30.0,
E17-A,2012,3.0,-12.0,Conductors,M,60.0,20.0,100.0,20.0,
E17-A,2012,-12.0,-39.0,Rows and Elevations,M,70.0,10.0,80.0,30.0,
E17-A,2012,-12.0,-39.0,Risers,M,70.0,20.0,90.0,30.0,
E17-A,2012,-12.0,-39.0,Caissons,M,70.0,60.0,80.0,30.0,
E17-A,2012,-12.0,-39.0,Conductors,M,80.0,20.0,80.0,60.0,
E17-A,2012,3.0,0.0,Row 1,A,50.0,30.0,50.0,10.0,
E17-A,2012,3.0,0.0,Row 2,A,10.0,40.0,90.0,20.0,
E17-A,2012,3.0,0.0,Row A,A,70.0,30.0,30.0,5.0,
E17-A,2012,3.0,0.0,Row B,A,60.0,30.0,40.0,10.0,
E17-A,2012,0.0,-10.0,Row 1,A,20.0,10.0,80.0,10.0,
E17-A,2012,0.0,-10.0,Row 2,A,10.0,10.0,90.0,20.0,
E17-A,2012,0.0,-10.0,Row A,A,30.0,20.0,70.0,20.0,
E17-A,2012,0.0,-10.0,Row B,A,40.0,10.0,60.0,10.0,
E17-A,2012,-10.0,-29.5,Row 1,A,40.0,10.0,60.0,20.0,
E17-A,2012,-10.0,-29.5,Row 2,A,50.0,10.0,50.0,20.0,
E17-A,2012,-10.0,-29.5,Row A,A,30.0,10.0,70.0,20.0,
E17-A,2012,-10.0,-29.5,Row B,A,70.0,10.0,30.0,20.0,
E17-A,2012,-29.5,-39.0,Row 1,A,50.0,10.0,50.0,30.0,
E17-A,2012,-29.5,-39.0,Row 2,A,20.0,10.0,80.0,20.0,
E17-A,2012,-29.5,-39.0,Row A,A,20.0,10.0,80.0,20.0,
E17-A,2012,-29.5,-39.0,Row B,A,70.0,10.0,30.0,20.0,
E17-A,2012,-10.0,-10.0,Level 1,A,,,,,
E17-A,2012,-10.0,-10.0,Conductor Field,A,,,,,
E17-A,2012,-29.5,-29.5,Level 2,A,,,,,
E17-A,2012,-29.5,-29.5,Conductor Field,A,,,,,
E17-A,2012,-39.0,-39.0,Level 3,A,,,,,
E17-A,2012,-39.0,-39.0,Conductor Field,A,,,,,
E17-A,2010,3.0,-12.0,Rows and Elevations,A,14.0,6.0,78.0,5.0,
E17-A,2010,3.0,-12.0,Risers,A,0.0,0.0,38.0,7.0,
E17-A,2010,3.0,-12.0,Caissons,A,13.0,10.0,88.0,6.0,
E17-A,2010,3.0,-12.0,Conductors,A,13.0,5.0,68.0,5.0,
E17-A,2010,-12.0,-39.0,Rows and Elevations,A,83.0,5.0,8.0,7.0,
E17-A,2010,-12.0,-39.0,Risers,A,46.0,4.0,26.0,13.0,
E17-A,2010,-12.0,-39.0,Caissons,A,35.0,6.0,40.0,10.0,
E17-A,2010,-12.0,-39.0,Conductors,A,33.0,5.0,73.0,5.0,
E17-A,2010,3.0,-12.0,Rows and Elevations,M,70.0,10.0,100.0,5.0,
E17-A,2010,3.0,-12.0,Risers,M,0.0,0.0,100.0,50.0,
E17-A,2010,3.0,-12.0,Caissons,M,40.0,10.0,100.0,10.0,
E17-A,2010,3.0,-12.0,Conductors,M,30.0,5.0,100.0,5.0,
E17-A,2010,-12.0,-39.0,Rows and Elevations,M,90.0,5.0,10.0,10.0,
E17-A,2010,-12.0,-39.0,Risers,M,95.0,5.0,70.0,20.0,
E17-A,2010,-12.0,-39.0,Caissons,M,75.0,10.0,80.0,10.0,
E17-A,2010,-12.0,-39.0,Conductors,M,100.0,5.0,100.0,5.0,
E17-A,2010,3.0,0.0,Row 1,A,0.0,0.0,100.0,5.0,
E17-A,2010,3.0,0.0,Row 2,A,0.0,0.0,100.0,5.0,
E17-A,2010,3.0,0.0,Row A,A,0.0,0.0,100.0,5.0,
E17-A,2010,3.0,0.0,Row B,A,0.0,0.0,100.0,5.0,
E17-A,2010,0.0,-10.0,Row 1,A,5.0,10.0,95.0,5.0,
E17-A,2010,0.0,-10.0,Row 2,A,10.0,10.0,90.0,5.0,
E17-A,2010,0.0,-10.0,Row A,A,5.0,10.0,95.0,5.0,
E17-A,2010,0.0,-10.0,Row B,A,5.0,10.0,95.0,5.0,
E17-A,2010,-10.0,-29.5,Row 1,A,90.0,5.0,10.0,10.0,
E17-A,2010,-10.0,-29.5,Row 2,A,80.0,5.0,10.0,5.0,
E17-A,2010,-10.0,-29.5,Row A,A,80.0,5.0,10.0,5.0,
E17-A,2010,-10.0,-29.5,Row B,A,90.0,5.0,0.0,0.0,
E17-A,2010,-29.5,-39.0,Row 1,A,95.0,5.0,5.0,10.0,
E17-A,2010,-29.5,-39.0,Row 2,A,80.0,5.0,10.0,5.0,
E17-A,2010,-29.5,-39.0,Row A,A,90.0,5.0,0.0,0.0,
E17-A,2010,-29.5,-39.0,Row B,A,90.0,5.0,10.0,5.0,
E17-A,2010,-10.0,-10.0,Level 1,A,70.0,5.0,0.0,0.0,
E17-A,2010,-10.0,-10.0,Conductor Field,A,40.0,5.0,0.0,0.0,
E17-A,2010,-29.5,-29.5,Level 2,A,80.0,5.0,10.0,10.0,
E17-A,2010,-29.5,-29.5,Conductor Field,A,80.0,5.0,10.0,10.0,
E17-A,2010,-39.0,-39.0,Level 3,A,70.0,5.0,5.0,5.0,
E17-A,2010,-39.0,-39.0,Conductor Field,A,70.0,5.0,10.0,5.0,
E17-A,2017,3.0,-12.0,Rows and Elevations,A,28.0,5.0,68.0,9.0,
E17-A,2017,3.0,-12.0,Risers,A,0.0,0.0,0.0,0.0,
E17-A,2017,3.0,-12.0,Caissons,A,9.0,10.0,89.0,30.0,
E17-A,2017,3.0,-12.0,Conductors,A,16.0,38.0,84.0,3.0,
E17-A,2017,-12.0,-39.0,Rows and Elevations,A,0.0,0.0,90.0,60.0,
E17-A,2017,-12.0,-39.0,Risers,A,0.0,0.0,0.0,0.0,
E17-A,2017,-12.0,-39.0,Caissons,A,,,,,
E17-A,2017,-12.0,-39.0,Conductors,A,4.0,0.0,96.0,37.0,
E17-A,2017,3.0,-12.0,Rows and Elevations,M,80.0,30.0,100.0,60.0,
E17-A,2017,3.0,-12.0,Risers,M,0.0,0.0,0.0,0.0,
E17-A,2017,3.0,-12.0,Caissons,M,15.0,15.0,90.0,30.0,
E17-A,2017,3.0,-12.0,Conductors,M,25.0,5.0,95.0,25.0,
E17-A,2017,-12.0,-39.0,Rows and Elevations,M,0.0,0.0,100.0,60.0,
E17-A,2017,-12.0,-39.0,Risers,M,0.0,0.0,0.0,0.0,
E17-A,2017,-12.0,-39.0,Caissons,M,,,,,
E17-A,2017,-12.0,-39.0,Conductors,M,20.0,55.0,100.0,50.0,
E17-A,2017,3.0,-12.0,Row 1,A,0.0,0.0,100.0,60.0,
E17-A,2017,3.0,-12.0,Row 2,A,80.0,30.0,20.0,30.0,
E17-A,2017,3.0,-12.0,Row A,A,80.0,30.0,10.0,30.0,
E17-A,2017,3.0,-12.0,Row B,A,10.0,20.0,90.0,20.0,
E17-A,2017,-12.0,-39.0,Row 1,A,0.0,0.0,100.0,60.0,
E17-A,2017,-12.0,-39.0,Row 2,A,0.0,0.0,90.0,60.0,
E17-A,2017,-12.0,-39.0,Row A,A,0.0,0.0,90.0,60.0,
E17-A,2017,-12.0,-39.0,Row B,A,0.0,0.0,100.0,60.0,
E17-A,2017,-10.0,-10.0,Level 1 ,A,0.0,0.0,100.0,10.0,
E17-A,2017,-10.0,-10.0,Conductor Field,A,0.0,0.0,90.0,20.0,
E17-A,2017,-29.5,-29.5,Level 2,A,0.0,0.0,90.0,60.0,
E17-A,2017,-29.5,-29.5,Conductor Field ,A,0.0,0.0,80.0,60.0,
E17-A,2017,-39.0,-39.0,Level 3,A,0.0,0.0,90.0,60.0,
E17-A,2017,-39.0,-39.0,Conductor Field ,A,0.0,0.0,80.0,60.0,
