platform,year,depthmin,depthmax,Item,AvgMax,hardperc,hardmm,softperc,softmm,Remarks
F3-1A,2013,0,-12,Rows and Elevations,A,70.0,40.0,30.0,30.0,
F3-1A,2013,0,-12,Risers,A,,,,,
F3-1A,2013,0,-12,Caissons,A,50.0,40.0,50.0,50.0,
F3-1A,2013,0,-12,Conductors,A,,,,,
F3-1A,2013,-12,-42,Rows and Elevations,A,28.0,33.0,72.0,55.0,
F3-1A,2013,-12,-42,Risers,A,,,,,
F3-1A,2013,-12,-42,Caissons,A,,,,,
F3-1A,2013,-12,-42,Conductors,A,,,,,
F3-1A,2013,0,-12,Rows and Elevations,M,70.0,40.0,30.0,30.0,
F3-1A,2013,0,-12,Risers,M,,,,,
F3-1A,2013,0,-12,Caissons,M,50.0,40.0,50.0,50.0,
F3-1A,2013,0,-12,Conductors,M,,,,,
F3-1A,2013,-12,-42,Rows and Elevations,M,40.0,40.0,90.0,70.0,
F3-1A,2013,-12,-42,Risers,M,,,,,
F3-1A,2013,-12,-42,Caissons,M,,,,,
F3-1A,2013,-12,-42,Conductors,M,,,,,
F3-1A,2013,3,-16,Row G5-G7,A,70.0,40.0,30.0,30.0,
F3-1A,2013,3,-16,Row H6-G5,A,70.0,40.0,30.0,30.0,
F3-1A,2013,3,-16,Row G7-H6,A,70.0,40.0,30.0,30.0,
F3-1A,2013,-16,-42,Row G5-G7,A,30.0,40.0,70.0,50.0,
F3-1A,2013,-16,-42,Row H6-G5,A,30.0,40.0,70.0,50.0,
F3-1A,2013,-16,-42,Row G7-H6,A,30.0,40.0,70.0,50.0,
F3-1A,2013,-16,-16,Level 1,A,40.0,20.0,60.0,50.0,
F3-1A,2013,-16,-16,Conductor Field,A,,,,,
F3-1A,2013,-42,-42,Level 2,A,10.0,20.0,90.0,70.0,
F3-1A,2013,-42,-42,Conductor Field,A,,,,,
F3-1A,2010,0,-12,Rows and Elevations,A,0.0,0.0,93.0,27.0,
F3-1A,2010,0,-12,Risers,A,,,,,
F3-1A,2010,0,-12,Caissons,A,0.0,0.0,100.0,25.0,
F3-1A,2010,0,-12,Conductors,A,,,,,
F3-1A,2010,-12,-42,Rows and Elevations,A,0.0,0.0,96.0,53.0,
F3-1A,2010,-12,-42,Risers,A,,,,,
F3-1A,2010,-12,-42,Caissons,A,0.0,0.0,60.0,28.0,
F3-1A,2010,-12,-42,Conductors,A,,,,,
F3-1A,2010,0,-12,Rows and Elevations,M,0.0,0.0,100.0,30.0,
F3-1A,2010,0,-12,Risers,M,,,,,
F3-1A,2010,0,-12,Caissons,M,0.0,0.0,100.0,30.0,
F3-1A,2010,0,-12,Conductors,M,,,,,
F3-1A,2010,-12,-42,Rows and Elevations,M,0.0,0.0,100.0,60.0,
F3-1A,2010,-12,-42,Risers,M,,,,,
F3-1A,2010,-12,-42,Caissons,M,0.0,0.0,100.0,30.0,
F3-1A,2010,-12,-42,Conductors,M,,,,,
F3-1A,2010,3,0,Row G5-G7,A,0.0,0.0,100.0,30.0,
F3-1A,2010,3,0,Row H6-G5,A,0.0,0.0,80.0,30.0,
F3-1A,2010,3,0,Row G7-H6,A,0.0,0.0,100.0,30.0,
F3-1A,2010,0,-16,Row G5-G7,A,0.0,0.0,90.0,20.0,
F3-1A,2010,0,-16,Row H6-G5,A,0.0,0.0,100.0,30.0,
F3-1A,2010,0,-16,Row G7-H6,A,0.0,0.0,90.0,20.0,
F3-1A,2010,-16,-42,Row G5-G7,A,0.0,0.0,100.0,60.0,
F3-1A,2010,-16,-42,Row H6-G5,A,0.0,0.0,100.0,60.0,
F3-1A,2010,-16,-42,Row G7-H6,A,0.0,0.0,100.0,60.0,
F3-1A,2010,-16,-16,Level 1,A,0.0,0.0,100.0,60.0,
F3-1A,2010,-16,-16,Conductor Field,A,,,,,
F3-1A,2010,-42,-42,Level 2,A,0.0,0.0,80.0,20.0,
F3-1A,2010,-42,-42,Conductor Field,A,,,,,
F3-1A,2017,3,-12,Rows and Elevations,A,75.0,3.0,35.0,22.0,
F3-1A,2017,3,-12,Risers,A,,,,,
F3-1A,2017,3,-12,Caissons,A,0.0,0.0,0.0,0.0,
F3-1A,2017,3,-12,Conductors,A,,,,,
F3-1A,2017,-12,-42,Rows and Elevations,A,18.0,1.0,75.0,94.0,
F3-1A,2017,-12,-42,Risers,A,,,,,
F3-1A,2017,-12,-42,Caissons,A,,,,,
F3-1A,2017,-12,-42,Conductors,A,,,,,
F3-1A,2017,3,-12,Rows and Elevations,M,90.0,120.0,50.0,120.0,
F3-1A,2017,3,-12,Risers,M,,,,,
F3-1A,2017,3,-12,Caissons,M,0.0,0.0,0.0,0.0,
F3-1A,2017,3,-12,Conductors,M,,,,,
F3-1A,2017,-12,-42,Rows and Elevations,M,30.0,100.0,100.0,100.0,
F3-1A,2017,-12,-42,Risers,M,,,,,
F3-1A,2017,-12,-42,Caissons,M,,,,,
F3-1A,2017,-12,-42,Conductors,M,,,,,
F3-1A,2017,3,-12,Row G5-G7,A,90.0,120.0,30.0,120.0,
F3-1A,2017,3,-12,Row H6-G5,A,90.0,120.0,30.0,120.0,
F3-1A,2017,3,-12,Row G7-H6,A,70.0,120.0,30.0,120.0,
F3-1A,2017,-12,-42,Row G5-G7,A,20.0,50.0,100.0,100.0,
F3-1A,2017,-12,-42,Row H6-G5,A,20.0,50.0,100.0,100.0,
F3-1A,2017,-12,-42,Row G7-H6,A,30.0,100.0,70.0,100.0,
F3-1A,2017,-16,-16,Level 1,A,50.0,40.0,50.0,40.0,
F3-1A,2017,-16,-16,Conductor Field,A,,,,,
F3-1A,2017,-42,-42,Level 2,A,0.0,0.0,30.0,40.0,
F3-1A,2017,-42,-42,Conductor Field,A,,,,,
