platform,year,depthmin,depthmax,Item,AvgMax,hardperc,hardmm,softperc,softmm,Remarks
G14-A,2015,0.0,-12.0,Rows and Elevations,A,4.0,28.0,96.0,23.0,
G14-A,2015,0.0,-12.0,Risers,A,,,,,
G14-A,2015,0.0,-12.0,Caissons,A,18.0,29.0,68.0,16.0,
G14-A,2015,0.0,-12.0,Conductors,A,30.0,10.0,70.0,20.0,
G14-A,2015,-12.0,-39.5,Rows and Elevations,A,0.0,0.0,100.0,50.0,
G14-A,2015,-12.0,-39.5,Risers,A,,,,,
G14-A,2015,-12.0,-39.5,Caissons,A,,,,,
G14-A,2015,-12.0,-39.5,Conductors,A,0.0,0.0,100.0,70.0,
G14-A,2015,0.0,-12.0,Rows and Elevations,M,20.0,30.0,100.0,30.0,
G14-A,2015,0.0,-12.0,Risers,M,,,,,
G14-A,2015,0.0,-12.0,Caissons,M,30.0,30.0,100.0,20.0,
G14-A,2015,0.0,-12.0,Conductors,M,30.0,10.0,70.0,20.0,
G14-A,2015,-12.0,-39.5,Rows and Elevations,M,0.0,0.0,100.0,70.0,
G14-A,2015,-12.0,-39.5,Risers,M,,,,,
G14-A,2015,-12.0,-39.5,Caissons,M,,,,,
G14-A,2015,-12.0,-39.5,Conductors,M,0.0,0.0,100.0,70.0,
G14-A,2015,3.0,-12.0,Row 1,A,60.0,30.0,100.0,30.0,
G14-A,2015,3.0,-12.0,Row 2,A,0.0,0.0,100.0,30.0,
G14-A,2015,3.0,-12.0,Row A,A,20.0,30.0,80.0,20.0,
G14-A,2015,3.0,-12.0,Row B,A,5.0,20.0,95.0,20.0,
G14-A,2015,-12.0,-39.5,Row 1,A,0.0,0.0,100.0,40.0,
G14-A,2015,-12.0,-39.5,Row 2,A,0.0,0.0,100.0,50.0,
G14-A,2015,-12.0,-39.5,Row A,A,0.0,0.0,100.0,50.0,
G14-A,2015,-12.0,-39.5,Row B,A,0.0,0.0,100.0,50.0,
G14-A,2015,-11.5,-11.5,Level 1 ,A,0.0,0.0,100.0,20.0,
G14-A,2015,-11.5,-11.5,Conductor Field,A,0.0,0.0,100.0,20.0,
G14-A,2015,-30.0,-30.0,Level 2,A,0.0,0.0,100.0,30.0,
G14-A,2015,-30.0,-30.0,Conductor Field ,A,0.0,0.0,100.0,30.0,
G14-A,2015,-39.5,-39.5,Level 3,A,0.0,0.0,100.0,70.0,
G14-A,2015,-39.5,-39.5,Conductor Field ,A,0.0,0.0,100.0,70.0,
G14-A,2013,0.0,-12.0,Rows and Elevations,A,58.0,20.0,42.0,40.0,
G14-A,2013,0.0,-12.0,Risers,A,75.0,20.0,25.0,60.0,
G14-A,2013,0.0,-12.0,Caissons,A,70.0,24.0,30.0,23.0,
G14-A,2013,0.0,-12.0,Conductors,A,50.0,20.0,50.0,40.0,
G14-A,2013,-12.0,-39.5,Rows and Elevations,A,16.0,17.0,84.0,73.0,
G14-A,2013,-12.0,-39.5,Risers,A,0.0,0.0,100.0,60.0,
G14-A,2013,-12.0,-39.5,Caissons,A,,,,,
G14-A,2013,-12.0,-39.5,Conductors,A,63.0,20.0,38.0,57.0,
G14-A,2013,0.0,-12.0,Rows and Elevations,M,75.0,20.0,50.0,40.0,
G14-A,2013,0.0,-12.0,Risers,M,75.0,20.0,25.0,60.0,
G14-A,2013,0.0,-12.0,Caissons,M,75.0,35.0,35.0,30.0,
G14-A,2013,0.0,-12.0,Conductors,M,50.0,20.0,50.0,40.0,
G14-A,2013,-12.0,-39.5,Rows and Elevations,M,50.0,20.0,100.0,80.0,
G14-A,2013,-12.0,-39.5,Risers,M,0.0,0.0,100.0,60.0,
G14-A,2013,-12.0,-39.5,Caissons,M,,,,,
G14-A,2013,-12.0,-39.5,Conductors,M,75.0,20.0,50.0,60.0,
G14-A,2013,3.0,-11.5,Row 1,A,50.0,20.0,50.0,40.0,
G14-A,2013,3.0,-11.5,Row 2,A,50.0,20.0,50.0,40.0,
G14-A,2013,3.0,-11.5,Row A,A,50.0,20.0,50.0,40.0,
G14-A,2013,3.0,-11.5,Row B,A,50.0,20.0,50.0,40.0,
G14-A,2013,-11.5,-39.5,Row 1,A,40.0,10.0,60.0,50.0,
G14-A,2013,-11.5,-39.5,Row 2,A,10.0,20.0,90.0,70.0,
G14-A,2013,-11.5,-39.5,Row A,A,50.0,20.0,50.0,70.0,
G14-A,2013,-11.5,-39.5,Row B,A,10.0,20.0,90.0,80.0,
G14-A,2013,-11.5,-11.5,Level 1 ,A,75.0,20.0,25.0,40.0,
G14-A,2013,-11.5,-11.5,Conductor Field,A,75.0,20.0,25.0,40.0,
G14-A,2013,-30.0,-30.0,Level 2,A,0.0,0.0,100.0,60.0,
G14-A,2013,-30.0,-30.0,Conductor Field ,A,0.0,0.0,100.0,80.0,
G14-A,2013,-39.5,-39.5,Level 3,A,0.0,0.0,100.0,80.0,
G14-A,2013,-39.5,-39.5,Conductor Field ,A,0.0,0.0,100.0,80.0,
G14-A,2012,3.0,-12.0,Rows and Elevations,A,51.0,22.0,50.0,21.0,
G14-A,2012,3.0,-12.0,Risers,A,60.0,27.0,40.0,23.0,
G14-A,2012,3.0,-12.0,Caissons,A,60.0,40.0,40.0,25.0,
G14-A,2012,3.0,-12.0,Conductors,A,50.0,34.0,50.0,36.0,
G14-A,2012,-12.0,-39.5,Rows and Elevations,A,31.0,12.0,66.0,34.0,
G14-A,2012,-12.0,-39.5,Risers,A,15.0,67.0,89.0,19.0,
G14-A,2012,-12.0,-39.5,Caissons,A,,,,,
G14-A,2012,-12.0,-39.5,Conductors,A,20.0,10.0,80.0,40.0,
