platform,year,depthmin,depthmax,Item,AvgMax,hardperc,hardmm,softperc,softmm,Remarks
G14-B,2015,0.0,-12.0,Rows and Elevations,A,4.0,24.0,96.0,14.0,
G14-B,2015,0.0,-12.0,Risers,A,,,,,
G14-B,2015,0.0,-12.0,Caissons,A,23.0,36.0,78.0,14.0,
G14-B,2015,0.0,-12.0,Conductors,A,6.0,18.0,94.0,10.0,
G14-B,2015,-12.0,-39.0,Rows and Elevations,A,0.0,0.0,100.0,34.0,
G14-B,2015,-12.0,-39.0,Risers,A,,,,,
G14-B,2015,-12.0,-39.0,Caissons,A,,,,,
G14-B,2015,-12.0,-39.0,Conductors,A,0.0,0.0,100.0,23.0,
G14-B,2015,0.0,-12.0,Rows and Elevations,M,10.0,40.0,100.0,30.0,
G14-B,2015,0.0,-12.0,Risers,M,,,,,
G14-B,2015,0.0,-12.0,Caissons,M,50.0,40.0,100.0,20.0,
G14-B,2015,0.0,-12.0,Conductors,M,10.0,20.0,100.0,20.0,
G14-B,2015,-12.0,-39.0,Rows and Elevations,M,0.0,0.0,100.0,40.0,
G14-B,2015,-12.0,-39.0,Risers,M,,,,,
G14-B,2015,-12.0,-39.0,Caissons,M,,,,,
G14-B,2015,-12.0,-39.0,Conductors,M,0.0,0.0,100.0,30.0,
G14-B,2015,3.0,-12.0,Row 1,A,5.0,10.0,95.0,10.0,
G14-B,2015,3.0,-12.0,Row 2,A,5.0,40.0,95.0,30.0,
G14-B,2015,3.0,-12.0,Row A,A,5.0,10.0,95.0,10.0,
G14-B,2015,3.0,-12.0,Row B,A,10.0,30.0,90.0,10.0,
G14-B,2015,-12.0,-39.0,Row 1,A,0.0,0.0,100.0,40.0,
G14-B,2015,-12.0,-39.0,Row 2,A,0.0,0.0,100.0,35.0,
G14-B,2015,-12.0,-39.0,Row A,A,0.0,0.0,100.0,30.0,
G14-B,2015,-12.0,-39.0,Row B,A,0.0,0.0,100.0,30.0,
G14-B,2015,-11.0,-11.0,Level 1 ,A,0.0,0.0,100.0,15.0,
G14-B,2015,-11.0,-11.0,Conductor Field,A,0.0,0.0,100.0,10.0,
G14-B,2015,-29.5,-29.5,Level 2,A,0.0,0.0,100.0,40.0,
G14-B,2015,-29.5,-29.5,Conductor Field ,A,0.0,0.0,100.0,40.0,
G14-B,2015,-39.0,-39.0,Level 3,A,0.0,0.0,100.0,30.0,
G14-B,2015,-39.0,-39.0,Conductor Field ,A,0.0,0.0,100.0,30.0,
G14-B,2013,0.0,-12.0,Rows and Elevations,A,42.0,20.0,48.0,24.0,
G14-B,2013,0.0,-12.0,Risers,A,0.0,0.0,0.0,0.0,
G14-B,2013,0.0,-12.0,Caissons,A,50.0,5.0,45.0,40.0,
G14-B,2013,0.0,-12.0,Conductors,A,50.0,20.0,50.0,30.0,
G14-B,2013,-12.0,-39.0,Rows and Elevations,A,0.0,0.0,95.0,60.0,
G14-B,2013,-12.0,-39.0,Risers,A,0.0,0.0,90.0,60.0,
G14-B,2013,-12.0,-39.0,Caissons,A,,,,,
G14-B,2013,-12.0,-39.0,Conductors,A,0.0,0.0,90.0,37.0,
G14-B,2013,0.0,-12.0,Rows and Elevations,M,80.0,20.0,100.0,40.0,
G14-B,2013,0.0,-12.0,Risers,M,0.0,0.0,0.0,0.0,
G14-B,2013,0.0,-12.0,Caissons,M,100.0,10.0,90.0,40.0,
G14-B,2013,0.0,-12.0,Conductors,M,50.0,20.0,50.0,30.0,
G14-B,2013,-12.0,-39.0,Rows and Elevations,M,0.0,0.0,100.0,60.0,
G14-B,2013,-12.0,-39.0,Risers,M,0.0,0.0,90.0,60.0,
G14-B,2013,-12.0,-39.0,Caissons,M,,,,,
G14-B,2013,-12.0,-39.0,Conductors,M,0.0,0.0,90.0,50.0,
G14-B,2013,3.0,-11.0,Row 1,A,0.0,0.0,50.0,30.0,
G14-B,2013,3.0,-11.0,Row 2,A,80.0,20.0,20.0,20.0,
G14-B,2013,3.0,-11.0,Row A,A,50.0,20.0,50.0,40.0,
G14-B,2013,3.0,-11.0,Row B,A,80.0,20.0,20.0,40.0,
G14-B,2013,-11.0,-39.0,Row 1,A,0.0,0.0,70.0,60.0,
G14-B,2013,-11.0,-39.0,Row 2,A,0.0,0.0,100.0,60.0,
G14-B,2013,-11.0,-39.0,Row A,A,0.0,0.0,100.0,60.0,
G14-B,2013,-11.0,-39.0,Row B,A,0.0,0.0,100.0,60.0,
G14-B,2013,-11.0,-11.0,Level 1 ,A,0.0,0.0,100.0,10.0,
G14-B,2013,-11.0,-11.0,Conductor Field,A,0.0,0.0,100.0,10.0,
G14-B,2013,-29.5,-29.5,Level 2,A,0.0,0.0,100.0,60.0,
G14-B,2013,-29.5,-29.5,Conductor Field ,A,0.0,0.0,100.0,60.0,
G14-B,2013,-39.0,-39.0,Level 3,A,0.0,0.0,100.0,60.0,
G14-B,2013,-39.0,-39.0,Conductor Field ,A,0.0,0.0,100.0,60.0,
G14-B,2010,3.0,-12.0,Rows and Elevations,A,87.0,46.0,3.0,4.0,
G14-B,2010,3.0,-12.0,Risers,A,55.0,30.0,0.0,0.0,
G14-B,2010,3.0,-12.0,Caissons,A,85.0,45.0,10.0,10.0,
G14-B,2010,3.0,-12.0,Conductors,A,75.0,25.0,8.0,8.0,
G14-B,2010,-12.0,-39.0,Rows and Elevations,A,6.0,6.0,64.0,23.0,
G14-B,2010,-12.0,-39.0,Risers,A,0.0,0.0,68.0,23.0,
G14-B,2010,-12.0,-39.0,Caissons,A,35.0,20.0,15.0,15.0,
G14-B,2010,-12.0,-39.0,Conductors,A,1.0,3.0,83.0,23.0,
G14-B,2010,3.0,-12.0,Rows and Elevations,M,100.0,60.0,20.0,20.0,
G14-B,2010,3.0,-12.0,Risers,M,100.0,40.0,0.0,0.0,
G14-B,2010,3.0,-12.0,Caissons,M,100.0,50.0,20.0,20.0,
G14-B,2010,3.0,-12.0,Conductors,M,100.0,30.0,20.0,20.0,
G14-B,2010,-12.0,-39.0,Rows and Elevations,M,40.0,40.0,90.0,30.0,
G14-B,2010,-12.0,-39.0,Risers,M,0.0,0.0,80.0,30.0,
G14-B,2010,-12.0,-39.0,Caissons,M,70.0,40.0,20.0,20.0,
G14-B,2010,-12.0,-39.0,Conductors,M,5.0,10.0,90.0,30.0,
G14-B,2010,3.0,0.0,Row 1,A,100.0,50.0,0.0,0.0,
G14-B,2010,3.0,0.0,Row 2,A,100.0,60.0,0.0,0.0,
G14-B,2010,3.0,0.0,Row A,A,0.0,0.0,10.0,20.0,
G14-B,2010,3.0,0.0,Row B,A,100.0,60.0,0.0,0.0,
G14-B,2010,0.0,-11.0,Row 1,A,100.0,50.0,0.0,0.0,
G14-B,2010,0.0,-11.0,Row 2,A,70.0,40.0,20.0,20.0,
G14-B,2010,0.0,-11.0,Row A,A,100.0,60.0,0.0,0.0,
G14-B,2010,0.0,-11.0,Row B,A,100.0,40.0,0.0,0.0,
G14-B,2010,-11.0,-29.5,Row 1,A,30.0,30.0,70.0,20.0,
G14-B,2010,-11.0,-29.5,Row 2,A,0.0,0.0,80.0,20.0,
G14-B,2010,-11.0,-29.5,Row A,A,40.0,40.0,60.0,20.0,
G14-B,2010,-11.0,-29.5,Row B,A,0.0,0.0,50.0,20.0,
G14-B,2010,-29.5,-39.0,Row 1,A,0.0,0.0,50.0,20.0,
G14-B,2010,-29.5,-39.0,Row 2,A,0.0,0.0,40.0,20.0,
G14-B,2010,-29.5,-39.0,Row A,A,0.0,0.0,80.0,30.0,
G14-B,2010,-29.5,-39.0,Row B,A,0.0,0.0,70.0,20.0,
G14-B,2010,-11.0,-11.0,Level 1 ,A,100.0,40.0,0.0,0.0,
G14-B,2010,-11.0,-11.0,Conductor Field,A,100.0,40.0,0.0,0.0,
G14-B,2010,-29.5,-29.5,Level 2,A,0.0,0.0,50.0,30.0,
G14-B,2010,-29.5,-29.5,Conductor Field ,A,0.0,0.0,40.0,20.0,
G14-B,2010,-39.0,-39.0,Level 3,A,0.0,0.0,90.0,30.0,
G14-B,2010,-39.0,-39.0,Conductor Field ,A,0.0,0.0,90.0,30.0,
G14-B,2017,0.0,-12.0,Rows and Elevations,A,35.0,74.0,65.0,55.0,
G14-B,2017,0.0,-12.0,Risers,A,,,,,
G14-B,2017,0.0,-12.0,Caissons,A,20.0,93.0,80.0,54.0,
G14-B,2017,0.0,-12.0,Conductors,A,28.0,61.0,70.0,33.0,
G14-B,2017,-12.0,-39.0,Rows and Elevations,A,0.0,0.0,100.0,135.0,
G14-B,2017,-12.0,-39.0,Risers,A,,,,,
G14-B,2017,-12.0,-39.0,Caissons,A,,,,,
G14-B,2017,-12.0,-39.0,Conductors,A,0.0,0.0,100.0,125.0,
G14-B,2017,0.0,-12.0,Rows and Elevations,M,50.0,80.0,100.0,80.0,
G14-B,2017,0.0,-12.0,Risers,M,,,,,
G14-B,2017,0.0,-12.0,Caissons,M,50.0,100.0,100.0,100.0,
G14-B,2017,0.0,-12.0,Conductors,M,50.0,80.0,90.0,40.0,
G14-B,2017,-12.0,-39.0,Rows and Elevations,M,0.0,0.0,100.0,150.0,
G14-B,2017,-12.0,-39.0,Risers,M,,,,,
G14-B,2017,-12.0,-39.0,Caissons,M,,,,,
G14-B,2017,-12.0,-39.0,Conductors,M,0.0,0.0,100.0,150.0,
G14-B,2017,3.0,-12.0,Row 1,A,50.0,80.0,50.0,30.0,
G14-B,2017,3.0,-12.0,Row 2,A,50.0,80.0,50.0,40.0,
G14-B,2017,3.0,-12.0,Row A,A,50.0,60.0,50.0,40.0,
G14-B,2017,3.0,-12.0,Row B,A,50.0,80.0,50.0,30.0,
G14-B,2017,-12.0,-39.0,Row 1,A,0.0,0.0,100.0,120.0,
G14-B,2017,-12.0,-39.0,Row 2,A,0.0,0.0,100.0,150.0,
G14-B,2017,-12.0,-39.0,Row A,A,0.0,0.0,100.0,150.0,
G14-B,2017,-12.0,-39.0,Row B,A,0.0,0.0,100.0,120.0,
G14-B,2017,-11.0,-11.0,Level 1 ,A,100.0,60.0,90.0,70.0,
G14-B,2017,-11.0,-11.0,Conductor Field,A,0.0,0.0,100.0,80.0,
G14-B,2017,-29.5,-29.5,Level 2,A,0.0,0.0,100.0,150.0,
G14-B,2017,-29.5,-29.5,Conductor Field ,A,0.0,0.0,100.0,150.0,
G14-B,2017,-39.0,-39.0,Level 3,A,0.0,0.0,100.0,120.0,
G14-B,2017,-39.0,-39.0,Conductor Field ,A,0.0,0.0,100.0,120.0,
