platform,year,depthmin,depthmax,Item,AvgMax,hard%,hardmm,soft%,softmm,Remarks
G16-A,2016,0.0,-12.0,Rows and Elevations,A,33.0,17.0,74.0,13.0,
G16-A,2016,0.0,-12.0,Risers ,A,0.0,0.0,100.0,10.0,
G16-A,2016,0.0,-12.0,Caissons ,A,33.0,16.0,45.0,24.0,
G16-A,2016,0.0,-12.0,Conductors,A,35.0,0.0,30.0,0.0,
G16-A,2016,-12.0,-41.5,Rows and Elevations,A,1.0,10.0,69.0,59.0,
G16-A,2016,-12.0,-41.5,Risers ,A,20.0,40.0,80.0,10.0,
G16-A,2016,-12.0,-41.5,Caissons ,A,,,,,
G16-A,2016,-12.0,-41.5,Conductors,A,0.0,0.0,58.0,33.0,
G16-A,2016,0.0,-12.0,Rows and Elevations,M,60.0,30.0,80.0,15.0,
G16-A,2016,0.0,-12.0,Risers ,M,0.0,0.0,100.0,10.0,
G16-A,2016,0.0,-12.0,Caissons ,M,45.0,40.0,80.0,25.0,
G16-A,2016,0.0,-12.0,Conductors,M,45.0,30.0,40.0,20.0,
G16-A,2016,-12.0,-41.5,Rows and Elevations,M,5.0,10.0,85.0,80.0,
G16-A,2016,-12.0,-41.5,Risers ,M,20.0,40.0,80.0,10.0,
G16-A,2016,-12.0,-41.5,Caissons ,M,,,,,
G16-A,2016,-12.0,-41.5,Conductors,M,0.0,0.0,65.0,35.0,
G16-A,2016,3.0,-12.0,Row 1,A,25.0,30.0,70.0,10.0,
G16-A,2016,3.0,-12.0,Row 2,A,60.0,25.0,80.0,15.0,
G16-A,2016,3.0,-12.0,Row A ,A,60.0,2.0,80.0,15.0,
G16-A,2016,3.0,-12.0,Row B,A,40.0,25.0,80.0,15.0,
G16-A,2016,-12.0,-41.5,Row 1,A,5.0,10.0,85.0,60.0,
G16-A,2016,-12.0,-41.5,Row 2,A,0.0,0.0,75.0,70.0,
G16-A,2016,-12.0,-41.5,Row A ,A,0.0,0.0,75.0,70.0,
G16-A,2016,-12.0,-41.5,Row B,A,0.0,0.0,80.0,65.0,
G16-A,2016,-11.0,-11.0,Level 1,A ,5.0,5.0,75.0,10.0,
G16-A,2016,-11.0,-11.0,Conductor Field,A,10.0,10.0,60.0,15.0,
G16-A,2016,-32.0,-32.0,Level 2,A,0.0,0.0,85.0,80.0,
G16-A,2016,-32.0,-32.0,Conductor Field,A,0.0,0.0,80.0,40.0,
G16-A,2016,-41.5,-41.5,Level 3,A,0.0,0.0,40.0,30.0,
G16-A,2016,-41.5,-41.5,Conductor Field,A,0.0,0.0,30.0,20.0,
G16-A,2013,0.0,-12.0,Rows and Elevations,A,55.0,14.0,45.0,33.0,
G16-A,2013,0.0,-12.0,Risers ,A,50.0,20.0,50.0,30.0,
G16-A,2013,0.0,-12.0,Caissons ,A,50.0,25.0,50.0,45.0,
G16-A,2013,0.0,-12.0,Conductors,A,50.0,10.0,50.0,20.0,
G16-A,2013,-12.0,-41.5,Rows and Elevations,A,13.0,10.0,88.0,78.0,
G16-A,2013,-12.0,-41.5,Risers ,A,0.0,0.0,100.0,60.0,
G16-A,2013,-12.0,-41.5,Caissons ,A,,,,,
G16-A,2013,-12.0,-41.5,Conductors,A,27.0,10.0,73.0,59.0,
G16-A,2013,0.0,-12.0,Rows and Elevations,M,100.0,20.0,75.0,40.0,
G16-A,2013,0.0,-12.0,Risers ,M,50.0,20.0,50.0,30.0,
G16-A,2013,0.0,-12.0,Caissons ,M,50.0,30.0,50.0,50.0,
G16-A,2013,0.0,-12.0,Conductors,M,50.0,10.0,50.0,20.0,
G16-A,2013,-12.0,-41.5,Rows and Elevations,M,25.0,10.0,100.0,90.0,
G16-A,2013,-12.0,-41.5,Risers ,M,0.0,0.0,100.0,60.0,
G16-A,2013,-12.0,-41.5,Caissons ,M,,,,,
G16-A,2013,-12.0,-41.5,Conductors,M,40.0,10.0,100.0,70.0,
