platform,year,depthmin,depthmax,Item,AvgMax,hard%,hardmm,soft%,softmm,Remarks
G17-AP,2016,0.0,-12.0,Rows and Elevations,A,51.0,33.0,18.0,23.0,
G17-AP,2016,0.0,-12.0,Risers ,A,34.0,43.0,50.0,7.0,
G17-AP,2016,0.0,-12.0,Caissons ,A,31.0,24.0,13.0,12.0,
G17-AP,2016,-12.0,-37.3,Rows and Elevations,A,10.0,12.0,70.0,51.0,
G17-AP,2016,-12.0,-37.3,Risers ,A,1.0,5.0,84.0,10.0,
G17-AP,2016,-12.0,-37.3,Caissons ,A,0.0,0.0,0.0,0.0,
G17-AP,2016,0.0,-12.0,Rows and Elevations,M,75.0,40.0,40.0,30.0,
G17-AP,2016,0.0,-12.0,Risers ,M,55.0,60.0,100.0,10.0,
G17-AP,2016,0.0,-12.0,Caissons ,M,75.0,40.0,20.0,15.0,
G17-AP,2016,-12.0,-37.3,Rows and Elevations,M,15.0,15.0,95.0,65.0,
G17-AP,2016,-12.0,-37.3,Risers ,M,10.0,5.0,100.0,20.0,
G17-AP,2016,-12.0,-37.3,Caissons ,M,0.0,0.0,0.0,0.0,
G17-AP,2016,3.0,-12.0,Row 1,A,70.0,30.0,10.0,10.0,
G17-AP,2016,3.0,-12.0,Row 2,A,75.0,40.0,15.0,25.0,
G17-AP,2016,3.0,-12.0,Row B,A,35.0,25.0,15.0,20.0,
G17-AP,2016,3.0,-12.0,Row C,A,30.0,25.0,10.0,5.0,
G17-AP,2016,-12.0,-37.3,Row 1,A,15.0,10.0,60.0,40.0,
G17-AP,2016,-12.0,-37.3,Row 2,A,5.0,10.0,65.0,45.0,
G17-AP,2016,-12.0,-37.3,Row B,A,15.0,10.0,60.0,50.0,
G17-AP,2016,-12.0,-37.3,Row C,A,5.0,15.0,70.0,50.0,
G17-AP,2016,-11.0,-11.0,Level 1,A,45.0,40.0,40.0,30.0,
G17-AP,2016,-37.3,-37.3,Level 2,A,10.0,15.0,95.0,65.0,
G17-AP,2010,3.0,-12.0,Rows and Elevations,A,59.0,28.0,24.0,25.0,
G17-AP,2010,3.0,-12.0,Risers ,A,56.0,47.0,36.0,19.0,
G17-AP,2010,3.0,-12.0,Caissons ,A,60.0,33.0,40.0,40.0,
G17-AP,2010,-12.0,-37.3,Rows and Elevations,A,16.0,46.0,84.0,58.0,
G17-AP,2010,-12.0,-37.3,Risers ,A,0.0,0.0,93.0,34.0,
G17-AP,2010,-12.0,-37.3,Caissons ,A,,,,,
G17-AP,2010,3.0,-12.0,Rows and Elevations,M,100.0,40.0,70.0,40.0,
G17-AP,2010,3.0,-12.0,Risers ,M,100.0,90.0,80.0,50.0,
G17-AP,2010,3.0,-12.0,Caissons ,M,100.0,40.0,50.0,50.0,
G17-AP,2010,-12.0,-37.3,Rows and Elevations,M,50.0,50.0,100.0,80.0,
G17-AP,2010,-12.0,-37.3,Risers ,M,0.0,0.0,100.0,40.0,
G17-AP,2010,-12.0,-37.3,Caissons ,M,,,,,
G17-AP,2010,3.0,0.0,Row 1,A,100.0,30.0,0.0,0.0,
G17-AP,2010,3.0,0.0,Row 2,A,100.0,30.0,0.0,0.0,
G17-AP,2010,3.0,0.0,Row B,A,100.0,30.0,0.0,0.0,
G17-AP,2010,3.0,0.0,Row C,A,100.0,30.0,0.0,0.0,
G17-AP,2010,0.0,-11.0,Row 1,A,30.0,15.0,70.0,20.0,
G17-AP,2010,0.0,-11.0,Row 2,A,40.0,40.0,40.0,40.0,
G17-AP,2010,0.0,-11.0,Row B,A,20.0,20.0,30.0,20.0,
G17-AP,2010,0.0,-11.0,Row C,A,40.0,20.0,60.0,20.0,
G17-AP,2010,-11.0,-37.3,Row 1,A,50.0,50.0,50.0,60.0,
G17-AP,2010,-11.0,-37.3,Row 2,A,30.0,40.0,70.0,60.0,
G17-AP,2010,-11.0,-37.3,Row B,A,0.0,0.0,100.0,60.0,
G17-AP,2010,-11.0,-37.3,Row C,A,0.0,0.0,100.0,50.0,
G17-AP,2010,-11.0,-11.0,Level 1,A,0.0,0.0,20.0,30.0,
G17-AP,2010,-37.3,-37.3,Level 2,A,0.0,0.0,100.0,80.0,
G17-AP,2009,3.0,-12.0,Rows and Elevations,A,34.0,22.0,37.0,22.0,
G17-AP,2009,3.0,-12.0,Risers ,A,47.0,43.0,33.0,40.0,
G17-AP,2009,3.0,-12.0,Caissons ,A,58.0,23.0,38.0,20.0,
G17-AP,2009,-12.0,-37.3,Rows and Elevations,A,0.0,0.0,100.0,62.0,
G17-AP,2009,-12.0,-37.3,Risers ,A,1.0,20.0,91.0,52.0,
G17-AP,2009,-12.0,-37.3,Caissons ,A,23.0,20.0,28.0,20.0,
G17-AP,2009,3.0,-12.0,Rows and Elevations,M,50.0,30.0,50.0,30.0,
G17-AP,2009,3.0,-12.0,Risers ,M,100.0,100.0,50.0,50.0,
G17-AP,2009,3.0,-12.0,Caissons ,M,80.0,30.0,50.0,20.0,
G17-AP,2009,-12.0,-37.3,Rows and Elevations,M,0.0,0.0,100.0,80.0,
G17-AP,2009,-12.0,-37.3,Risers ,M,20.0,20.0,100.0,80.0,
G17-AP,2009,-12.0,-37.3,Caissons ,M,50.0,20.0,50.0,20.0,
G17-AP,2009,3.0,0.0,Row 1,A,50.0,20.0,50.0,20.0,
G17-AP,2009,3.0,0.0,Row 2,A,30.0,20.0,50.0,20.0,
G17-AP,2009,3.0,0.0,Row B,A,50.0,20.0,50.0,20.0,
G17-AP,2009,3.0,0.0,Row C,A,50.0,20.0,50.0,20.0,
G17-AP,2009,0.0,-11.0,Row 1,A,20.0,20.0,20.0,20.0,
G17-AP,2009,0.0,-11.0,Row 2,A,20.0,20.0,20.0,20.0,
G17-AP,2009,0.0,-11.0,Row B,A,20.0,20.0,20.0,20.0,
G17-AP,2009,0.0,-11.0,Row C,A,20.0,20.0,20.0,20.0,
G17-AP,2009,-11.0,-37.3,Row 1,A,0.0,0.0,100.0,80.0,
G17-AP,2009,-11.0,-37.3,Row 2,A,0.0,0.0,100.0,40.0,
G17-AP,2009,-11.0,-37.3,Row B,A,0.0,0.0,100.0,50.0,
G17-AP,2009,-11.0,-37.3,Row C,A,0.0,0.0,100.0,70.0,
G17-AP,2009,-11.0,-11.0,Level 1,A,50.0,30.0,50.0,30.0,
G17-AP,2009,-37.3,-37.3,Level 2,A,0.0,0.0,100.0,70.0,
G17-AP,2006,3.0,-12.0,Rows and Elevations,A,64.0,56.0,28.0,12.0,
G17-AP,2006,3.0,-12.0,Risers ,A,36.0,24.0,34.0,14.0,
G17-AP,2006,3.0,-12.0,Caissons ,A,53.0,40.0,13.0,13.0,
G17-AP,2006,-12.0,-37.3,Rows and Elevations,A,0.0,0.0,73.0,16.0,
G17-AP,2006,-12.0,-37.3,Risers ,A,0.0,0.0,50.0,13.0,
G17-AP,2006,-12.0,-37.3,Caissons ,A,,,,,
G17-AP,2006,3.0,-12.0,Rows and Elevations,M,100.0,80.0,70.0,30.0,
G17-AP,2006,3.0,-12.0,Risers ,M,100.0,60.0,80.0,30.0,
G17-AP,2006,3.0,-12.0,Caissons ,M,100.0,60.0,30.0,20.0,
G17-AP,2006,-12.0,-37.3,Rows and Elevations,M,0.0,0.0,20.0,30.0,
G17-AP,2006,-12.0,-37.3,Risers ,M,0.0,0.0,90.0,20.0,
G17-AP,2006,-12.0,-37.3,Caissons ,M,,,,,
G17-AP,2006,3.0,0.0,Row 1,A,100.0,80.0,0.0,0.0,
G17-AP,2006,3.0,0.0,Row 2,A,100.0,80.0,0.0,0.0,
G17-AP,2006,3.0,0.0,Row B,A,100.0,80.0,0.0,0.0,
G17-AP,2006,3.0,0.0,Row C,A,100.0,80.0,0.0,0.0,
G17-AP,2006,0.0,-11.0,Row 1,A,40.0,50.0,50.0,30.0,
G17-AP,2006,0.0,-11.0,Row 2,A,50.0,50.0,40.0,30.0,
G17-AP,2006,0.0,-11.0,Row B,A,40.0,40.0,50.0,20.0,
G17-AP,2006,0.0,-11.0,Row C,A,50.0,40.0,40.0,20.0,
G17-AP,2006,-11.0,-37.3,Row 1,A,0.0,0.0,75.0,10.0,
G17-AP,2006,-11.0,-37.3,Row 2,A,0.0,0.0,80.0,20.0,
G17-AP,2006,-11.0,-37.3,Row B,A,0.0,0.0,50.0,10.0,
G17-AP,2006,-11.0,-37.3,Row C,A,0.0,0.0,80.0,20.0,
G17-AP,2006,-11.0,-11.0,Level 1,A,0.0,0.0,70.0,10.0,
G17-AP,2006,-37.3,-37.3,Level 2,A,0.0,0.0,80.0,20.0,
