platform,year,depthmin,depthmax,Item,AvgMax,hardperc,hardmm,softperc,softmm,Remarks
K12-A,2014,0.0,-12.0,Rows and Elevations,A,32.0,36.0,48.0,30.0,
K12-A,2014,0.0,-12.0,Risers,A,13.0,30.0,57.0,20.0,
K12-A,2014,0.0,-12.0,Caissons,A,10.0,30.0,40.0,30.0,
K12-A,2014,0.0,-12.0,Conductors,A,,,,,
K12-A,2014,-12.0,-29.3,Rows and Elevations,A,6.0,36.0,76.0,49.0,
K12-A,2014,-12.0,-29.3,Risers,A,0.0,0.0,70.0,30.0,
K12-A,2014,-12.0,-29.3,Caissons,A,,,,,
K12-A,2014,-12.0,-29.3,Conductors,A,,,,,
K12-A,2014,0.0,-12.0,Rows and Elevations,M,40.0,40.0,90.0,30.0,
K12-A,2014,0.0,-12.0,Risers,M,20.0,30.0,80.0,20.0,
K12-A,2014,0.0,-12.0,Caissons,M,10.0,30.0,40.0,30.0,
K12-A,2014,0.0,-12.0,Conductors,M,,,,,
K12-A,2014,-12.0,-29.3,Rows and Elevations,M,20.0,40.0,90.0,50.0,
K12-A,2014,-12.0,-29.3,Risers,M,0.0,0.0,100.0,30.0,
K12-A,2014,-12.0,-29.3,Caissons,M,,,,,
K12-A,2014,-12.0,-29.3,Conductors,M,,,,,
K12-A,2014,3.0,-12.0,Row 1,A,40.0,40.0,20.0,30.0,
K12-A,2014,3.0,-12.0,Row 2,A,40.0,40.0,30.0,30.0,
K12-A,2014,3.0,-12.0,Row A,A,40.0,40.0,40.0,30.0,
K12-A,2014,3.0,-12.0,Row B,A,40.0,30.0,30.0,30.0,
K12-A,2014,-12.0,-29.3,Row 1,A,20.0,40.0,60.0,40.0,
K12-A,2014,-12.0,-29.3,Row 2,A,10.0,30.0,60.0,50.0,
K12-A,2014,-12.0,-29.3,Row A,A,10.0,30.0,80.0,50.0,
K12-A,2014,-12.0,-29.3,Row B,A,10.0,40.0,60.0,50.0,
K12-A,2014,-6.7,-6.7,Level 1,A,20.0,30.0,80.0,30.0,
K12-A,2014,-6.7,-6.7,Conductor Field,A,10.0,30.0,90.0,30.0,
K12-A,2014,-17.6,-17.6,Level 2,A,0.0,0.0,80.0,50.0,
K12-A,2014,-17.6,-17.6,Conductor Field,A,0.0,0.0,90.0,50.0,
K12-A,2014,-29.3,-29.3,Level 3,A,0.0,0.0,90.0,50.0,
K12-A,2014,-29.3,-29.3,Conductor Field,A,0.0,0.0,90.0,50.0,
K12-A,2011,3.0,-12.0,Rows and Elevations,A,85.0,70.0,15.0,75.0,
K12-A,2011,3.0,-12.0,Risers,A,92.0,100.0,8.0,46.0,
K12-A,2011,3.0,-12.0,Caissons,A,57.0,60.0,43.0,80.0,
K12-A,2011,3.0,-12.0,Conductors,A,,,,,
K12-A,2011,-12.0,-29.3,Rows and Elevations,A,27.0,74.0,73.0,72.0,
K12-A,2011,-12.0,-29.3,Risers,A,38.0,90.0,62.0,82.0,
K12-A,2011,-12.0,-29.3,Caissons,A,10.0,60.0,90.0,80.0,
K12-A,2011,-12.0,-29.3,Conductors,A,,,,,
K12-A,2011,3.0,-12.0,Rows and Elevations,M,100.0,80.0,50.0,80.0,
K12-A,2011,3.0,-12.0,Risers,M,100.0,120.0,30.0,50.0,
K12-A,2011,3.0,-12.0,Caissons,M,100.0,80.0,80.0,80.0,
K12-A,2011,3.0,-12.0,Conductors,M,,,,,
K12-A,2011,-12.0,-29.3,Rows and Elevations,M,50.0,80.0,100.0,80.0,
K12-A,2011,-12.0,-29.3,Risers,M,90.0,90.0,100.0,90.0,
K12-A,2011,-12.0,-29.3,Caissons,M,20.0,60.0,100.0,80.0,
K12-A,2011,-12.0,-29.3,Conductors,M,,,,,
K12-A,2011,3.0,0.0,Row 1,A,100.0,70.0,0.0,0.0,
K12-A,2011,3.0,0.0,Row 2,A,100.0,50.0,0.0,0.0,
K12-A,2011,3.0,0.0,Row A,A,100.0,70.0,0.0,0.0,
K12-A,2011,3.0,0.0,Row B,A,100.0,70.0,0.0,0.0,
