platform,year,depthmin,depthmax,Item,AvgMax,hardperc,hardmm,softperc,softmm,Remarks
K12-BD,2014,0.0,-12.0,Rows and Elevations,A,38.0,36.0,42.0,25.0,
K12-BD,2014,0.0,-12.0,Risers,A,,,,,
K12-BD,2014,0.0,-12.0,Caissons,A,20.0,40.0,40.0,30.0,
K12-BD,2014,0.0,-12.0,Conductors,A,30.0,30.0,31.0,28.0,
K12-BD,2014,-12.0,-26.5,Rows and Elevations,A,14.0,38.0,64.0,47.0,
K12-BD,2014,-12.0,-26.5,Risers,A,,,,,
K12-BD,2014,-12.0,-26.5,Caissons,A,,,,,
K12-BD,2014,-12.0,-26.5,Conductors,A,12.0,30.0,61.0,39.0,
K12-BD,2014,0.0,-12.0,Rows and Elevations,M,50.0,40.0,60.0,30.0,
K12-BD,2014,0.0,-12.0,Risers,M,,,,,
K12-BD,2014,0.0,-12.0,Caissons,M,20.0,40.0,40.0,30.0,
K12-BD,2014,0.0,-12.0,Conductors,M,40.0,30.0,60.0,30.0,
K12-BD,2014,-12.0,-26.5,Rows and Elevations,M,40.0,40.0,90.0,60.0,
K12-BD,2014,-12.0,-26.5,Risers,M,,,,,
K12-BD,2014,-12.0,-26.5,Caissons,M,,,,,
K12-BD,2014,-12.0,-26.5,Conductors,M,20.0,30.0,80.0,50.0,
K12-BD,2014,3.0,-12.0,Row 1,A,50.0,30.0,40.0,30.0,
K12-BD,2014,3.0,-12.0,Row 2,A,40.0,40.0,30.0,30.0,
K12-BD,2014,3.0,-12.0,Row A,A,40.0,40.0,20.0,30.0,
K12-BD,2014,3.0,-12.0,Row B,A,40.0,30.0,60.0,10.0,
K12-BD,2014,-12.0,-26.0,Row 1,A,10.0,20.0,80.0,60.0,
K12-BD,2014,-12.0,-26.0,Row 2,A,20.0,40.0,80.0,50.0,
K12-BD,2014,-12.0,-26.0,Row A,A,20.0,40.0,60.0,50.0,
K12-BD,2014,-12.0,-26.0,Row B,A,5.0,30.0,90.0,40.0,
K12-BD,2014,-4.0,-4.0,Level 1,A,30.0,40.0,50.0,30.0,
K12-BD,2014,-4.0,-4.0,Conductor Field,A,30.0,40.0,50.0,30.0,
K12-BD,2014,-14.0,-14.0,Level 2,A,40.0,40.0,60.0,50.0,
K12-BD,2014,-14.0,-14.0,Conductor Field,A,20.0,40.0,80.0,50.0,
K12-BD,2014,-26.5,-26.5,Level 3,A,0.0,0.0,30.0,30.0,
K12-BD,2014,-26.5,-26.5,Conductor Field,A,0.0,0.0,30.0,30.0,
K12-BD,2012,3.0,-12.0,Rows and Elevations,A,91.0,30.0,9.0,33.0,
K12-BD,2012,3.0,-12.0,Risers,A,,,,,
K12-BD,2012,3.0,-12.0,Caissons,A,63.0,40.0,37.0,43.0,
K12-BD,2012,3.0,-12.0,Conductors,A,87.0,40.0,13.0,13.0,
K12-BD,2012,-12.0,-26.5,Rows and Elevations,A,13.0,8.0,88.0,30.0,
K12-BD,2012,-12.0,-26.5,Risers,A,,,,,
K12-BD,2012,-12.0,-26.5,Caissons,A,40.0,40.0,10.0,40.0,
K12-BD,2012,-12.0,-26.5,Conductors,A,40.0,40.0,60.0,30.0,
K12-BD,2012,3.0,-12.0,Rows and Elevations,M,100.0,30.0,10.0,50.0,
K12-BD,2012,3.0,-12.0,Risers,M,,,,,
K12-BD,2012,3.0,-12.0,Caissons,M,80.0,40.0,50.0,50.0,
K12-BD,2012,3.0,-12.0,Conductors,M,100.0,40.0,40.0,40.0,
K12-BD,2012,-12.0,-26.5,Rows and Elevations,M,50.0,30.0,100.0,40.0,
K12-BD,2012,-12.0,-26.5,Risers,M,,,,,
K12-BD,2012,-12.0,-26.5,Caissons,M,90.0,40.0,10.0,40.0,
K12-BD,2012,-12.0,-26.5,Conductors,M,40.0,40.0,60.0,30.0,
K12-BD,2012,3.0,0.0,Row 1,A,90.0,30.0,10.0,50.0,
K12-BD,2012,3.0,0.0,Row 2,A,90.0,30.0,10.0,50.0,
K12-BD,2012,3.0,0.0,Row A,A,90.0,30.0,10.0,50.0,
K12-BD,2012,3.0,0.0,Row B,A,90.0,30.0,10.0,50.0,
K12-BD,2012,0.0,4.0,Row 1,A,90.0,30.0,10.0,30.0,
K12-BD,2012,0.0,-4.0,Row 2,A,90.0,30.0,10.0,30.0,
K12-BD,2012,0.0,-4.0,Row A,A,90.0,30.0,10.0,30.0,
K12-BD,2012,0.0,-4.0,Row B,A,90.0,30.0,10.0,30.0,
K12-BD,2012,-4.0,-14.0,Row 1,A,90.0,30.0,10.0,30.0,
K12-BD,2012,-4.0,-14.0,Row 2,A,90.0,30.0,10.0,30.0,
K12-BD,2012,-4.0,-14.0,Row A,A,90.0,30.0,10.0,30.0,
K12-BD,2012,-4.0,-14.0,Row B,A,90.0,30.0,10.0,30.0,
K12-BD,2012,-14.0,-26.5,Row 1,A,0.0,0.0,100.0,40.0,
K12-BD,2012,-14.0,-26.5,Row 2,A,0.0,0.0,100.0,40.0,
K12-BD,2012,-14.0,-26.5,Row A,A,0.0,0.0,100.0,40.0,
K12-BD,2012,-14.0,-26.5,Row B,A,0.0,0.0,100.0,40.0,
K12-BD,2012,-4.0,-4.0,Level 1,A,100.0,30.0,0.0,0.0,
K12-BD,2012,-4.0,-4.0,Conductor Field,A,100.0,30.0,0.0,0.0,
K12-BD,2012,-14.0,-14.0,Level 2,A,50.0,30.0,50.0,30.0,
K12-BD,2012,-14.0,-14.0,Conductor Field,A,50.0,30.0,50.0,30.0,
K12-BD,2012,-26.5,-26.5,Level 3,A,0.0,0.0,100.0,10.0,
K12-BD,2012,-26.5,-26.5,Conductor Field,A,0.0,0.0,100.0,10.0,
K12-BD,2010,3.0,-12.0,Rows and Elevations,A,84.0,59.0,7.0,20.0,
K12-BD,2010,3.0,-12.0,Risers,A,,,,,
K12-BD,2010,3.0,-12.0,Caissons,A,75.0,47.0,10.0,30.0,
K12-BD,2010,3.0,-12.0,Conductors,A,82.0,53.0,11.0,26.0,
K12-BD,2010,-12.0,-26.5,Rows and Elevations,A,39.0,58.0,60.0,47.0,
K12-BD,2010,-12.0,-26.5,Risers,A,,,,,
