platform,year,depthmin,depthmax,Item,AvgMax,hard%,hardmm,soft%,softmm,Remarks
K12-BP,2016,0.0,-12.0,Rows and Elevations,A,73.0,44.0,27.0,35.0,
K12-BP,2016,0.0,-12.0,Risers,A,,,,,
K12-BP,2016,0.0,-12.0,Caissons,A,58.0,60.0,31.0,37.0,
K12-BP,2016,0.0,-12.0,Conductors,A,53.0,40.0,48.0,20.0,
K12-BP,2016,-12.0,-26.5,Rows and Elevations,A,0.0,0.0,100.0,79.0,
K12-BP,2016,-12.0,-26.5,Risers,A,,,,,
K12-BP,2016,-12.0,-26.5,Caissons,A,,,,,
K12-BP,2016,-12.0,-26.5,Conductors,A,0.0,0.0,100.0,75.0,
K12-BP,2016,0.0,-12.0,Rows and Elevations,M,80.0,70.0,40.0,60.0,
K12-BP,2016,0.0,-12.0,Risers,M,,,,,
K12-BP,2016,0.0,-12.0,Caissons,M,80.0,70.0,100.0,50.0,
K12-BP,2016,0.0,-12.0,Conductors,M,80.0,40.0,75.0,20.0,
K12-BP,2016,-12.0,-26.5,Rows and Elevations,M,0.0,0.0,100.0,100.0,
K12-BP,2016,-12.0,-26.5,Risers,M,,,,,
K12-BP,2016,-12.0,-26.5,Caissons,M,,,,,
K12-BP,2016,-12.0,-26.5,Conductors,M,0.0,0.0,100.0,100.0,
K12-BP,2016,3.0,-12.0,Row 2,A,60.0,40.0,40.0,30.0,
K12-BP,2016,3.0,-12.0,Row 3,A,60.0,40.0,40.0,30.0,
K12-BP,2016,3.0,-12.0,Row B,A,80.0,40.0,20.0,30.0,
K12-BP,2016,3.0,-12.0,Row C,A,80.0,40.0,20.0,30.0,
K12-BP,2016,3.0,-12.0,Row D,A,80.0,40.0,20.0,30.0,
K12-BP,2016,3.0,-12.0,Row E,A,80.0,40.0,20.0,30.0,
K12-BP,2016,-12.0,-26.5,Row 2,A,0.0,0.0,100.0,80.0,
K12-BP,2016,-12.0,-26.5,Row 3,A,0.0,0.0,100.0,80.0,
K12-BP,2016,-12.0,-26.5,Row B,A,0.0,0.0,100.0,100.0,
K12-BP,2016,-12.0,-26.5,Row C,A,0.0,0.0,100.0,80.0,
K12-BP,2016,-12.0,-26.5,Row D,A,0.0,0.0,100.0,80.0,
K12-BP,2016,-12.0,-26.5,Row E,A,0.0,0.0,100.0,50.0,
K12-BP,2016,-10.0,-10.0,Level 1 ,A,70.0,70.0,30.0,60.0,
K12-BP,2016,-10.0,-10.0,Conductor Field,A,,,,,
K12-BP,2016,-26.5,-26.5,Level 2,A,0.0,0.0,100.0,80.0,
K12-BP,2016,-26.5,-26.5,Conductor Field ,A,,,,,
K12-BP,2014,0.0,-12.0,Rows and Elevations,A,22.0,31.0,30.0,30.0,
K12-BP,2014,0.0,-12.0,Risers,A,5.0,25.0,90.0,21.0,
K12-BP,2014,0.0,-12.0,Caissons,A,33.0,31.0,9.0,20.0,
K12-BP,2014,0.0,-12.0,Conductors,A,,,,,
K12-BP,2014,-12.0,-26.5,Rows and Elevations,A,10.0,29.0,89.0,49.0,
K12-BP,2014,-12.0,-26.5,Risers,A,0.0,0.0,95.0,24.0,
K12-BP,2014,-12.0,-26.5,Caissons,A,,,,,
K12-BP,2014,-12.0,-26.5,Conductors,A,,,,,
K12-BP,2014,0.0,-12.0,Rows and Elevations,M,40.0,40.0,50.0,30.0,
K12-BP,2014,0.0,-12.0,Risers,M,10.0,30.0,100.0,40.0,
K12-BP,2014,0.0,-12.0,Caissons,M,80.0,40.0,10.0,20.0,
