platform,year,depthmin,depthmax,Item,AvgMax,hardperc,hardmm,softperc,softmm,Remarks
K12-C,2015,0.0,-12.0,Rows and Elevations,A,28.0,38.0,50.0,18.0,
K12-C,2015,0.0,-12.0,Risers,A,50.0,32.0,40.0,19.0,
K12-C,2015,0.0,-12.0,Caissons,A,38.0,44.0,57.0,20.0,
K12-C,2015,0.0,-12.0,Conductors,A,45.0,40.0,10.0,10.0,
K12-C,2015,-12.0,-27.4,Rows and Elevations,A,4.0,27.0,96.0,30.0,
K12-C,2015,-12.0,-27.4,Risers,A,0.0,0.0,68.0,33.0,
K12-C,2015,-12.0,-27.4,Caissons,A,,,,,
K12-C,2015,-12.0,-27.4,Conductors,A,10.0,28.0,90.0,40.0,
K12-C,2015,0.0,-12.0,Rows and Elevations,M,50.0,50.0,90.0,20.0,
K12-C,2015,0.0,-12.0,Risers,M,80.0,40.0,70.0,30.0,
K12-C,2015,0.0,-12.0,Caissons,M,100.0,50.0,100.0,30.0,
K12-C,2015,0.0,-12.0,Conductors,M,50.0,40.0,10.0,10.0,
K12-C,2015,-12.0,-27.4,Rows and Elevations,M,10.0,30.0,100.0,40.0,
K12-C,2015,-12.0,-27.4,Risers,M,0.0,0.0,100.0,50.0,
K12-C,2015,-12.0,-27.4,Caissons,M,,,,,
K12-C,2015,-12.0,-27.4,Conductors,M,10.0,30.0,90.0,40.0,
K12-C,2015,3.0,-12.0,Row 1,A,50.0,40.0,50.0,20.0,
K12-C,2015,3.0,-12.0,Row 2,A,50.0,40.0,50.0,10.0,
K12-C,2015,3.0,-12.0,Row A,A,10.0,40.0,90.0,20.0,
K12-C,2015,3.0,-12.0,Row B,A,70.0,50.0,30.0,20.0,
K12-C,2015,-12.0,-27.4,Row 1,A,10.0,30.0,90.0,40.0,
K12-C,2015,-12.0,-27.4,Row 2,A,10.0,30.0,90.0,40.0,
K12-C,2015,-12.0,-27.4,Row A,A,0.0,0.0,100.0,30.0,
K12-C,2015,-12.0,-27.4,Row B,A,10.0,30.0,90.0,40.0,
K12-C,2015,-4.8,-4.8,Level 1 ,A,20.0,30.0,40.0,20.0,
K12-C,2015,-4.8,-4.8,Conductor Field,A,30.0,30.0,40.0,20.0,
K12-C,2015,-15.5,-15.5,Level 2,A,0.0,0.0,100.0,30.0,
K12-C,2015,-15.5,-15.5,Conductor Field ,A,0.0,0.0,100.0,30.0,
K12-C,2015,-27.4,-27.4,Level 3,A,0.0,0.0,100.0,20.0,
K12-C,2015,-27.4,-27.4,Conductor Field ,A,0.0,0.0,100.0,20.0,
K12-C,2013,0.0,-12.0,Rows and Elevations,A,93.0,15.0,0.0,0.0,
K12-C,2013,0.0,-12.0,Risers,A,67.0,25.0,33.0,34.0,
K12-C,2013,0.0,-12.0,Caissons,A,73.0,20.0,27.0,20.0,
K12-C,2013,0.0,-12.0,Conductors,A,60.0,10.0,40.0,20.0,
K12-C,2013,-12.0,-27.4,Rows and Elevations,A,9.0,10.0,91.0,44.0,
K12-C,2013,-12.0,-27.4,Risers,A,13.0,39.0,51.0,41.0,
K12-C,2013,-12.0,-27.4,Caissons,A,,,,,
K12-C,2013,-12.0,-27.4,Conductors,A,40.0,18.0,60.0,26.0,
K12-C,2013,0.0,-12.0,Rows and Elevations,M,100.0,30.0,0.0,0.0,
K12-C,2013,0.0,-12.0,Risers,M,100.0,40.0,70.0,40.0,
K12-C,2013,0.0,-12.0,Caissons,M,100.0,30.0,80.0,20.0,
K12-C,2013,0.0,-12.0,Conductors,M,60.0,10.0,40.0,20.0,
K12-C,2013,-12.0,-27.4,Rows and Elevations,M,20.0,20.0,100.0,80.0,
K12-C,2013,-12.0,-27.4,Risers,M,20.0,40.0,80.0,60.0,
K12-C,2013,-12.0,-27.4,Caissons,M,,,,,
K12-C,2013,-12.0,-27.4,Conductors,M,50.0,20.0,80.0,30.0,
K12-C,2013,3.0,-12.0,Row 1,A,100.0,40.0,0.0,0.0,
K12-C,2013,3.0,-12.0,Row 2,A,100.0,10.0,0.0,0.0,
K12-C,2013,3.0,-12.0,Row A,A,100.0,10.0,0.0,0.0,
K12-C,2013,3.0,-12.0,Row B,A,100.0,10.0,0.0,0.0,
K12-C,2013,-12.0,-27.4,Row 1,A,0.0,0.0,100.0,30.0,
K12-C,2013,-12.0,-27.4,Row 2,A,0.0,0.0,100.0,80.0,
K12-C,2013,-12.0,-27.4,Row A,A,0.0,0.0,100.0,80.0,
K12-C,2013,-12.0,-27.4,Row B,A,0.0,0.0,100.0,60.0,
K12-C,2013,-4.8,-4.8,Level 1 ,A,20.0,20.0,80.0,30.0,
K12-C,2013,-4.8,-4.8,Conductor Field,A,50.0,20.0,50.0,20.0,
K12-C,2013,-15.5,-15.5,Level 2,A,20.0,5.0,80.0,15.0,
K12-C,2013,-15.5,-15.5,Conductor Field ,A,20.0,5.0,80.0,20.0,
K12-C,2013,-27.4,-27.4,Level 3,A,20.0,5.0,80.0,20.0,
K12-C,2013,-27.4,-27.4,Conductor Field ,A,20.0,5.0,80.0,20.0,
K12-C,2011,3.0,-12.0,Rows and Elevations,A,59.0,42.0,28.0,29.0,
K12-C,2011,3.0,-12.0,Risers,A,76.0,47.0,19.0,29.0,
K12-C,2011,3.0,-12.0,Caissons,A,65.0,47.0,22.0,14.0,
K12-C,2011,3.0,-12.0,Conductors,A,55.0,31.0,20.0,23.0,
K12-C,2011,-12.0,-27.4,Rows and Elevations,A,15.0,39.0,71.0,41.0,
K12-C,2011,-12.0,-27.4,Risers,A,32.0,46.0,65.0,30.0,
K12-C,2011,-12.0,-27.4,Caissons,A,60.0,48.0,40.0,30.0,
K12-C,2011,-12.0,-27.4,Conductors,A,10.0,30.0,70.0,44.0,
K12-C,2011,3.0,-12.0,Rows and Elevations,M,100.0,50.0,100.0,50.0,
K12-C,2011,3.0,-12.0,Risers,M,100.0,60.0,100.0,50.0,
K12-C,2011,3.0,-12.0,Caissons,M,100.0,70.0,60.0,20.0,
K12-C,2011,3.0,-12.0,Conductors,M,100.0,40.0,40.0,30.0,
K12-C,2011,-12.0,-27.4,Rows and Elevations,M,50.0,50.0,100.0,60.0,
K12-C,2011,-12.0,-27.4,Risers,M,100.0,60.0,100.0,50.0,
K12-C,2011,-12.0,-27.4,Caissons,M,100.0,50.0,60.0,50.0,
K12-C,2011,-12.0,-27.4,Conductors,M,40.0,30.0,100.0,50.0,
K12-C,2011,3.0,0.0,Row 1,A,40.0,10.0,10.0,10.0,
K12-C,2011,3.0,0.0,Row 2,A,100.0,40.0,0.0,0.0,
K12-C,2011,3.0,0.0,Row A,A,90.0,40.0,0.0,0.0,
K12-C,2011,3.0,0.0,Row B,A,0.0,0.0,100.0,10.0,
K12-C,2011,0.0,-4.8,Row 1,A,100.0,50.0,0.0,0.0,
K12-C,2011,0.0,-4.8,Row 2,A,70.0,30.0,0.0,0.0,
K12-C,2011,0.0,-4.8,Row A,A,90.0,50.0,10.0,50.0,
K12-C,2011,0.0,-4.8,Row B,A,50.0,40.0,20.0,20.0,
K12-C,2011,-4.8,-15.5,Row 1,A,50.0,50.0,50.0,50.0,
K12-C,2011,-4.8,-15.5,Row 2,A,50.0,40.0,50.0,50.0,
K12-C,2011,-4.8,-15.5,Row A,A,30.0,30.0,40.0,30.0,
K12-C,2011,-4.8,-15.5,Row B,A,20.0,40.0,80.0,30.0,
K12-C,2011,-15.5,-27.4,Row 1,A,0.0,0.0,100.0,50.0,
K12-C,2011,-15.5,-27.4,Row 2,A,5.0,30.0,95.0,60.0,
K12-C,2011,-15.5,-27.4,Row A,A,0.0,0.0,100.0,60.0,
K12-C,2011,-15.5,-27.4,Row B,A,0.0,0.0,100.0,50.0,
K12-C,2011,-4.8,-4.8,Level 1 ,A,60.0,50.0,30.0,30.0,
K12-C,2011,-4.8,-4.8,Conductor Field,A,80.0,50.0,0.0,0.0,
K12-C,2011,-15.5,-15.5,Level 2,A,10.0,20.0,90.0,20.0,
K12-C,2011,-15.5,-15.5,Conductor Field ,A,10.0,20.0,90.0,20.0,
K12-C,2011,-27.4,-27.4,Level 3,A,0.0,0.0,20.0,20.0,
K12-C,2011,-27.4,-27.4,Conductor Field ,A,0.0,0.0,40.0,20.0,
K12-C,2009,3.0,-12.0,Rows and Elevations,A,36.0,69.0,49.0,40.0,
K12-C,2009,3.0,-12.0,Risers,A,51.0,69.0,45.0,50.0,
K12-C,2009,3.0,-12.0,Caissons,A,28.0,61.0,59.0,31.0,
K12-C,2009,3.0,-12.0,Conductors,A,33.0,100.0,63.0,48.0,
K12-C,2009,-12.0,-27.4,Rows and Elevations,A,1.0,100.0,71.0,104.0,
K12-C,2009,-12.0,-27.4,Risers,A,0.0,0.0,99.0,105.0,
K12-C,2009,-12.0,-27.4,Caissons,A,0.0,0.0,93.0,26.0,
K12-C,2009,-12.0,-27.4,Conductors,A,0.0,0.0,100.0,120.0,
K12-C,2009,3.0,-12.0,Rows and Elevations,M,100.0,100.0,100.0,60.0,
K12-C,2009,3.0,-12.0,Risers,M,100.0,100.0,100.0,90.0,
K12-C,2009,3.0,-12.0,Caissons,M,70.0,100.0,100.0,100.0,
K12-C,2009,3.0,-12.0,Conductors,M,100.0,100.0,100.0,80.0,
K12-C,2009,-12.0,-27.4,Rows and Elevations,M,10.0,100.0,100.0,150.0,
K12-C,2009,-12.0,-27.4,Risers,M,0.0,0.0,100.0,150.0,
K12-C,2009,-12.0,-27.4,Caissons,M,0.0,0.0,100.0,30.0,
K12-C,2009,-12.0,-27.4,Conductors,M,0.0,0.0,100.0,120.0,
K12-C,2009,3.0,0.0,Row 1,A,100.0,100.0,0.0,0.0,
K12-C,2009,3.0,0.0,Row 2,A,80.0,70.0,10.0,60.0,
K12-C,2009,3.0,0.0,Row A,A,50.0,50.0,50.0,30.0,
K12-C,2009,3.0,0.0,Row B,A,80.0,60.0,10.0,60.0,
K12-C,2009,0.0,-4.8,Row 1,A,0.0,0.0,100.0,10.0,
K12-C,2009,0.0,-4.8,Row 2,A,80.0,70.0,10.0,60.0,
K12-C,2009,0.0,-4.8,Row A,A,80.0,60.0,0.0,0.0,
K12-C,2009,0.0,-4.8,Row B,A,100.0,30.0,0.0,0.0,
K12-C,2009,-4.8,-15.5,Row 1,A,0.0,0.0,80.0,60.0,
K12-C,2009,-4.8,-15.5,Row 2,A,0.0,0.0,80.0,60.0,
K12-C,2009,-4.8,-15.5,Row A,A,0.0,0.0,80.0,60.0,
K12-C,2009,-4.8,-15.5,Row B,A,0.0,0.0,80.0,60.0,
K12-C,2009,-15.5,-27.4,Row 1,A,0.0,0.0,100.0,110.0,
K12-C,2009,-15.5,-27.4,Row 2,A,0.0,0.0,100.0,120.0,
K12-C,2009,-15.5,-27.4,Row A,A,0.0,0.0,100.0,100.0,
K12-C,2009,-15.5,-27.4,Row B,A,0.0,0.0,100.0,110.0,
K12-C,2009,-4.8,-4.8,Level 1 ,A,10.0,50.0,90.0,20.0,
K12-C,2009,-4.8,-4.8,Conductor Field,A,10.0,50.0,90.0,20.0,
K12-C,2009,-15.5,-15.5,Level 2,A,10.0,100.0,90.0,150.0,
K12-C,2009,-15.5,-15.5,Conductor Field ,A,0.0,0.0,90.0,100.0,
K12-C,2009,-27.4,-27.4,Level 3,A,0.0,0.0,40.0,20.0,
K12-C,2009,-27.4,-27.4,Conductor Field ,A,0.0,0.0,40.0,20.0,
K12-C,2007,3.0,-12.0,Rows and Elevations,A,87.0,62.0,11.0,52.0,Marine Growth Removal
K12-C,2007,3.0,-12.0,Risers,A,100.0,62.0,0.0,0.0,Marine Growth Removal
K12-C,2007,3.0,-12.0,Caissons,A,88.0,57.0,12.0,53.0,Marine Growth Removal
K12-C,2007,3.0,-12.0,Conductors,A,85.0,48.0,13.0,40.0,Marine Growth Removal
K12-C,2007,-12.0,-27.4,Rows and Elevations,A,4.0,55.0,96.0,65.0,
K12-C,2007,-12.0,-27.4,Risers,A,41.0,57.0,57.0,55.0,
K12-C,2007,-12.0,-27.4,Caissons,A,80.0,55.0,20.0,45.0,
