platform,year,depthmin,depthmax,Item,AvgMax,hardperc,hardmm,softperc,softmm,Remarks
K12-CC,2015,0,-12,Rows and Elevations,A,42.0,40.0,58.0,58.0,
K12-CC,2015,0,-12,Risers,A,20.0,30.0,80.0,10.0,
K12-CC,2015,0,-12,Caissons,A,30.0,42.0,70.0,12.0,
K12-CC,2015,0,-12,Conductors,A,,,,,
K12-CC,2015,-12,-27,Rows and Elevations,A,8.0,30.0,74.0,42.0,
K12-CC,2015,-12,-27,Risers,A,0.0,0.0,100.0,30.0,
K12-CC,2015,-12,-27,Caissons,A,,,,,
K12-CC,2015,-12,-27,Conductors,A,,,,,
K12-CC,2015,0,-12,Rows and Elevations,M,60.0,50.0,70.0,70.0,
K12-CC,2015,0,-12,Risers,M,20.0,30.0,80.0,10.0,
K12-CC,2015,0,-12,Caissons,M,70.0,50.0,100.0,20.0,
K12-CC,2015,0,-12,Conductors,M,,,,,
K12-CC,2015,-12,-27,Rows and Elevations,M,20.0,30.0,100.0,50.0,
K12-CC,2015,-12,-27,Risers,M,0.0,0.0,100.0,30.0,
K12-CC,2015,-12,-27,Caissons,M,,,,,
K12-CC,2015,-12,-27,Conductors,M,,,,,
K12-CC,2015,3,-12,Row 2,A,60.0,50.0,40.0,10.0,
K12-CC,2015,3,-12,Row 4,A,40.0,40.0,60.0,30.0,
K12-CC,2015,3,-12,Row B,A,50.0,50.0,50.0,30.0,
K12-CC,2015,3,-12,Row D,A,30.0,30.0,20.0,20.0,
K12-CC,2015,-12,-27,Row 2,A,0.0,0.0,100.0,40.0,
K12-CC,2015,-12,-27,Row 4,A,20.0,30.0,80.0,40.0,
K12-CC,2015,-12,-27,Row B,A,20.0,30.0,80.0,50.0,
K12-CC,2015,-12,-27,Row D,A,0.0,0.0,100.0,40.0,
K12-CC,2015,-10,-10,Level 1,A,60.0,50.0,40.0,20.0,
K12-CC,2015,-10,-10,Conductor Field,A,,,,,
K12-CC,2015,-27,-27,Level 2,A,0.0,0.0,10.0,20.0,
K12-CC,2015,-27,-27,Conductor Field,A,,,,,
K12-CC,2013,0,-12,Rows and Elevations,A,46.0,9.0,54.0,18.0,
K12-CC,2013,0,-12,Risers,A,20.0,23.0,25.0,32.0,
K12-CC,2013,0,-12,Caissons,A,80.0,10.0,20.0,10.0,
K12-CC,2013,0,-12,Conductors,A,,,,,
K12-CC,2013,-12,-27,Rows and Elevations,A,10.0,8.0,80.0,43.0,
K12-CC,2013,-12,-27,Risers,A,10.0,5.0,50.0,33.0,
K12-CC,2013,-12,-27,Caissons,A,,,,,
K12-CC,2013,-12,-27,Conductors,A,,,,,
K12-CC,2013,0,-12,Rows and Elevations,M,80.0,10.0,70.0,40.0,
K12-CC,2013,0,-12,Risers,M,20.0,40.0,30.0,50.0,
K12-CC,2013,0,-12,Caissons,M,80.0,10.0,20.0,10.0,
K12-CC,2013,0,-12,Conductors,M,,,,,
K12-CC,2013,-12,-27,Rows and Elevations,M,20.0,10.0,100.0,80.0,
K12-CC,2013,-12,-27,Risers,M,20.0,5.0,80.0,40.0,
K12-CC,2013,-12,-27,Caissons,M,,,,,
K12-CC,2013,-12,-27,Conductors,M,,,,,
K12-CC,2013,3,-10,Row 2,A,30.0,5.0,70.0,15.0,
K12-CC,2013,3,-10,Row 4,A,40.0,10.0,60.0,30.0,
K12-CC,2013,3,-10,Row B,A,80.0,10.0,20.0,40.0,
K12-CC,2013,3,-10,Row D,A,40.0,10.0,60.0,10.0,
K12-CC,2013,-10,-27,Row 2,A,30.0,5.0,80.0,25.0,
K12-CC,2013,-10,-27,Row 4,A,20.0,10.0,80.0,40.0,
K12-CC,2013,-10,-27,Row B,A,0.0,0.0,100.0,60.0,
K12-CC,2013,-10,-27,Row D,A,10.0,10.0,90.0,40.0,
K12-CC,2013,-10,-10,Level 1,A,40.0,10.0,60.0,10.0,
K12-CC,2013,-10,-10,Conductor Field,A,,,,,
K12-CC,2013,-27,-27,Level 2,A,0.0,0.0,50.0,10.0,
K12-CC,2013,-27,-27,Conductor Field,A,,,,,
K12-CC,2011,3,-12,Rows and Elevations,A,70.0,37.0,18.0,39.0,
K12-CC,2011,3,-12,Risers,A,75.0,42.0,5.0,20.0,
K12-CC,2011,3,-12,Caissons,A,38.0,37.0,25.0,28.0,
K12-CC,2011,3,-12,Conductors,A,,,,,
K12-CC,2011,-12,-27,Rows and Elevations,A,48.0,48.0,53.0,45.0,
K12-CC,2011,-12,-27,Risers,A,3.0,30.0,90.0,14.0,
K12-CC,2011,-12,-27,Caissons,A,0.0,0.0,20.0,10.0,
K12-CC,2011,-12,-27,Conductors,A,,,,,
K12-CC,2011,3,-12,Rows and Elevations,M,100.0,60.0,70.0,60.0,
K12-CC,2011,3,-12,Risers,M,90.0,50.0,10.0,20.0,
K12-CC,2011,3,-12,Caissons,M,40.0,40.0,40.0,30.0,
K12-CC,2011,3,-12,Conductors,M,,,,,
K12-CC,2011,-12,-27,Rows and Elevations,M,80.0,60.0,70.0,70.0,
K12-CC,2011,-12,-27,Risers,M,5.0,30.0,100.0,20.0,
K12-CC,2011,-12,-27,Caissons,M,0.0,0.0,20.0,10.0,
K12-CC,2011,-12,-27,Conductors,M,,,,,
K12-CC,2011,3,0,Row 2,A,100.0,10.0,0.0,0.0,
K12-CC,2011,3,0,Row 4,A,100.0,50.0,0.0,0.0,
K12-CC,2011,3,0,Row B,A,80.0,30.0,0.0,0.0,
K12-CC,2011,3,0,Row D,A,80.0,20.0,10.0,5.0,
K12-CC,2011,0,-10,Row 2,A,100.0,60.0,0.0,0.0,
K12-CC,2011,0,-10,Row 4,A,30.0,50.0,70.0,60.0,
K12-CC,2011,0,-10,Row B,A,80.0,40.0,10.0,30.0,
K12-CC,2011,0,-10,Row D,A,50.0,40.0,20.0,10.0,
K12-CC,2011,-10,-27,Row 2,A,30.0,30.0,70.0,60.0,
K12-CC,2011,-10,-27,Row 4,A,80.0,60.0,20.0,20.0,
K12-CC,2011,-10,-27,Row B,A,30.0,50.0,70.0,70.0,
K12-CC,2011,-10,-27,Row D,A,50.0,40.0,50.0,40.0,
K12-CC,2011,-10,-10,Level 1,A,10.0,30.0,50.0,30.0,
K12-CC,2011,-10,-10,Conductor Field,A,,,,,
K12-CC,2011,-27,-27,Level 2,A,,,,,
K12-CC,2011,-27,-27,Conductor Field,A,,,,,
K12-CC,2009,3,-12,Rows and Elevations,A,18.0,46.0,82.0,16.0,
K12-CC,2009,3,-12,Risers,A,35.0,40.0,50.0,20.0,
K12-CC,2009,3,-12,Caissons,A,10.0,5.0,10.0,5.0,
K12-CC,2009,3,-12,Conductors,A,,,,,
K12-CC,2009,-12,-27,Rows and Elevations,A,0.0,0.0,100.0,64.0,
K12-CC,2009,-12,-27,Risers,A,0.0,0.0,100.0,20.0,
K12-CC,2009,-12,-27,Caissons,A,10.0,15.0,15.0,7.0,
K12-CC,2009,-12,-27,Conductors,A,,,,,
K12-CC,2009,3,-12,Rows and Elevations,M,60.0,70.0,100.0,40.0,
K12-CC,2009,3,-12,Risers,M,70.0,40.0,100.0,20.0,
K12-CC,2009,3,-12,Caissons,M,10.0,5.0,10.0,5.0,
K12-CC,2009,3,-12,Conductors,M,,,,,
K12-CC,2009,-12,-27,Rows and Elevations,M,0.0,0.0,100.0,70.0,
K12-CC,2009,-12,-27,Risers,M,0.0,0.0,100.0,20.0,
