platform,year,depthmin,depthmax,Item,AvgMax,hardperc,hardmm,softperc,softmm,Remarks
K12-D,2015,0.0,-12.0,Rows and Elevations,A,65.0,40.0,28.0,23.0,
K12-D,2015,0.0,-12.0,Risers,A,85.0,50.0,15.0,17.0,
K12-D,2015,0.0,-12.0,Caissons,A,50.0,49.0,50.0,20.0,
K12-D,2015,0.0,-12.0,Conductors,A,83.0,45.0,18.0,10.0,
K12-D,2015,-12.0,-27.4,Rows and Elevations,A,3.0,30.0,80.0,40.0,
K12-D,2015,-12.0,-27.4,Risers,A,25.0,50.0,75.0,33.0,
K12-D,2015,-12.0,-27.4,Caissons,A,,,,,
K12-D,2015,-12.0,-27.4,Conductors,A,8.0,30.0,74.0,38.0,
K12-D,2015,0.0,-12.0,Rows and Elevations,M,80.0,50.0,60.0,30.0,
K12-D,2015,0.0,-12.0,Risers,M,90.0,50.0,20.0,20.0,
K12-D,2015,0.0,-12.0,Caissons,M,80.0,50.0,90.0,20.0,
K12-D,2015,0.0,-12.0,Conductors,M,90.0,50.0,20.0,10.0,
K12-D,2015,-12.0,-27.4,Rows and Elevations,M,10.0,30.0,100.0,40.0,
K12-D,2015,-12.0,-27.4,Risers,M,50.0,50.0,100.0,40.0,
K12-D,2015,-12.0,-27.4,Caissons,M,,,,,
K12-D,2015,-12.0,-27.4,Conductors,M,10.0,30.0,95.0,50.0,
K12-D,2015,3.0,-12.0,Row 1,A,70.0,50.0,30.0,30.0,
K12-D,2015,3.0,-12.0,Row 2,A,80.0,40.0,10.0,20.0,
K12-D,2015,3.0,-12.0,Row A,A,40.0,40.0,60.0,20.0,
K12-D,2015,3.0,-12.0,Row B,A,70.0,30.0,10.0,20.0,
K12-D,2015,-12.0,-38.3,Row 1,A,10.0,30.0,90.0,40.0,
K12-D,2015,-12.0,-38.3,Row 2,A,0.0,0.0,70.0,40.0,
K12-D,2015,-12.0,-38.3,Row A,A,0.0,0.0,100.0,40.0,
K12-D,2015,-12.0,-38.3,Row B,A,0.0,0.0,60.0,40.0,
K12-D,2015,-4.5,-4.5,Level 1 ,A,70.0,50.0,30.0,30.0,
K12-D,2015,-4.5,-4.5,Conductor Field,A,80.0,50.0,20.0,20.0,
K12-D,2015,-15.5,-15.5,Level 2,A,0.0,0.0,100.0,30.0,
K12-D,2015,-15.5,-15.5,Conductor Field ,A,0.0,0.0,100.0,30.0,
K12-D,2015,-27.4,-27.4,Level 3,A,0.0,0.0,100.0,30.0,
K12-D,2015,-27.4,-27.4,Conductor Field ,A,0.0,0.0,100.0,30.0,
K12-D,2011,0.0,-12.0,Rows and Elevations,A,85.0,65.0,16.0,58.0,
K12-D,2011,0.0,-12.0,Risers,A,100.0,80.0,0.0,0.0,
K12-D,2011,0.0,-12.0,Caissons,A,77.0,46.0,13.0,50.0,
K12-D,2011,0.0,-12.0,Conductors,A,83.0,72.0,17.0,58.0,
K12-D,2011,-12.0,-27.4,Rows and Elevations,A,0.0,0.0,98.0,60.0,
K12-D,2011,-12.0,-27.4,Risers,A,0.0,0.0,80.0,20.0,
K12-D,2011,-12.0,-27.4,Caissons,A,0.0,0.0,100.0,60.0,
K12-D,2011,-12.0,-27.4,Conductors,A,0.0,0.0,100.0,75.0,
K12-D,2011,0.0,-12.0,Rows and Elevations,M,100.0,90.0,70.0,70.0,
K12-D,2011,0.0,-12.0,Risers,M,100.0,150.0,0.0,0.0,
K12-D,2011,0.0,-12.0,Caissons,M,100.0,60.0,30.0,60.0,
K12-D,2011,0.0,-12.0,Conductors,M,100.0,80.0,50.0,60.0,
K12-D,2011,-12.0,-27.4,Rows and Elevations,M,0.0,0.0,100.0,60.0,
K12-D,2011,-12.0,-27.4,Risers,M,0.0,0.0,80.0,20.0,
K12-D,2011,-12.0,-27.4,Caissons,M,0.0,0.0,100.0,80.0,
K12-D,2011,-12.0,-27.4,Conductors,M,0.0,0.0,100.0,80.0,
K12-D,2011,3.0,0.0,Row 1,A,100.0,70.0,0.0,0.0,
K12-D,2011,3.0,0.0,Row 2,A,100.0,40.0,0.0,0.0,
K12-D,2011,3.0,0.0,Row A,A,100.0,70.0,0.0,0.0,
K12-D,2011,3.0,0.0,Row B,A,100.0,40.0,0.0,0.0,
K12-D,2011,0.0,-12.0,Row 1,A,100.0,80.0,0.0,0.0,
K12-D,2011,0.0,-12.0,Row 2,A,100.0,80.0,10.0,50.0,
K12-D,2011,0.0,-12.0,Row A,A,90.0,90.0,10.0,50.0,
K12-D,2011,0.0,-12.0,Row B,A,100.0,50.0,0.0,0.0,
K12-D,2011,-12.0,-15.5,Row 1,A,50.0,90.0,50.0,70.0,
K12-D,2011,-12.0,-15.5,Row 2,A,40.0,60.0,60.0,60.0,
K12-D,2011,-12.0,-15.5,Row A,A,80.0,70.0,20.0,60.0,
K12-D,2011,-12.0,-15.5,Row B,A,30.0,50.0,70.0,50.0,
K12-D,2011,-15.5,-38.3,Row 1,A,0.0,0.0,90.0,60.0,
K12-D,2011,-15.5,-38.3,Row 2,A,0.0,0.0,100.0,60.0,
K12-D,2011,-15.5,-38.3,Row A,A,0.0,0.0,100.0,60.0,
K12-D,2011,-15.5,-38.3,Row B,A,0.0,0.0,100.0,60.0,
K12-D,2011,-4.5,-4.5,Level 1 ,A,100.0,60.0,0.0,0.0,
K12-D,2011,-4.5,-4.5,Conductor Field,A,100.0,80.0,0.0,0.0,
K12-D,2011,-15.5,-15.5,Level 2,A,0.0,0.0,100.0,60.0,
K12-D,2011,-15.5,-15.5,Conductor Field ,A,0.0,0.0,100.0,60.0,
K12-D,2011,-27.4,-27.4,Level 3,A,,,,,
K12-D,2011,-27.4,-27.4,Conductor Field ,A,,,,,
K12-D,2005,0.0,-12.0,Rows and Elevations,A,50.0,47.0,52.0,71.0,Marine Growth Removal
K12-D,2005,0.0,-12.0,Risers,A,50.0,50.0,50.0,60.0,Marine Growth Removal
K12-D,2005,0.0,-12.0,Caissons,A,74.0,43.0,26.0,44.0,Marine Growth Removal
K12-D,2005,0.0,-12.0,Conductors,A,70.0,31.0,30.0,90.0,Marine Growth Removal
K12-D,2005,-12.0,-27.4,Rows and Elevations,A,0.0,0.0,100.0,97.0,
K12-D,2005,-12.0,-27.4,Risers,A,0.0,0.0,100.0,67.0,
K12-D,2005,-12.0,-27.4,Caissons,A,17.0,50.0,83.0,62.0,
K12-D,2005,-12.0,-27.4,Conductors,A,3.0,50.0,97.0,111.0,
K12-D,2005,0.0,-12.0,Rows and Elevations,M,100.0,50.0,100.0,100.0,Marine Growth Removal
K12-D,2005,0.0,-12.0,Risers,M,100.0,50.0,100.0,60.0,Marine Growth Removal
K12-D,2005,0.0,-12.0,Caissons,M,100.0,55.0,100.0,50.0,Marine Growth Removal
K12-D,2005,0.0,-12.0,Conductors,M,100.0,50.0,90.0,90.0,Marine Growth Removal
K12-D,2005,-12.0,-27.4,Rows and Elevations,M,0.0,0.0,100.0,120.0,
K12-D,2005,-12.0,-27.4,Risers,M,0.0,0.0,100.0,70.0,
K12-D,2005,-12.0,-27.4,Caissons,M,50.0,50.0,100.0,80.0,
K12-D,2005,-12.0,-27.4,Conductors,M,10.0,50.0,100.0,120.0,
K12-D,2005,3.0,0.0,Row 1,A,100.0,45.0,10.0,10.0,Marine Growth Removal
K12-D,2005,3.0,0.0,Row 2,A,90.0,40.0,10.0,10.0,Marine Growth Removal
K12-D,2005,3.0,0.0,Row A,A,100.0,50.0,10.0,10.0,Marine Growth Removal
K12-D,2005,3.0,0.0,Row B,A,100.0,50.0,0.0,0.0,Marine Growth Removal
K12-D,2005,0.0,-12.0,Row 1,A,50.0,50.0,50.0,50.0,Marine Growth Removal
K12-D,2005,0.0,-12.0,Row 2,A,50.0,40.0,50.0,70.0,Marine Growth Removal
K12-D,2005,0.0,-12.0,Row A,A,80.0,50.0,20.0,10.0,Marine Growth Removal
K12-D,2005,0.0,-12.0,Row B,A,50.0,50.0,50.0,50.0,Marine Growth Removal
K12-D,2005,-12.0,-15.5,Row 1,A,0.0,0.0,100.0,90.0,
K12-D,2005,-12.0,-15.5,Row 2,A,0.0,0.0,100.0,100.0,
K12-D,2005,-12.0,-15.5,Row A,A,0.0,0.0,100.0,100.0,
K12-D,2005,-12.0,-15.5,Row B,A,0.0,0.0,100.0,90.0,
K12-D,2005,-15.5,-38.3,Row 1,A,0.0,0.0,100.0,90.0,
K12-D,2005,-15.5,-38.3,Row 2,A,0.0,0.0,100.0,120.0,
K12-D,2005,-15.5,-38.3,Row A,A,0.0,0.0,100.0,90.0,
K12-D,2005,-15.5,-38.3,Row B,A,0.0,0.0,100.0,90.0,
K12-D,2005,-4.5,-4.5,Level 1 ,A,30.0,40.0,70.0,10.0,
K12-D,2005,-4.5,-4.5,Conductor Field,A,30.0,40.0,70.0,10.0,
K12-D,2005,-15.5,-15.5,Level 2,A,0.0,0.0,100.0,90.0,
K12-D,2005,-15.5,-15.5,Conductor Field ,A,0.0,0.0,100.0,60.0,
K12-D,2005,-27.4,-27.4,Level 3,A,0.0,0.0,100.0,100.0,
K12-D,2005,-27.4,-27.4,Conductor Field ,A,,,,,
K12-D,2003,0.0,-12.0,Rows and Elevations,A,68.0,25.0,27.0,30.0,
K12-D,2003,0.0,-12.0,Risers,A,67.0,20.0,33.0,40.0,
K12-D,2003,0.0,-12.0,Caissons,A,57.0,24.0,25.0,27.0,
K12-D,2003,0.0,-12.0,Conductors,A,63.0,25.0,28.0,25.0,
K12-D,2003,-12.0,-27.4,Rows and Elevations,A,0.0,0.0,90.0,40.0,
K12-D,2003,-12.0,-27.4,Risers,A,0.0,0.0,100.0,40.0,
K12-D,2003,-12.0,-27.4,Caissons,A,0.0,0.0,75.0,25.0,
K12-D,2003,-12.0,-27.4,Conductors,A,0.0,0.0,100.0,50.0,
K12-D,2003,0.0,-12.0,Rows and Elevations,M,100.0,30.0,90.0,40.0,
K12-D,2003,0.0,-12.0,Risers,M,100.0,20.0,100.0,40.0,
K12-D,2003,0.0,-12.0,Caissons,M,100.0,30.0,90.0,30.0,
K12-D,2003,0.0,-12.0,Conductors,M,100.0,30.0,90.0,30.0,
K12-D,2003,-12.0,-27.4,Rows and Elevations,M,0.0,0.0,100.0,50.0,
K12-D,2003,-12.0,-27.4,Risers,M,0.0,0.0,100.0,40.0,
K12-D,2003,-12.0,-27.4,Caissons,M,0.0,0.0,80.0,30.0,
K12-D,2003,-12.0,-27.4,Conductors,M,0.0,0.0,100.0,50.0,
K12-D,2003,3.0,0.0,Row 1,A,,,,,
K12-D,2003,3.0,0.0,Row 2,A,,,,,
K12-D,2003,3.0,0.0,Row A,A,,,,,
K12-D,2003,3.0,0.0,Row B,A,,,,,
K12-D,2003,0.0,-12.0,Row 1,A,,,,,
K12-D,2003,0.0,-12.0,Row 2,A,,,,,
K12-D,2003,0.0,-12.0,Row A,A,,,,,
K12-D,2003,0.0,-12.0,Row B,A,,,,,
K12-D,2003,-12.0,-15.5,Row 1,A,,,,,
K12-D,2003,-12.0,-15.5,Row 2,A,,,,,
K12-D,2003,-12.0,-15.5,Row A,A,,,,,
K12-D,2003,-12.0,-15.5,Row B,A,,,,,
K12-D,2003,-15.5,-38.3,Row 1,A,,,,,
K12-D,2003,-15.5,-38.3,Row 2,A,,,,,
K12-D,2003,-15.5,-38.3,Row A,A,,,,,
K12-D,2003,-15.5,-38.3,Row B,A,,,,,
K12-D,2003,-4.5,-4.5,Level 1 ,A,,,,,
K12-D,2003,-4.5,-4.5,Conductor Field,A,,,,,
K12-D,2003,-15.5,-15.5,Level 2,A,,,,,
K12-D,2003,-15.5,-15.5,Conductor Field ,A,,,,,
K12-D,2003,-27.4,-27.4,Level 3,A,,,,,
K12-D,2003,-27.4,-27.4,Conductor Field ,A,,,,,
K12-D,2000,0.0,-12.0,Rows and Elevations,A,68.0,47.0,12.0,16.0,
K12-D,2000,0.0,-12.0,Risers,A,52.0,40.0,23.0,30.0,
K12-D,2000,0.0,-12.0,Caissons,A,61.0,45.0,21.0,15.0,
