platform,year,depthmin,depthmax,Item,AvgMax,hardperc,hardmm,softperc,softmm,Remarks
K12-G,2014,0,-12,Rows and Elevations,A,3.0,20.0,53.0,22.0,
K12-G,2014,0,-12,Risers,A,40.0,50.0,30.0,30.0,
K12-G,2014,0,-12,Caissons,A,18.0,20.0,50.0,23.0,
K12-G,2014,0,-12,Conductors,A,5.0,13.0,20.0,13.0,
K12-G,2014,-12,-26,Rows and Elevations,A,0.0,0.0,100.0,38.0,
K12-G,2014,-12,-26,Risers,A,80.0,50.0,20.0,30.0,
K12-G,2014,-12,-26,Caissons,A,,,,,
K12-G,2014,-12,-26,Conductors,A,0.0,0.0,60.0,33.0,
K12-G,2014,0,-12,Rows and Elevations,M,5.0,20.0,100.0,30.0,
K12-G,2014,0,-12,Risers,M,40.0,50.0,30.0,30.0,
K12-G,2014,0,-12,Caissons,M,30.0,20.0,70.0,30.0,
K12-G,2014,0,-12,Conductors,M,5.0,20.0,20.0,20.0,
K12-G,2014,-12,-26,Rows and Elevations,M,0.0,0.0,100.0,50.0,
K12-G,2014,-12,-26,Risers,M,80.0,50.0,20.0,30.0,
K12-G,2014,-12,-26,Caissons,M,,,,,
K12-G,2014,-12,-26,Conductors,M,0.0,0.0,60.0,40.0,
K12-G,2014,3,-12,Row 1,A,5.0,20.0,20.0,20.0,
K12-G,2014,3,-12,Row 2,A,5.0,20.0,60.0,30.0,
K12-G,2014,3,-12,Row A,A,5.0,20.0,20.0,20.0,
K12-G,2014,3,-12,Row B,A,5.0,20.0,20.0,20.0,
K12-G,2014,-12,-26,Row 1,A,0.0,0.0,100.0,30.0,
K12-G,2014,-12,-26,Row 2,A,0.0,0.0,100.0,50.0,
K12-G,2014,-12,-26,Row A,A,0.0,0.0,100.0,30.0,
K12-G,2014,-12,-26,Row B,A,0.0,0.0,100.0,40.0,
K12-G,2014,-10,-10,Level 1,A ,0.0,0.0,100.0,20.0,
K12-G,2014,-10,-10,Conductor Field,A,0.0,0.0,100.0,20.0,
K12-G,2014,-26,-26,Level 2,A,0.0,0.0,100.0,40.0,
K12-G,2014,-26,-26,Conductor Field,A,0.0,0.0,100.0,40.0,
K12-G,2012,3,-12,Rows and Elevations,A,30.0,24.0,70.0,41.0,
K12-G,2012,3,-12,Risers,A,0.0,0.0,100.0,40.0,
K12-G,2012,3,-12,Caissons,A,11.0,13.0,89.0,38.0,
K12-G,2012,3,-12,Conductors,A,35.0,15.0,21.0,17.0,
K12-G,2012,-12,-26,Rows and Elevations,A,8.0,12.0,52.0,47.0,
K12-G,2012,-12,-26,Risers,A,0.0,0.0,100.0,35.0,
K12-G,2012,-12,-26,Caissons,A,,,,,
K12-G,2012,-12,-26,Conductors,A,61.0,28.0,75.0,40.0,
K12-G,2012,3,-12,Rows and Elevations,M,60.0,30.0,90.0,60.0,
K12-G,2012,3,-12,Risers,M,0.0,0.0,100.0,40.0,
K12-G,2012,3,-12,Caissons,M,20.0,20.0,100.0,60.0,
K12-G,2012,3,-12,Conductors,M,70.0,30.0,100.0,30.0,
K12-G,2012,-12,-26,Rows and Elevations,M,20.0,20.0,100.0,50.0,
K12-G,2012,-12,-26,Risers,M,0.0,0.0,100.0,40.0,
K12-G,2012,-12,-26,Caissons,M,,,,,
K12-G,2012,-12,-26,Conductors,M,100.0,30.0,100.0,50.0,
