platform,year,depthmin,depthmax,Item,AvgMax,hardperc,hardmm,softperc,softmm,Remarks
K12-K,2015,0.0,-12.0,Rows and Elevations,A,13.0,30.0,87.0,25.0,
K12-K,2015,0.0,-12.0,Risers,A,20.0,30.0,80.0,30.0,
K12-K,2015,0.0,-12.0,Caissons,A,5.0,20.0,95.0,12.0,
K12-K,2015,0.0,-12.0,Conductors,A,50.0,33.0,37.0,20.0,
K12-K,2015,-12.0,-26.0,Rows and Elevations,A,0.0,0.0,100.0,43.0,
K12-K,2015,-12.0,-26.0,Risers,A,0.0,0.0,100.0,40.0,
K12-K,2015,-12.0,-26.0,Caissons,A,,,,,
K12-K,2015,-12.0,-26.0,Conductors,A,0.0,0.0,100.0,20.0,
K12-K,2015,0.0,-12.0,Rows and Elevations,M,20.0,30.0,90.0,30.0,
K12-K,2015,0.0,-12.0,Risers,M,20.0,30.0,80.0,30.0,
K12-K,2015,0.0,-12.0,Caissons,M,10.0,20.0,100.0,20.0,
K12-K,2015,0.0,-12.0,Conductors,M,80.0,40.0,50.0,20.0,
K12-K,2015,-12.0,-26.0,Rows and Elevations,M,0.0,0.0,100.0,50.0,
K12-K,2015,-12.0,-26.0,Risers,M,0.0,0.0,100.0,40.0,
K12-K,2015,-12.0,-26.0,Caissons,M,,,,,
K12-K,2015,-12.0,-26.0,Conductors,M,0.0,0.0,100.0,20.0,
K12-K,2015,3.0,-12.0,Row 1,A,10.0,30.0,90.0,30.0,
K12-K,2015,3.0,-12.0,Row 2,A,10.0,30.0,90.0,20.0,
K12-K,2015,3.0,-12.0,Row A,A,10.0,30.0,90.0,20.0,
K12-K,2015,3.0,-12.0,Row B,A,10.0,30.0,90.0,20.0,
K12-K,2015,-12.0,-26.0,Row 1,A,0.0,0.0,100.0,40.0,
K12-K,2015,-12.0,-26.0,Row 2,A,0.0,0.0,100.0,40.0,
K12-K,2015,-12.0,-26.0,Row A,A,0.0,0.0,100.0,30.0,
K12-K,2015,-12.0,-26.0,Row B,A,0.0,0.0,100.0,30.0,
K12-K,2015,-6.5,-6.5,Level 1,A,20.0,30.0,80.0,20.0,
K12-K,2015,-6.5,-6.5,Conductor Field,A,20.0,30.0,80.0,30.0,
K12-K,2015,-19.0,-19.0,Level 2,A,0.0,0.0,100.0,50.0,
K12-K,2015,-19.0,-19.0,Conductor Field,A,0.0,0.0,100.0,50.0,
K12-K,2015,-26.0,-26.0,Level 3,A,0.0,0.0,100.0,50.0,
K12-K,2015,-26.0,-26.0,Conductor Field,A,0.0,0.0,100.0,50.0,
K12-K,2014,0.0,-12.0,Rows and Elevations,A,3.0,30.0,23.0,31.0,
K12-K,2014,0.0,-12.0,Risers,A,0.0,0.0,0.0,0.0,
K12-K,2014,0.0,-12.0,Caissons,A,3.0,20.0,20.0,20.0,
K12-K,2014,0.0,-12.0,Conductors,A,0.0,0.0,100.0,5.0,
K12-K,2014,-12.0,-26.0,Rows and Elevations,A,0.0,0.0,66.0,45.0,
K12-K,2014,-12.0,-26.0,Risers,A,0.0,0.0,0.0,0.0,
K12-K,2014,-12.0,-26.0,Caissons,A,,,,,
K12-K,2014,-12.0,-26.0,Conductors,A,0.0,0.0,100.0,20.0,
K12-K,2014,0.0,-12.0,Rows and Elevations,M,5.0,30.0,40.0,40.0,
K12-K,2014,0.0,-12.0,Risers,M,0.0,0.0,0.0,0.0,
K12-K,2014,0.0,-12.0,Caissons,M,5.0,20.0,20.0,20.0,
K12-K,2014,0.0,-12.0,Conductors,M,0.0,0.0,100.0,5.0,
K12-K,2014,-12.0,-26.0,Rows and Elevations,M,0.0,0.0,80.0,50.0,
K12-K,2014,-12.0,-26.0,Risers,M,0.0,0.0,0.0,0.0,
K12-K,2014,-12.0,-26.0,Caissons,M,,,,,
K12-K,2014,-12.0,-26.0,Conductors,M,0.0,0.0,100.0,20.0,
K12-K,2014,3.0,-12.0,Row 1,A,3.0,30.0,40.0,20.0,
K12-K,2014,3.0,-12.0,Row 2,A,5.0,30.0,30.0,40.0,
K12-K,2014,3.0,-12.0,Row A,A,5.0,30.0,20.0,40.0,
K12-K,2014,3.0,-12.0,Row B,A,5.0,30.0,30.0,30.0,
K12-K,2014,-12.0,-26.0,Row 1,A,0.0,0.0,80.0,50.0,
K12-K,2014,-12.0,-26.0,Row 2,A,0.0,0.0,40.0,40.0,
K12-K,2014,-12.0,-26.0,Row A,A,0.0,0.0,40.0,40.0,
K12-K,2014,-12.0,-26.0,Row B,A,0.0,0.0,50.0,50.0,
K12-K,2014,-6.5,-6.5,Level 1,A,0.0,0.0,10.0,30.0,
K12-K,2014,-6.5,-6.5,Conductor Field,A,0.0,0.0,10.0,30.0,
K12-K,2014,-19.0,-19.0,Level 2,A,0.0,0.0,80.0,40.0,
K12-K,2014,-19.0,-19.0,Conductor Field,A,0.0,0.0,80.0,40.0,
K12-K,2014,-26.0,-26.0,Level 3,A,0.0,0.0,80.0,50.0,
K12-K,2014,-26.0,-26.0,Conductor Field,A,0.0,0.0,80.0,50.0,
K12-K,2011,3.0,-12.0,Rows and Elevations,A,53.0,42.0,17.0,25.0,
K12-K,2011,3.0,-12.0,Risers,A,0.0,0.0,97.0,12.0,
K12-K,2011,3.0,-12.0,Caissons,A,49.0,60.0,5.0,20.0,
K12-K,2011,3.0,-12.0,Conductors,A,43.0,37.0,23.0,19.0,
K12-K,2011,-12.0,-26.0,Rows and Elevations,A,0.0,0.0,57.0,34.0,
K12-K,2011,-12.0,-26.0,Risers,A,0.0,0.0,95.0,15.0,
