platform,year,depthmin,depthmax,Item,AvgMax,hard%,hardmm,soft%,softmm,Remarks
K9-A,2016,0.0,-12.0,Rows and Elevations,A,19,23.0,46.0,40.0,Marine Growth Removal
K9-A,2016,0.0,-12.0,Risers,A,,,,,Marine Growth Removal
K9-A,2016,0.0,-12.0,Caissons,A,10,7.0,14.0,19.0,Marine Growth Removal
K9-A,2016,0.0,-12.0,Conductors,A,13,0.0,30.0,0.0,Marine Growth Removal
K9-A,2016,-12.0,-29.6,Rows and Elevations,A,1,5.0,55.0,50.0,
K9-A,2016,-12.0,-29.6,Risers,A,,,,,
K9-A,2016,-12.0,-29.6,Caissons,A,,,,,
K9-A,2016,-12.0,-29.6,Conductors,A,3,0.0,61.0,37.0,
K9-A,2016,0.0,-12.0,Rows and Elevations,M,25,30.0,80.0,50.0,Marine Growth Removal
K9-A,2016,0.0,-12.0,Risers,M,,,,,Marine Growth Removal
K9-A,2016,0.0,-12.0,Caissons,M,20,30.0,20.0,25.0,Marine Growth Removal
K9-A,2016,0.0,-12.0,Conductors,M,20,30.0,70.0,25.0,Marine Growth Removal
K9-A,2016,-12.0,-29.6,Rows and Elevations,M,5,5.0,70.0,65.0,
K9-A,2016,-12.0,-29.6,Risers,M,,,,,
K9-A,2016,-12.0,-29.6,Caissons,M,,,,,
K9-A,2016,-12.0,-29.6,Conductors,M,5,10.0,70.0,50.0,
K9-A,2016,3.0,-12.0,Row 1,A,25,20.0,30.0,40.0,Marine Growth Removal
K9-A,2016,3.0,-12.0,Row 2,A,,,,,Marine Growth Removal
K9-A,2016,3.0,-12.0,Row A,A,20,30.0,35.0,25.0,Marine Growth Removal
K9-A,2016,3.0,-12.0,Row B,A,10,15.0,15.0,25.0,Marine Growth Removal
K9-A,2016,-12.0,-29.6,Row 1,A,0,0.0,70.0,65.0,
K9-A,2016,-12.0,-29.6,Row 2,A,,,,,
K9-A,2016,-12.0,-29.6,Row A,A,5,5.0,50.0,40.0,
K9-A,2016,-12.0,-29.6,Row B,A,0,0.0,60.0,55.0,
K9-A,2016,-12.0,-12.0,Level 1 ,A,20,20.0,80.0,50.0,Marine Growth Removal
K9-A,2016,-12.0,-12.0,Conductor Field,A,20,25.0,70.0,40.0,Marine Growth Removal
K9-A,2016,-29.6,-29.6,Level 2 ,A,0,0.0,40.0,30.0,
K9-A,2016,-29.6,-29.6,Conductor Field ,A,,,,,
K9-A,2014,0.0,-12.0,Rows and Elevations,A,6,20.0,60.0,28.0,
K9-A,2014,0.0,-12.0,Risers,A,5,10.0,95.0,30.0,
K9-A,2014,0.0,-12.0,Caissons,A,8,20.0,30.0,27.0,
K9-A,2014,0.0,-12.0,Conductors,A,13,46.0,30.0,27.0,
K9-A,2014,-12.0,-29.6,Rows and Elevations,A,0,0.0,48.0,36.0,
K9-A,2014,-12.0,-29.6,Risers,A,0,0.0,80.0,30.0,
K9-A,2014,-12.0,-29.6,Caissons,A,0,0.0,0.0,0.0,
K9-A,2014,-12.0,-29.6,Conductors,A,0,0.0,70.0,46.0,
K9-A,2014,0.0,-12.0,Rows and Elevations,M,10,20.0,80.0,30.0,
K9-A,2014,0.0,-12.0,Risers,M,5,10.0,95.0,30.0,
K9-A,2014,0.0,-12.0,Caissons,M,10,20.0,60.0,30.0,
K9-A,2014,0.0,-12.0,Conductors,M,20,50.0,40.0,30.0,
K9-A,2014,-12.0,-29.6,Rows and Elevations,M,0,0.0,60.0,40.0,
K9-A,2014,-12.0,-29.6,Risers,M,0,0.0,80.0,30.0,
K9-A,2014,-12.0,-29.6,Caissons,M,,,,,
K9-A,2014,-12.0,-29.6,Conductors,M,0,0.0,80.0,50.0,
K9-A,2014,3.0,-12.0,Row 1,A,10,20.0,60.0,30.0,
K9-A,2014,3.0,-12.0,Row 2,A,10,20.0,60.0,30.0,
K9-A,2014,3.0,-12.0,Row A,A,5,20.0,30.0,30.0,
K9-A,2014,3.0,-12.0,Row B,A,10,20.0,60.0,30.0,
K9-A,2014,-12.0,-29.6,Row 1,A,0,0.0,60.0,40.0,
K9-A,2014,-12.0,-29.6,Row 2,A,0,0.0,60.0,40.0,
K9-A,2014,-12.0,-29.6,Row A,A,0,0.0,50.0,30.0,
K9-A,2014,-12.0,-29.6,Row B,A,0,0.0,60.0,40.0,
K9-A,2014,-12.0,-12.0,Level 1 ,A,0,0.0,70.0,20.0,
K9-A,2014,-12.0,-12.0,Conductor Field,A,0,0.0,80.0,30.0,
K9-A,2014,-29.6,-29.6,Level 2 ,A,0,0.0,20.0,30.0,
K9-A,2014,-29.6,-29.6,Conductor Field ,A,0,0.0,40.0,30.0,
K9-A,2011,3.0,-12.0,Rows and Elevations,A,67,43.0,20.0,34.0,
K9-A,2011,3.0,-12.0,Risers,A,50,50.0,50.0,20.0,
K9-A,2011,3.0,-12.0,Caissons,A,43,45.0,19.0,25.0,
K9-A,2011,3.0,-12.0,Conductors,A,88,56.0,11.0,26.0,
K9-A,2011,-12.0,-29.6,Rows and Elevations,A,3,30.0,94.0,48.0,
K9-A,2011,-12.0,-29.6,Risers,A,0,0.0,95.0,45.0,
K9-A,2011,-12.0,-29.6,Caissons,A,0,0.0,80.0,30.0,
K9-A,2011,-12.0,-29.6,Conductors,A,5,30.0,90.0,45.0,
K9-A,2011,3.0,-12.0,Rows and Elevations,M,90,60.0,80.0,50.0,
K9-A,2011,3.0,-12.0,Risers,M,100,50.0,100.0,20.0,
K9-A,2011,3.0,-12.0,Caissons,M,90,50.0,60.0,30.0,
K9-A,2011,3.0,-12.0,Conductors,M,100,70.0,40.0,30.0,
K9-A,2011,-12.0,-29.6,Rows and Elevations,M,10,30.0,100.0,50.0,
K9-A,2011,-12.0,-29.6,Risers,M,0,0.0,100.0,50.0,
K9-A,2011,-12.0,-29.6,Caissons,M,0,0.0,80.0,30.0,
K9-A,2011,-12.0,-29.6,Conductors,M,10,40.0,100.0,50.0,
K9-A,2011,3.0,0.0,Row 1,A,90,40.0,10.0,40.0,
K9-A,2011,3.0,0.0,Row 2,A,90,40.0,0.0,0.0,
K9-A,2011,3.0,0.0,Row A ,A,90,50.0,10.0,20.0,
K9-A,2011,3.0,0.0,Row B,A,90,40.0,10.0,20.0,
K9-A,2011,0.0,-12.0,Row 1,A,80,40.0,10.0,40.0,
K9-A,2011,0.0,-12.0,Row 2,A,80,30.0,10.0,30.0,
K9-A,2011,0.0,-12.0,Row A ,A,80,60.0,20.0,50.0,
K9-A,2011,0.0,-12.0,Row B,A,70,40.0,10.0,20.0,
K9-A,2011,-12.0,-29.6,Row 1,A,0,0.0,95.0,50.0,
K9-A,2011,-12.0,-29.6,Row 2,A,0,0.0,90.0,50.0,
K9-A,2011,-12.0,-29.6,Row A ,A,0,0.0,100.0,50.0,
K9-A,2011,-12.0,-29.6,Row B,A,10,30.0,90.0,40.0,
K9-A,2011,-12.0,-12.0,Level 1 ,A,0,0.0,40.0,20.0,
K9-A,2011,-12.0,-12.0,Conductor Field,A,0,0.0,80.0,40.0,
K9-A,2011,-29.6,-29.6,Level 2 ,A,0,0.0,20.0,20.0,
K9-A,2011,-29.6,-29.6,Conductor Field,A,,,,,
K9-A,2008,3.0,-12.0,Rows and Elevations,A,34,51.0,63.0,27.0,
K9-A,2008,3.0,-12.0,Risers,A,25,60.0,75.0,20.0,
K9-A,2008,3.0,-12.0,Caissons,A,17,36.0,80.0,24.0,
K9-A,2008,3.0,-12.0,Conductors,A,33,51.0,63.0,24.0,
K9-A,2008,-12.0,-29.6,Rows and Elevations,A,4,60.0,96.0,76.0,
K9-A,2008,-12.0,-29.6,Risers,A,0,0.0,100.0,75.0,
K9-A,2008,-12.0,-29.6,Caissons,A,0,0.0,87.0,26.0,
K9-A,2008,-12.0,-29.6,Conductors,A,0,0.0,75.0,67.0,
K9-A,2008,3.0,-12.0,Rows and Elevations,M,90,60.0,100.0,50.0,
K9-A,2008,3.0,-12.0,Risers,M,50,60.0,100.0,40.0,
K9-A,2008,3.0,-12.0,Caissons,M,80,40.0,100.0,40.0,
K9-A,2008,3.0,-12.0,Conductors,M,100,60.0,100.0,50.0,
K9-A,2008,-12.0,-29.6,Rows and Elevations,M,20,60.0,100.0,80.0,
K9-A,2008,-12.0,-29.6,Risers,M,0,0.0,100.0,80.0,
K9-A,2008,-12.0,-29.6,Caissons,M,0,0.0,100.0,40.0,
K9-A,2008,-12.0,-29.6,Conductors,M,0,0.0,100.0,80.0,
K9-A,2008,3.0,0.0,Row 1,A,0,0.0,100.0,20.0,
K9-A,2008,3.0,0.0,Row 2,A,0,0.0,100.0,20.0,
K9-A,2008,3.0,0.0,Row A ,A,0,0.0,100.0,20.0,
K9-A,2008,3.0,0.0,Row B,A,0,0.0,100.0,20.0,
K9-A,2008,0.0,-12.0,Row 1,A,50,40.0,50.0,50.0,
K9-A,2008,0.0,-12.0,Row 2,A,50,50.0,50.0,40.0,
K9-A,2008,0.0,-12.0,Row A ,A,90,60.0,10.0,50.0,
K9-A,2008,0.0,-12.0,Row B,A,80,60.0,20.0,50.0,
K9-A,2008,-12.0,-29.6,Row 1,A,0,0.0,100.0,80.0,
K9-A,2008,-12.0,-29.6,Row 2,A,0,0.0,100.0,80.0,
K9-A,2008,-12.0,-29.6,Row A ,A,0,0.0,100.0,70.0,
K9-A,2008,-12.0,-29.6,Row B,A,20,60.0,80.0,80.0,
K9-A,2008,-12.0,-12.0,Level 1 ,A,0,0.0,100.0,20.0,
K9-A,2008,-12.0,-12.0,Conductor Field,A,40,30.0,40.0,30.0,
K9-A,2008,-29.6,-29.6,Level 2 ,A,0,0.0,100.0,70.0,
K9-A,2008,-29.6,-29.6,Conductor Field,A,0,0.0,100.0,60.0,
K9-A,2007,3.0,-12.0,Rows and Elevations,A,60,51.0,27.0,27.0,
K9-A,2007,3.0,-12.0,Risers,A,90,66.0,0.0,0.0,Marine Growth Removal
K9-A,2007,3.0,-12.0,Caissons,A,80,70.0,50.0,10.0,Marine Growth Removal
K9-A,2007,3.0,-12.0,Conductors,A,46,63.0,37.0,30.0,Marine Growth Removal
K9-A,2007,-12.0,-29.6,Rows and Elevations,A,4,50.0,94.0,73.0,
K9-A,2007,-12.0,-29.6,Risers,A,45,60.0,50.0,70.0,
K9-A,2007,-12.0,-29.6,Caissons,A,60,70.0,10.0,10.0,
K9-A,2007,-12.0,-29.6,Conductors,A,2,50.0,97.0,65.0,
K9-A,2007,3.0,-12.0,Rows and Elevations,M,100,80.0,60.0,50.0,
K9-A,2007,3.0,-12.0,Risers,M,100,70.0,0.0,0.0,Marine Growth Removal
K9-A,2007,3.0,-12.0,Caissons,M,100,70.0,10.0,10.0,Marine Growth Removal
K9-A,2007,3.0,-12.0,Conductors,M,80,70.0,80.0,50.0,Marine Growth Removal
K9-A,2007,-12.0,-29.6,Rows and Elevations,M,20,60.0,100.0,90.0,
K9-A,2007,-12.0,-29.6,Risers,M,90,60.0,100.0,70.0,
K9-A,2007,-12.0,-29.6,Caissons,M,60,70.0,10.0,10.0,
K9-A,2007,-12.0,-29.6,Conductors,M,10,50.0,100.0,80.0,
K9-A,2007,3.0,0.0,Row 1,A,100,20.0,0.0,0.0,
K9-A,2007,3.0,0.0,Row 2,A,100,40.0,0.0,0.0,
K9-A,2007,3.0,0.0,Row A ,A,30,80.0,60.0,20.0,
K9-A,2007,3.0,0.0,Row B,A,100,80.0,0.0,0.0,
K9-A,2007,0.0,-12.0,Row 1,A,70,60.0,30.0,20.0,
K9-A,2007,0.0,-12.0,Row 2,A,30,50.0,40.0,20.0,
K9-A,2007,0.0,-12.0,Row A ,A,30,50.0,40.0,20.0,
K9-A,2007,0.0,-12.0,Row B,A,60,50.0,10.0,10.0,
K9-A,2007,-12.0,-29.6,Row 1,A,0,0.0,100.0,80.0,
K9-A,2007,-12.0,-29.6,Row 2,A,0,0.0,100.0,70.0,
K9-A,2007,-12.0,-29.6,Row A ,A,5,10.0,95.0,60.0,
K9-A,2007,-12.0,-29.6,Row B,A,0,0.0,100.0,90.0,
K9-A,2007,-12.0,-12.0,Level 1 ,A,20,40.0,70.0,50.0,
K9-A,2007,-12.0,-12.0,Conductor Field,A,20,80.0,50.0,50.0,Marine Growth Removal
K9-A,2007,-29.6,-29.6,Level 2 ,A,0,0.0,100.0,80.0,
K9-A,2007,-29.6,-29.6,Conductor Field,A,0,0.0,100.0,70.0,
K9-A,2006,3.0,-12.0,Rows and Elevations,A,47,32.0,48.0,25.0,
K9-A,2006,3.0,-12.0,Risers,A,60,35.0,40.0,25.0,
K9-A,2006,3.0,-12.0,Caissons,A,73,43.0,13.0,20.0,
K9-A,2006,3.0,-12.0,Conductors,A,59,45.0,39.0,21.0,
K9-A,2006,-12.0,-29.6,Rows and Elevations,A,0,0.0,100.0,79.0,
K9-A,2006,-12.0,-29.6,Risers,A,0,0.0,100.0,110.0,
K9-A,2006,-12.0,-29.6,Caissons,A,10,13.0,52.0,22.0,
K9-A,2006,-12.0,-29.6,Conductors,A,0,0.0,99.0,94.0,
K9-A,2006,3.0,-12.0,Rows and Elevations,M,100,50.0,100.0,50.0,
K9-A,2006,3.0,-12.0,Risers,M,100,40.0,80.0,50.0,
K9-A,2006,3.0,-12.0,Caissons,M,100,60.0,30.0,50.0,
K9-A,2006,3.0,-12.0,Conductors,M,100,50.0,90.0,60.0,
K9-A,2006,-12.0,-29.6,Rows and Elevations,M,0,0.0,100.0,110.0,
K9-A,2006,-12.0,-29.6,Risers,M,0,0.0,100.0,120.0,
K9-A,2006,-12.0,-29.6,Caissons,M,30,40.0,100.0,30.0,
K9-A,2006,-12.0,-29.6,Conductors,M,0,0.0,100.0,130.0,
K9-A,2006,3.0,0.0,Row 1,A,100,40.0,0.0,0.0,
K9-A,2006,3.0,0.0,Row 2,A,80,50.0,20.0,40.0,
K9-A,2006,3.0,0.0,Row A ,A,100,40.0,0.0,0.0,
K9-A,2006,3.0,0.0,Row B,A,80,40.0,0.0,0.0,
K9-A,2006,0.0,-12.0,Row 1,A,40,30.0,60.0,50.0,
K9-A,2006,0.0,-12.0,Row 2,A,20,40.0,50.0,30.0,
K9-A,2006,0.0,-12.0,Row A ,A,20,40.0,80.0,30.0,
K9-A,2006,0.0,-12.0,Row B,A,30,40.0,70.0,30.0,
K9-A,2006,-12.0,-29.6,Row 1,A,0,0.0,100.0,110.0,
K9-A,2006,-12.0,-29.6,Row 2,A,0,0.0,100.0,100.0,
K9-A,2006,-12.0,-29.6,Row A ,A,0,0.0,100.0,90.0,
K9-A,2006,-12.0,-29.6,Row B,A,0,0.0,100.0,100.0,
K9-A,2006,-12.0,-12.0,Level 1 ,A,0,0.0,100.0,30.0,
K9-A,2006,-12.0,-12.0,Conductor Field,A,0,0.0,100.0,40.0,
K9-A,2006,-29.6,-29.6,Level 2 ,A,0,0.0,100.0,80.0,
K9-A,2006,-29.6,-29.6,Conductor Field,A,0,0.0,100.0,80.0,
K9-A,2004,3.0,-12.0,Rows and Elevations,A,44,47.0,34.0,46.0,
K9-A,2004,3.0,-12.0,Risers,A,75,47.0,25.0,50.0,
K9-A,2004,3.0,-12.0,Caissons,A,60,47.0,28.0,30.0,
K9-A,2004,3.0,-12.0,Conductors,A,68,42.0,19.0,42.0,
K9-A,2004,-12.0,-29.6,Rows and Elevations,A,0,0.0,96.0,80.0,
K9-A,2004,-12.0,-29.6,Risers,A,0,0.0,100.0,60.0,
K9-A,2004,-12.0,-29.6,Caissons,A,25,40.0,83.0,44.0,
K9-A,2004,-12.0,-29.6,Conductors,A,1,30.0,68.0,48.0,
K9-A,2004,3.0,-12.0,Rows and Elevations,M,100,50.0,80.0,60.0,
K9-A,2004,3.0,-12.0,Risers,M,100,50.0,50.0,50.0,
K9-A,2004,3.0,-12.0,Caissons,M,100,50.0,70.0,30.0,
K9-A,2004,3.0,-12.0,Conductors,M,90,50.0,90.0,50.0,
K9-A,2004,-12.0,-29.6,Rows and Elevations,M,0,0.0,100.0,100.0,
K9-A,2004,-12.0,-29.6,Risers,M,0,0.0,100.0,60.0,
K9-A,2004,-12.0,-29.6,Caissons,M,100,40.0,100.0,50.0,
K9-A,2004,-12.0,-29.6,Conductors,M,5,30.0,90.0,70.0,
K9-A,2004,3.0,0.0,Row 1,A,90,50.0,0.0,0.0,
K9-A,2004,3.0,0.0,Row 2,A,100,40.0,0.0,0.0,
K9-A,2004,3.0,0.0,Row A ,A,90,50.0,0.0,0.0,
K9-A,2004,3.0,0.0,Row B,A,100,50.0,0.0,0.0,
K9-A,2004,0.0,-12.0,Row 1,A,0,0.0,80.0,50.0,
K9-A,2004,0.0,-12.0,Row 2,A,0,0.0,80.0,30.0,
K9-A,2004,0.0,-12.0,Row A ,A,10,30.0,20.0,30.0,
K9-A,2004,0.0,-12.0,Row B,A,5,40.0,60.0,50.0,
K9-A,2004,-12.0,-29.6,Row 1,A,.,0.0,90.0,80.0,
K9-A,2004,-12.0,-29.6,Row 2,A,0,0.0,100.0,90.0,
K9-A,2004,-12.0,-29.6,Row A ,A,0,0.0,100.0,100.0,
K9-A,2004,-12.0,-29.6,Row B,A,0,0.0,100.0,70.0,
K9-A,2004,-12.0,-12.0,Level 1 ,A,0,0.0,70.0,60.0,
K9-A,2004,-12.0,-12.0,Conductor Field,A,0,0.0,20.0,20.0,
K9-A,2004,-29.6,-29.6,Level 2 ,A,0,0.0,90.0,60.0,
K9-A,2004,-29.6,-29.6,Conductor Field,A,0,0.0,80.0,50.0,
K9-A,2002,3.0,-12.0,Rows and Elevations,A,42,59.0,7.0,53.0,Marine Growth Removal
K9-A,2002,3.0,-12.0,Risers,A,50,50.0,5.0,60.0,Marine Growth Removal
K9-A,2002,3.0,-12.0,Caissons,A,57,58.0,3.0,27.0,Marine Growth Removal
K9-A,2002,3.0,-12.0,Conductors,A,59,63.0,11.0,11.0,Marine Growth Removal
K9-A,2002,-12.0,-29.6,Rows and Elevations,A,0,0.0,90.0,135.0,
K9-A,2002,-12.0,-29.6,Risers,A,0,0.0,100.0,120.0,
K9-A,2002,-12.0,-29.6,Caissons,A,0,0.0,55.0,69.0,
K9-A,2002,-12.0,-29.6,Conductors,A,3,10.0,74.0,118.0,
K9-A,2002,3.0,-12.0,Rows and Elevations,M,100,80.0,30.0,60.0,Marine Growth Removal
K9-A,2002,3.0,-12.0,Risers,M,90,50.0,10.0,60.0,Marine Growth Removal
K9-A,2002,3.0,-12.0,Caissons,M,100,80.0,5.0,40.0,Marine Growth Removal
K9-A,2002,3.0,-12.0,Conductors,M,100,70.0,80.0,30.0,Marine Growth Removal
K9-A,2002,-12.0,-29.6,Rows and Elevations,M,0,0.0,90.0,150.0,
K9-A,2002,-12.0,-29.6,Risers,M,0,0.0,100.0,120.0,
K9-A,2002,-12.0,-29.6,Caissons,M,0,0.0,80.0,70.0,
K9-A,2002,-12.0,-29.6,Conductors,M,20,10.0,100.0,150.0,
K9-A,2002,3.0,0.0,Row 1,A,,,,,Marine Growth Removal
K9-A,2002,3.0,0.0,Row 2,A,,,,,Marine Growth Removal
K9-A,2002,3.0,0.0,Row A ,A,,,,,Marine Growth Removal
K9-A,2002,3.0,0.0,Row B,A,,,,,Marine Growth Removal
K9-A,2002,0.0,-12.0,Row 1,A,,,,,Marine Growth Removal
K9-A,2002,0.0,-12.0,Row 2,A,,,,,Marine Growth Removal
K9-A,2002,0.0,-12.0,Row A ,A,,,,,Marine Growth Removal
K9-A,2002,0.0,-12.0,Row B,A,,,,,Marine Growth Removal
K9-A,2002,-12.0,-29.6,Row 1,A,,,,,
K9-A,2002,-12.0,-29.6,Row 2,A,,,,,
K9-A,2002,-12.0,-29.6,Row A ,A,,,,,
K9-A,2002,-12.0,-29.6,Row B,A,,,,,
K9-A,2002,-12.0,-12.0,Level 1 ,A,,,,,Marine Growth Removal
K9-A,2002,-12.0,-12.0,Conductor Field,A,,,,,Marine Growth Removal
K9-A,2002,-29.6,-29.6,Level 2 ,A,,,,,
K9-A,2002,-29.6,-29.6,Conductor Field,A,,,,,
K9-A,2000,3.0,-12.0,Rows and Elevations,A,49,40.0,38.0,13.0,
K9-A,2000,3.0,-12.0,Risers,A,60,50.0,35.0,20.0,
K9-A,2000,3.0,-12.0,Caissons,A,57,50.0,20.0,10.0,
K9-A,2000,3.0,-12.0,Conductors,A,55,50.0,10.0,10.0,
K9-A,2000,-12.0,-29.6,Rows and Elevations,A,0,0.0,85.0,90.0,
K9-A,2000,-12.0,-29.6,Risers,A,0,0.0,85.0,80.0,
K9-A,2000,-12.0,-29.6,Caissons,A,0,0.0,50.0,20.0,
K9-A,2000,-12.0,-29.6,Conductors,A,0,0.0,83.0,72.0,
K9-A,2000,3.0,-12.0,Rows and Elevations,M,100,50.0,70.0,30.0,
K9-A,2000,3.0,-12.0,Risers,M,100,50.0,70.0,40.0,
K9-A,2000,3.0,-12.0,Caissons,M,100,50.0,60.0,20.0,
K9-A,2000,3.0,-12.0,Conductors,M,100,50.0,20.0,20.0,
K9-A,2000,-12.0,-29.6,Rows and Elevations,M,0,0.0,100.0,100.0,
K9-A,2000,-12.0,-29.6,Risers,M,0,0.0,100.0,80.0,
K9-A,2000,-12.0,-29.6,Caissons,M,0,0.0,70.0,20.0,
K9-A,2000,-12.0,-29.6,Conductors,M,0,0.0,100.0,80.0,
K9-A,2000,3.0,0.0,Row 1,A,,,,,
K9-A,2000,3.0,0.0,Row 2,A,,,,,
K9-A,2000,3.0,0.0,Row A ,A,,,,,
K9-A,2000,3.0,0.0,Row B,A,,,,,
K9-A,2000,0.0,-12.0,Row 1,A,,,,,
K9-A,2000,0.0,-12.0,Row 2,A,,,,,
K9-A,2000,0.0,-12.0,Row A ,A,,,,,
K9-A,2000,0.0,-12.0,Row B,A,,,,,
K9-A,2000,-12.0,-29.6,Row 1,A,,,,,
K9-A,2000,-12.0,-29.6,Row 2,A,,,,,
K9-A,2000,-12.0,-29.6,Row A ,A,,,,,
K9-A,2000,-12.0,-29.6,Row B,A,,,,,
K9-A,2000,-12.0,-12.0,Level 1 ,A,,,,,
K9-A,2000,-12.0,-12.0,Conductor Field,A,,,,,
K9-A,2000,-29.6,-29.6,Level 2 ,A,,,,,
K9-A,2000,-29.6,-29.6,Conductor Field,A,,,,,
K9-A,1997,3.0,-5.0,Rows and Elevations,A,100,100.0,0.0,0.0,Marine Growth Removal
K9-A,1997,3.0,-5.0,Risers,A,100,100.0,0.0,0.0,Marine Growth Removal
K9-A,1997,3.0,-5.0,Caissons,A,,,,,Marine Growth Removal
K9-A,1997,3.0,-5.0,Conductors,A,,,,,Marine Growth Removal
K9-A,1997,-5.0,-29.6,Rows and Elevations,A,50,100.0,50.0,100.0,
K9-A,1997,-5.0,-29.6,Risers,A,,,,80.0,
K9-A,1997,-5.0,-29.6,Caissons,A,,,,,
K9-A,1997,-5.0,-29.6,Conductors,A,,,,,
K9-A,1997,3.0,-5.0,Rows and Elevations,M,,,,,Marine Growth Removal
K9-A,1997,3.0,-5.0,Risers,M,,,,,Marine Growth Removal
K9-A,1997,3.0,-5.0,Caissons,M,,,,,Marine Growth Removal
K9-A,1997,3.0,-5.0,Conductors,M,,,,,Marine Growth Removal
K9-A,1997,-5.0,-29.6,Rows and Elevations,M,,,,,
K9-A,1997,-5.0,-29.6,Risers,M,,,,,
K9-A,1997,-5.0,-29.6,Caissons,M,,,,,
K9-A,1997,-5.0,-29.6,Conductors,M,,,,,
K9-A,1997,3.0,0.0,Row 1,A,,,,,
K9-A,1997,3.0,0.0,Row 2,A,,,,,
K9-A,1997,3.0,0.0,Row A ,A,,,,,
K9-A,1997,3.0,0.0,Row B,A,,,,,
K9-A,1997,0.0,-5.0,Row 1,A,,,,,
K9-A,1997,0.0,-5.0,Row 2,A,,,,,
K9-A,1997,0.0,-5.0,Row A ,A,,,,,
K9-A,1997,0.0,-5.0,Row B,A,,,,,
K9-A,1997,-5.0,-29.6,Row 1,A,,,,,
K9-A,1997,-5.0,-29.6,Row 2,A,,,,,
K9-A,1997,-5.0,-29.6,Row A ,A,,,,,
K9-A,1997,-5.0,-29.6,Row B,A,,,,,
K9-A,1997,-12.0,-12.0,Level 1 ,A,,,,,
K9-A,1997,-12.0,-12.0,Conductor Field,A,,,,,
K9-A,1997,-29.6,-29.6,Level 2 ,A,,,,,
K9-A,1997,-29.6,-29.6,Conductor Field,A,,,,,
K9-A,1996,3.0,-5.0,Rows and Elevations,A,,80.0,,,
K9-A,1996,3.0,-5.0,Risers,A,,,,,
K9-A,1996,3.0,-5.0,Caissons,A,,,,,
K9-A,1996,3.0,-5.0,Conductors,A,,,,,
K9-A,1996,-5.0,-29.6,Rows and Elevations,A,,,100.0,80.0,
K9-A,1996,-5.0,-29.6,Risers,A,,,,,
K9-A,1996,-5.0,-29.6,Caissons,A,,,,,
K9-A,1996,-5.0,-29.6,Conductors,A,,,,,
K9-A,1996,3.0,-5.0,Rows and Elevations,M,,,,,
K9-A,1996,3.0,-5.0,Risers,M,,,,,
K9-A,1996,3.0,-5.0,Caissons,M,,,,,
K9-A,1996,3.0,-5.0,Conductors,M,,,,,
K9-A,1996,-5.0,-29.6,Rows and Elevations,M,,,,,
K9-A,1996,-5.0,-29.6,Risers,M,,50.0,,50.0,
K9-A,1996,-5.0,-29.6,Caissons,M,,,,,
K9-A,1996,-5.0,-29.6,Conductors,M,,,,,
K9-A,1996,3.0,0.0,Row 1,A,,,,,
K9-A,1996,3.0,0.0,Row 2,A,,,,,
K9-A,1996,3.0,0.0,Row A ,A,,,,,
K9-A,1996,3.0,0.0,Row B,A,,,,,
K9-A,1996,0.0,-5.0,Row 1,A,,,,,
K9-A,1996,0.0,-5.0,Row 2,A,,,,,
K9-A,1996,0.0,-5.0,Row A ,A,,,,,
K9-A,1996,0.0,-5.0,Row B,A,,,,,
K9-A,1996,-5.0,-29.6,Row 1,A,,,,,
K9-A,1996,-5.0,-29.6,Row 2,A,,,,,
K9-A,1996,-5.0,-29.6,Row A ,A,,,,,
K9-A,1996,-5.0,-29.6,Row B,A,,,,,
K9-A,1996,-12.0,-12.0,Level 1 ,A,,,,,
K9-A,1996,-12.0,-12.0,Conductor Field,A,,,,,
K9-A,1996,-29.6,-29.6,Level 2 ,A,,,,,
K9-A,1996,-29.6,-29.6,Conductor Field,A,,,,,
K9-A,2017,0.0,-12.0,Rows and Elevations,A,0,0.0,90.0,100.0,
K9-A,2017,0.0,-12.0,Risers,A,60,30.0,40.0,40.0,
K9-A,2017,0.0,-12.0,Caissons,A,,,,,
K9-A,2017,0.0,-12.0,Conductors,A,,,,,
K9-A,2017,-12.0,-29.6,Rows and Elevations,A,0,0.0,73.0,82.0,
K9-A,2017,-12.0,-29.6,Risers,A,0,0.0,80.0,40.0,
K9-A,2017,-12.0,-29.6,Caissons,A,,,,,
K9-A,2017,-12.0,-29.6,Conductors,A,,,,,
K9-A,2017,0.0,-12.0,Rows and Elevations,M,0,0.0,90.0,100.0,
