platform,year,depthmin,depthmax,Item,AvgMax,hard%,hardmm,soft%,softmm,Remarks
K9-B,2016,0.0,-12.0,Rows and Elevations,A,50.0,49.0,52.0,24.0,
K9-B,2016,0.0,-12.0,Risers,A,100.0,0.0,0.0,0.0,
K9-B,2016,0.0,-12.0,Caissons,A,80.0,50.0,20.0,30.0,
K9-B,2016,0.0,-12.0,Conductors,A,27.0,26.0,73.0,19.0,
K9-B,2016,-12.0,-34.5,Rows and Elevations,A,0.0,0.0,100.0,73.0,
K9-B,2016,-12.0,-34.5,Risers,A,10.0,0.0,90.0,50.0,
K9-B,2016,-12.0,-34.5,Caissons,A,,,,,
K9-B,2016,-12.0,-34.5,Conductors,A,2.0,30.0,98.0,74.0,
K9-B,2016,0.0,-12.0,Rows and Elevations,M,70.0,50.0,70.0,30.0,
K9-B,2016,0.0,-12.0,Risers,M,100.0,50.0,0.0,0.0,
K9-B,2016,0.0,-12.0,Caissons,M,100.0,50.0,30.0,30.0,
K9-B,2016,0.0,-12.0,Conductors,M,40.0,50.0,80.0,50.0,
K9-B,2016,-12.0,-34.5,Rows and Elevations,M,0.0,0.0,100.0,80.0,
K9-B,2016,-12.0,-34.5,Risers,M,10.0,30.0,90.0,50.0,
K9-B,2016,-12.0,-34.5,Caissons,M,,,,,
K9-B,2016,-12.0,-34.5,Conductors,M,10.0,30.0,100.0,80.0,
K9-B,2016,3.0,-12.0,Row 1,A,40.0,40.0,70.0,30.0,
K9-B,2016,3.0,-12.0,Row 2,A,40.0,50.0,60.0,20.0,
K9-B,2016,3.0,-12.0,Row A,A,40.0,50.0,60.0,20.0,
K9-B,2016,3.0,-12.0,Row B,A,40.0,50.0,60.0,20.0,
K9-B,2016,-12.0,-34.5,Row 1,A,0.0,0.0,100.0,80.0,
K9-B,2016,-12.0,-34.5,Row 2,A,0.0,0.0,100.0,80.0,
K9-B,2016,-12.0,-34.5,Row A,A,0.0,0.0,100.0,70.0,
K9-B,2016,-12.0,-34.5,Row B,A,0.0,0.0,100.0,80.0,
K9-B,2016,-12.0,-12.0,Level 1 ,A,70.0,50.0,30.0,30.0,
K9-B,2016,-12.0,-12.0,Conductor Field,A,70.0,50.0,30.0,30.0,
K9-B,2016,-34.5,-34.5,Level 2,A,0.0,0.0,100.0,50.0,
K9-B,2016,-34.5,-34.5,Conductor Field ,A,0.0,0.0,100.0,80.0,
K9-B,2013,0.0,-12.0,Rows and Elevations,A,46.0,21.0,54.0,25.0,
K9-B,2013,0.0,-12.0,Risers,A,80.0,20.0,20.0,60.0,
K9-B,2013,0.0,-12.0,Caissons,A,80.0,40.0,20.0,20.0,
K9-B,2013,0.0,-12.0,Conductors,A,37.0,14.0,63.0,18.0,
K9-B,2013,-12.0,-34.5,Rows and Elevations,A,16.0,8.0,80.0,28.0,
K9-B,2013,-12.0,-34.5,Risers,A,0.0,0.0,100.0,40.0,
K9-B,2013,-12.0,-34.5,Caissons,A,,,,,
K9-B,2013,-12.0,-34.5,Conductors,A,13.0,5.0,87.0,47.0,
K9-B,2013,0.0,-12.0,Rows and Elevations,M,60.0,60.0,60.0,60.0,
K9-B,2013,0.0,-12.0,Risers,M,80.0,20.0,20.0,60.0,
K9-B,2013,0.0,-12.0,Caissons,M,80.0,40.0,20.0,20.0,
K9-B,2013,0.0,-12.0,Conductors,M,40.0,40.0,80.0,40.0,
K9-B,2013,-12.0,-34.5,Rows and Elevations,M,20.0,10.0,80.0,40.0,
K9-B,2013,-12.0,-34.5,Risers,M,0.0,0.0,100.0,40.0,
K9-B,2013,-12.0,-34.5,Caissons,M,,,,,
K9-B,2013,-12.0,-34.5,Conductors,M,20.0,5.0,100.0,50.0,
K9-B,2013,3.0,-12.0,Row 1,A,40.0,20.0,60.0,20.0,
K9-B,2013,3.0,-12.0,Row 2,A,60.0,5.0,40.0,5.0,
K9-B,2013,3.0,-12.0,Row A,A,40.0,10.0,60.0,10.0,
K9-B,2013,3.0,-12.0,Row B,A,50.0,60.0,50.0,60.0,
K9-B,2013,-12.0,-34.5,Row 1,A,20.0,10.0,80.0,30.0,
K9-B,2013,-12.0,-34.5,Row 2,A,20.0,5.0,80.0,30.0,
K9-B,2013,-12.0,-34.5,Row A,A,20.0,5.0,80.0,20.0,
K9-B,2013,-12.0,-34.5,Row B,A,0.0,0.0,80.0,40.0,
K9-B,2013,-12.0,-12.0,Level 1 ,A,40.0,10.0,60.0,30.0,
K9-B,2013,-12.0,-12.0,Conductor Field,A,40.0,10.0,60.0,30.0,
K9-B,2013,-34.5,-34.5,Level 2,A,20.0,10.0,80.0,20.0,
K9-B,2013,-34.5,-34.5,Conductor Field ,A,20.0,10.0,80.0,20.0,
K9-B,2011,3.0,-12.0,Rows and Elevations,A,77.0,56.0,14.0,40.0,
K9-B,2011,3.0,-12.0,Risers,A,65.0,63.0,35.0,40.0,
K9-B,2011,3.0,-12.0,Caissons,A,100.0,80.0,0.0,0.0,
K9-B,2011,3.0,-12.0,Conductors,A,93.0,70.0,4.0,40.0,
K9-B,2011,-12.0,-34.5,Rows and Elevations,A,0.0,0.0,96.0,78.0,
K9-B,2011,-12.0,-34.5,Risers,A,0.0,0.0,80.0,50.0,
K9-B,2011,-12.0,-34.5,Caissons,A,100.0,80.0,0.0,0.0,
K9-B,2011,-12.0,-34.5,Conductors,A,3.0,40.0,93.0,76.0,
