platform,year,depthmin,depthmax,Item,AvgMax,hard%,hardmm,soft%,softmm,Remarks
K9-C,2016,0.0,-12.0,Rows and Elevations,A,29.0,39.0,71.0,42.0,
K9-C,2016,0.0,-12.0,Risers,A,,,,,
K9-C,2016,0.0,-12.0,Caissons,A,36.0,33.0,52.0,18.0,
K9-C,2016,0.0,-12.0,Conductors,A,53.0,40.0,48.0,20.0,
K9-C,2016,-12.0,-38.3,Rows and Elevations,A,2.0,33.0,98.0,60.0,
K9-C,2016,-12.0,-38.3,Risers,A,,,,,
K9-C,2016,-12.0,-38.3,Caissons,A,,,,,
K9-C,2016,-12.0,-38.3,Conductors,A,0.0,0.0,100.0,75.0,
K9-C,2016,0.0,-12.0,Rows and Elevations,M,70.0,50.0,95.0,50.0,
K9-C,2016,0.0,-12.0,Risers,M,,,,,
K9-C,2016,0.0,-12.0,Caissons,M,80.0,40.0,80.0,40.0,
K9-C,2016,0.0,-12.0,Conductors,M,80.0,40.0,75.0,20.0,
K9-C,2016,-12.0,-38.3,Rows and Elevations,M,10.0,40.0,100.0,90.0,
K9-C,2016,-12.0,-38.3,Risers,M,,,,,
K9-C,2016,-12.0,-38.3,Caissons,M,,,,,
K9-C,2016,-12.0,-38.3,Conductors,M,0.0,0.0,100.0,100.0,
K9-C,2016,3.0,-12.0,Row 1,A,30.0,30.0,70.0,40.0,
K9-C,2016,3.0,-12.0,Row 2,A,20.0,50.0,80.0,30.0,
K9-C,2016,3.0,-12.0,Row A,A,5.0,40.0,95.0,40.0,
K9-C,2016,3.0,-12.0,Row B,A,70.0,50.0,30.0,40.0,
K9-C,2016,-12.0,-38.3,Row 1,A,0.0,0.0,100.0,90.0,
K9-C,2016,-12.0,-38.3,Row 2,A,0.0,0.0,100.0,70.0,
K9-C,2016,-12.0,-38.3,Row A,A,5.0,20.0,95.0,80.0,
K9-C,2016,-12.0,-38.3,Row B,A,10.0,40.0,90.0,80.0,
K9-C,2016,-10.0,-10.0,Level 1 ,A,30.0,30.0,40.0,50.0,
K9-C,2016,-10.0,-10.0,Conductor Field,A,20.0,20.0,80.0,50.0,
K9-C,2016,-24.0,-24.0,Level 2,A,0.0,0.0,100.0,60.0,
K9-C,2016,-24.0,-24.0,Conductor Field ,A,,,,,
K9-C,2016,-38.3,-38.3,Level 3,A,0.0,0.0,100.0,20.0,
K9-C,2016,-38.3,-38.3,Conductor Field ,A,0.0,0.0,100.0,20.0,
K9-C,2014,0.0,-12.0,Rows and Elevations,A,4.0,20.0,70.0,21.0,
K9-C,2014,0.0,-12.0,Risers,A,5.0,20.0,100.0,17.0,
K9-C,2014,0.0,-12.0,Caissons,A,27.0,20.0,40.0,25.0,
K9-C,2014,0.0,-12.0,Conductors,A,5.0,20.0,40.0,20.0,
K9-C,2014,-12.0,-38.3,Rows and Elevations,A,0.0,0.0,66.0,37.0,
K9-C,2014,-12.0,-38.3,Risers,A,0.0,0.0,100.0,17.0,
K9-C,2014,-12.0,-38.3,Caissons,A,,,,,
K9-C,2014,-12.0,-38.3,Conductors,A,0.0,0.0,75.0,40.0,
K9-C,2014,0.0,-12.0,Rows and Elevations,M,5.0,20.0,80.0,30.0,
K9-C,2014,0.0,-12.0,Risers,M,10.0,20.0,100.0,30.0,
K9-C,2014,0.0,-12.0,Caissons,M,30.0,20.0,60.0,30.0,
K9-C,2014,0.0,-12.0,Conductors,M,5.0,20.0,40.0,20.0,
K9-C,2014,-12.0,-38.3,Rows and Elevations,M,0.0,0.0,90.0,40.0,
K9-C,2014,-12.0,-38.3,Risers,M,0.0,0.0,100.0,30.0,
K9-C,2014,-12.0,-38.3,Caissons,M,,,,,
K9-C,2014,-12.0,-38.3,Conductors,M,0.0,0.0,80.0,40.0,
K9-C,2014,3.0,-12.0,Row 1,A,5.0,20.0,70.0,10.0,
K9-C,2014,3.0,-12.0,Row 2,A,5.0,20.0,70.0,30.0,
K9-C,2014,3.0,-12.0,Row A,A,5.0,20.0,70.0,20.0,
K9-C,2014,3.0,-12.0,Row B,A,5.0,20.0,70.0,20.0,
K9-C,2014,-12.0,-38.3,Row 1,A,0.0,0.0,90.0,40.0,
K9-C,2014,-12.0,-38.3,Row 2,A,0.0,0.0,90.0,30.0,
K9-C,2014,-12.0,-38.3,Row A,A,0.0,0.0,90.0,40.0,
K9-C,2014,-12.0,-38.3,Row B,A,0.0,0.0,90.0,40.0,
K9-C,2014,-10.0,-10.0,Level 1 ,A,5.0,20.0,80.0,20.0,
K9-C,2014,-10.0,-10.0,Conductor Field,A,0.0,0.0,60.0,30.0,
K9-C,2014,-24.0,-24.0,Level 2,A,0.0,0.0,80.0,40.0,
K9-C,2014,-24.0,-24.0,Conductor Field ,A,,,,,
K9-C,2014,-38.3,-38.3,Level 3,A,0.0,0.0,10.0,20.0,
K9-C,2014,-38.3,-38.3,Conductor Field ,A,0.0,0.0,10.0,20.0,
K9-C,2012,3.0,-12.0,Rows and Elevations,A,80.0,30.0,36.0,36.0,
K9-C,2012,3.0,-12.0,Risers,A,100.0,20.0,100.0,20.0,
K9-C,2012,3.0,-12.0,Caissons,A,70.0,25.0,90.0,33.0,
K9-C,2012,3.0,-12.0,Conductors,A,90.0,20.0,20.0,20.0,
K9-C,2012,-12.0,-38.3,Rows and Elevations,A,0.0,0.0,100.0,42.0,
K9-C,2012,-12.0,-38.3,Risers,A,0.0,0.0,100.0,28.0,
K9-C,2012,-12.0,-38.3,Caissons,A,0.0,0.0,100.0,35.0,
K9-C,2012,-12.0,-38.3,Conductors,A,0.0,0.0,100.0,35.0,
K9-C,2012,3.0,-12.0,Rows and Elevations,M,80.0,30.0,100.0,40.0,
K9-C,2012,3.0,-12.0,Risers,M,100.0,20.0,100.0,30.0,
K9-C,2012,3.0,-12.0,Caissons,M,100.0,30.0,100.0,50.0,
K9-C,2012,3.0,-12.0,Conductors,M,100.0,20.0,20.0,20.0,
K9-C,2012,-12.0,-38.3,Rows and Elevations,M,0.0,0.0,100.0,50.0,
K9-C,2012,-12.0,-38.3,Risers,M,0.0,0.0,100.0,40.0,
K9-C,2012,-12.0,-38.3,Caissons,M,0.0,0.0,100.0,40.0,
K9-C,2012,-12.0,-38.3,Conductors,M,0.0,0.0,100.0,40.0,
K9-C,2012,3.0,0.0,Row 1,A,80.0,30.0,20.0,30.0,
K9-C,2012,3.0,0.0,Row 2,A,80.0,30.0,20.0,30.0,
K9-C,2012,3.0,0.0,Row A,A,80.0,30.0,20.0,30.0,
K9-C,2012,3.0,0.0,Row B,A,80.0,30.0,20.0,30.0,
K9-C,2012,0.0,-10.0,Row 1,A,80.0,30.0,20.0,30.0,
K9-C,2012,0.0,-10.0,Row 2,A,80.0,30.0,20.0,30.0,
K9-C,2012,0.0,-10.0,Row A,A,80.0,30.0,20.0,30.0,
K9-C,2012,0.0,-10.0,Row B,A,80.0,30.0,20.0,30.0,
K9-C,2012,-10.0,-24.0,Row 1,A,0.0,0.0,100.0,40.0,
K9-C,2012,-10.0,-24.0,Row 2,A,0.0,0.0,100.0,40.0,
K9-C,2012,-10.0,-24.0,Row A,A,0.0,0.0,100.0,40.0,
K9-C,2012,-10.0,-24.0,Row B,A,0.0,0.0,100.0,40.0,
K9-C,2012,-24.0,-38.3,Row 1,A,0.0,0.0,100.0,50.0,
K9-C,2012,-24.0,-38.3,Row 2,A,0.0,0.0,100.0,50.0,
K9-C,2012,-24.0,-38.3,Row A,A,0.0,0.0,100.0,50.0,
K9-C,2012,-24.0,-38.3,Row B,A,0.0,0.0,100.0,50.0,
K9-C,2012,-10.0,-10.0,Level 1 ,A,0.0,0.0,100.0,40.0,
K9-C,2012,-10.0,-10.0,Conductor Field,A,0.0,0.0,100.0,40.0,
K9-C,2012,-24.0,-24.0,Level 2,A,0.0,0.0,100.0,40.0,
K9-C,2012,-24.0,-24.0,Conductor Field ,A,0.0,0.0,100.0,40.0,
K9-C,2012,-38.3,-38.3,Level 3,A,0.0,0.0,100.0,40.0,
K9-C,2012,-38.3,-38.3,Conductor Field ,A,0.0,0.0,100.0,40.0,
K9-C,2010,3.0,-12.0,Rows and Elevations,A,36.0,44.0,55.0,40.0,
K9-C,2010,3.0,-12.0,Risers,A,75.0,35.0,15.0,10.0,
K9-C,2010,3.0,-12.0,Caissons,A,57.0,60.0,53.0,14.0,
K9-C,2010,3.0,-12.0,Conductors,A,68.0,45.0,31.0,20.0,
K9-C,2010,-12.0,-38.3,Rows and Elevations,A,8.0,35.0,81.0,60.0,
K9-C,2010,-12.0,-38.3,Risers,A,0.0,0.0,83.0,16.0,
K9-C,2010,-12.0,-38.3,Caissons,A,0.0,0.0,87.0,20.0,
K9-C,2010,-12.0,-38.3,Conductors,A,0.0,0.0,99.0,49.0,
K9-C,2010,3.0,-12.0,Rows and Elevations,M,100.0,60.0,90.0,60.0,
K9-C,2010,3.0,-12.0,Risers,M,100.0,50.0,60.0,10.0,
K9-C,2010,3.0,-12.0,Caissons,M,100.0,70.0,100.0,20.0,
K9-C,2010,3.0,-12.0,Conductors,M,100.0,50.0,90.0,20.0,
K9-C,2010,-12.0,-38.3,Rows and Elevations,M,50.0,50.0,100.0,80.0,
K9-C,2010,-12.0,-38.3,Risers,M,0.0,0.0,90.0,30.0,
K9-C,2010,-12.0,-38.3,Caissons,M,0.0,0.0,90.0,30.0,
K9-C,2010,-12.0,-38.3,Conductors,M,0.0,0.0,100.0,90.0,
K9-C,2010,3.0,0.0,Row 1,A,100.0,60.0,0.0,0.0,
K9-C,2010,3.0,0.0,Row 2,A,100.0,50.0,0.0,0.0,
K9-C,2010,3.0,0.0,Row A,A,0.0,0.0,90.0,10.0,
K9-C,2010,3.0,0.0,Row B,A,90.0,40.0,0.0,0.0,
K9-C,2010,0.0,-10.0,Row 1,A,50.0,50.0,40.0,30.0,
K9-C,2010,0.0,-10.0,Row 2,A,5.0,20.0,90.0,30.0,
K9-C,2010,0.0,-10.0,Row A,A,80.0,20.0,10.0,20.0,
K9-C,2010,0.0,-10.0,Row B,A,30.0,40.0,70.0,40.0,
K9-C,2010,-10.0,-24.0,Row 1,A,0.0,0.0,90.0,60.0,
K9-C,2010,-10.0,-24.0,Row 2,A,0.0,0.0,90.0,60.0,
