platform,year,depthmin,depthmax,Item,AvgMax,hardperc,hardmm,softperc,softmm,Remarks
L10-AC,2016,0,-12,Rows and Elevations,A,64.0,57.0,36.0,37.0,
L10-AC,2016,0,-12,Risers,A,,,,,
L10-AC,2016,0,-12,Caissons,A,75.0,83.0,25.0,40.0,
L10-AC,2016,0,-12,Conductors,A,,,,,
L10-AC,2016,-12,-27,Rows and Elevations,A,0.0,0.0,100.0,80.0,
L10-AC,2016,-12,-27,Risers,A,,,,,
L10-AC,2016,-12,-27,Caissons,A,,,,,
L10-AC,2016,-12,-27,Conductors,A,,,,,
L10-AC,2016,0,-12,Rows and Elevations,M,70.0,70.0,50.0,50.0,
L10-AC,2016,0,-12,Risers,M,,,,,
L10-AC,2016,0,-12,Caissons,M,100.0,100.0,50.0,40.0,
L10-AC,2016,0,-12,Conductors,M,,,,,
L10-AC,2016,-12,-27,Rows and Elevations,M,0.0,0.0,100.0,100.0,
L10-AC,2016,-12,-27,Risers,M,,,,,
L10-AC,2016,-12,-27,Caissons,M,,,,,
L10-AC,2016,-12,-27,Conductors,M,,,,,
L10-AC,2016,3,-12,Row 2,A,70.0,50.0,30.0,30.0,
L10-AC,2016,3,-12,Row 4,A,70.0,70.0,30.0,30.0,
L10-AC,2016,3,-12,Row B,A,70.0,70.0,30.0,30.0,
L10-AC,2016,3,-12,Row D,A,60.0,40.0,40.0,50.0,
L10-AC,2016,-12,-27,Row 2,A,0.0,0.0,100.0,80.0,
L10-AC,2016,-12,-27,Row 4,A,0.0,0.0,100.0,80.0,
L10-AC,2016,-12,-27,Row B,A,0.0,0.0,100.0,100.0,
L10-AC,2016,-12,-27,Row D,A,0.0,0.0,100.0,60.0,
L10-AC,2016,-10,-10,Level 1,A ,50.0,50.0,50.0,40.0,
L10-AC,2016,-10,-10,Conductor Field,A,,,,,
L10-AC,2016,-27,-27,Level 2,A,0.0,0.0,100.0,80.0,
L10-AC,2016,-27,-27,Conductor Field,A,,,,,
L10-AC,2014,0,-12,Rows and Elevations,A,12.0,27.0,40.0,26.0,
L10-AC,2014,0,-12,Risers,A,0.0,0.0,90.0,20.0,
L10-AC,2014,0,-12,Caissons,A,20.0,30.0,20.0,30.0,
L10-AC,2014,0,-12,Conductors,A,,,,,
L10-AC,2014,-12,-27,Rows and Elevations,A,1.0,30.0,93.0,42.0,
L10-AC,2014,-12,-27,Risers,A,0.0,0.0,100.0,30.0,
L10-AC,2014,-12,-27,Caissons,A,,,,,
L10-AC,2014,-12,-27,Conductors,A,,,,,
L10-AC,2014,0,-12,Rows and Elevations,M,20.0,30.0,50.0,30.0,
L10-AC,2014,0,-12,Risers,M,0.0,0.0,90.0,20.0,
L10-AC,2014,0,-12,Caissons,M,20.0,30.0,20.0,30.0,
L10-AC,2014,0,-12,Conductors,M,,,,,
L10-AC,2014,-12,-27,Rows and Elevations,M,5.0,30.0,100.0,50.0,
L10-AC,2014,-12,-27,Risers,M,0.0,0.0,100.0,30.0,
L10-AC,2014,-12,-27,Caissons,M,,,,,
L10-AC,2014,-12,-27,Conductors,M,,,,,
L10-AC,2014,3,-12,Row 2,A,10.0,30.0,30.0,30.0,
L10-AC,2014,3,-12,Row 4,A,20.0,30.0,50.0,30.0,
