platform,year,depthmin,depthmax,Item,AvgMax,hardperc,hardmm,softperc,softmm,Remarks
L10-AD,2015,0.0,-12.0,Rows and Elevations,A,54.0,53.0,37.0,23.0,Marine Growth Removal 
L10-AD,2015,0.0,-12.0,Risers,A,80.0,60.0,20.0,10.0,Marine Growth Removal 
L10-AD,2015,0.0,-12.0,Caissons,A,40.0,58.0,50.0,10.0,Marine Growth Removal 
L10-AD,2015,0.0,-12.0,Conductors,A,17.0,14.0,77.0,9.0,Marine Growth Removal 
L10-AD,2015,-12.0,-27.4,Rows and Elevations,A,6.0,28.0,78.0,40.0,
L10-AD,2015,-12.0,-27.4,Risers,A,0.0,0.0,100.0,50.0,
L10-AD,2015,-12.0,-27.4,Caissons,A,,,,,
L10-AD,2015,-12.0,-27.4,Conductors,A,1.0,30.0,96.0,45.0,
L10-AD,2015,0.0,-12.0,Rows and Elevations,M,80.0,60.0,70.0,40.0,Marine Growth Removal 
L10-AD,2015,0.0,-12.0,Risers,M,80.0,60.0,20.0,10.0,Marine Growth Removal 
L10-AD,2015,0.0,-12.0,Caissons,M,100.0,60.0,90.0,10.0,Marine Growth Removal 
L10-AD,2015,0.0,-12.0,Conductors,M,70.0,50.0,90.0,20.0,Marine Growth Removal 
L10-AD,2015,-12.0,-27.4,Rows and Elevations,M,20.0,30.0,100.0,50.0,
L10-AD,2015,-12.0,-27.4,Risers,M,0.0,0.0,100.0,50.0,
L10-AD,2015,-12.0,-27.4,Caissons,M,,,,,
L10-AD,2015,-12.0,-27.4,Conductors,M,5.0,30.0,100.0,50.0,
L10-AD,2015,3.0,-12.0,Row 1,A,30.0,40.0,70.0,20.0,Marine Growth Removal 
L10-AD,2015,3.0,-12.0,Row 2,A,40.0,50.0,50.0,20.0,Marine Growth Removal 
L10-AD,2015,3.0,-12.0,Row 3,A,60.0,50.0,40.0,20.0,Marine Growth Removal 
L10-AD,2015,3.0,-12.0,Row 4,A,50.0,40.0,50.0,40.0,Marine Growth Removal 
L10-AD,2015,3.0,-12.0,Row 5,A,80.0,60.0,20.0,20.0,Marine Growth Removal 
L10-AD,2015,3.0,-12.0,Row A,A,40.0,50.0,30.0,20.0,Marine Growth Removal 
L10-AD,2015,3.0,-12.0,Row B,A,40.0,50.0,30.0,20.0,Marine Growth Removal 
L10-AD,2015,-12.0,-27.4,Row 1,A,5.0,30.0,95.0,40.0,
L10-AD,2015,-12.0,-27.4,Row 2,A,10.0,30.0,60.0,40.0,
L10-AD,2015,-12.0,-27.4,Row 3,A,20.0,30.0,80.0,50.0,
L10-AD,2015,-12.0,-27.4,Row 4,A,0.0,0.0,100.0,40.0,
L10-AD,2015,-12.0,-27.4,Row 5,A,20.0,30.0,80.0,40.0,
L10-AD,2015,-12.0,-27.4,Row A,A,5.0,20.0,80.0,40.0,
L10-AD,2015,-12.0,-27.4,Row B,A,5.0,20.0,80.0,40.0,
L10-AD,2015,-4.5,-4.5,Level 1,A,70.0,60.0,20.0,20.0,
L10-AD,2015,-4.5,-4.5,Conductor Field,A,80.0,60.0,20.0,20.0,
L10-AD,2015,-16.7,-16.7,Level 2,A,0.0,0.0,100.0,50.0,
L10-AD,2015,-16.7,-16.7,Conductor Field,A,0.0,0.0,100.0,20.0,
L10-AD,2015,-27.4,-27.4,Level 3,A,0.0,0.0,40.0,40.0,
L10-AD,2015,-27.4,-27.4,Conductor Field,A,0.0,0.0,40.0,40.0,
L10-AD,2014,0.0,-12.0,Rows and Elevations,A,28.0,30.0,68.0,22.0,
L10-AD,2014,0.0,-12.0,Risers,A,,,,,
L10-AD,2014,0.0,-12.0,Caissons,A,,,,,
L10-AD,2014,0.0,-12.0,Conductors,A,,,,,
L10-AD,2014,-12.0,-27.4,Rows and Elevations,A,0.0,0.0,82.0,36.0,
L10-AD,2014,-12.0,-27.4,Risers,A,,,,,
L10-AD,2014,-12.0,-27.4,Caissons,A,,,,,
L10-AD,2014,-12.0,-27.4,Conductors,A,,,,,
L10-AD,2014,0.0,-12.0,Rows and Elevations,M,30.0,30.0,70.0,30.0,
L10-AD,2014,0.0,-12.0,Risers,M,,,,,
L10-AD,2014,0.0,-12.0,Caissons,M,,,,,
L10-AD,2014,0.0,-12.0,Conductors,M,,,,,
L10-AD,2014,-12.0,-27.4,Rows and Elevations,M,0.0,0.0,100.0,40.0,
L10-AD,2014,-12.0,-27.4,Risers,M,,,,,
L10-AD,2014,-12.0,-27.4,Caissons,M,,,,,
L10-AD,2014,-12.0,-27.4,Conductors,M,,,,,
L10-AD,2014,3.0,-12.0,Row 1,A,,,,,
L10-AD,2014,3.0,-12.0,Row 2,A,30.0,3.0,70.0,20.0,
L10-AD,2014,3.0,-12.0,Row 3,A,30.0,30.0,70.0,20.0,
L10-AD,2014,3.0,-12.0,Row 4,A,20.0,30.0,60.0,20.0,
L10-AD,2014,3.0,-12.0,Row 5,A,30.0,30.0,70.0,30.0,
L10-AD,2014,3.0,-12.0,Row A,A,30.0,30.0,70.0,20.0,
L10-AD,2014,3.0,-12.0,Row B,A,30.0,30.0,70.0,20.0,
L10-AD,2014,-12.0,-27.4,Row 1,A,,,,,
L10-AD,2014,-12.0,-27.4,Row 2,A,0.0,0.0,70.0,40.0,
L10-AD,2014,-12.0,-27.4,Row 3,A,0.0,0.0,70.0,40.0,
L10-AD,2014,-12.0,-27.4,Row 4,A,0.0,0.0,100.0,40.0,
L10-AD,2014,-12.0,-27.4,Row 5,A,0.0,0.0,70.0,40.0,
L10-AD,2014,-12.0,-27.4,Row A,A,0.0,0.0,100.0,30.0,
L10-AD,2014,-12.0,-27.4,Row B,A,0.0,0.0,80.0,30.0,
L10-AD,2014,-4.5,-4.5,Level 1,A,,,,,
L10-AD,2014,-4.5,-4.5,Conductor Field,A,,,,,
L10-AD,2014,-16.7,-16.7,Level 2,A,,,,,
L10-AD,2014,-16.7,-16.7,Conductor Field,A,,,,,
L10-AD,2014,-27.4,-27.4,Level 3,A,0.0,0.0,30.0,40.0,
L10-AD,2014,-27.4,-27.4,Conductor Field,A,0.0,0.0,40.0,40.0,
L10-AD,2013,0.0,-12.0,Rows and Elevations,A,71.0,47.0,9.0,12.0,Marine Growth Removal (Partial)
L10-AD,2013,0.0,-12.0,Risers,A,20.0,20.0,80.0,20.0,Marine Growth Removal (Partial)
L10-AD,2013,0.0,-12.0,Caissons,A,10.0,10.0,60.0,27.0,Marine Growth Removal (Partial)
L10-AD,2013,0.0,-12.0,Conductors,A,67.0,27.0,33.0,15.0,Marine Growth Removal (Partial)
L10-AD,2013,-12.0,-27.4,Rows and Elevations,A,21.0,29.0,67.0,56.0,
