platform,year,depthmin,depthmax,Item,AvgMax,hardperc,hardmm,softperc,softmm,Remarks
L10-AP,2016,0.0,-12.0,Rows and Elevations,A,47.0,57.0,53.0,35.0,
L10-AP,2016,0.0,-12.0,Risers,A,52.0,69.0,48.0,34.0,
L10-AP,2016,0.0,-12.0,Caissons,A,20.0,43.0,63.0,26.0,
L10-AP,2016,0.0,-12.0,Conductors,A,,,,,
L10-AP,2016,-12.0,-27.4,Rows and Elevations,A,1.0,30.0,99.0,60.0,
L10-AP,2016,-12.0,-27.4,Risers,A,0.0,0.0,100.0,36.0,
L10-AP,2016,-12.0,-27.4,Caissons,A,,,,,
L10-AP,2016,-12.0,-27.4,Conductors,A,,,,,
L10-AP,2016,0.0,-12.0,Rows and Elevations,M,80.0,70.0,70.0,40.0,
L10-AP,2016,0.0,-12.0,Risers,M,70.0,100.0,70.0,50.0,
L10-AP,2016,0.0,-12.0,Caissons,M,60.0,50.0,100.0,40.0,
L10-AP,2016,0.0,-12.0,Conductors,M,,,,,
L10-AP,2016,-12.0,-27.4,Rows and Elevations,M,5.0,30.0,100.0,70.0,
L10-AP,2016,-12.0,-27.4,Risers,M,0.0,0.0,100.0,60.0,
L10-AP,2016,-12.0,-27.4,Caissons,M,,,,,
L10-AP,2016,-12.0,-27.4,Conductors,M,,,,,
L10-AP,2016,3.0,-12.0,Row 1,A,40.0,60.0,60.0,30.0,
L10-AP,2016,3.0,-12.0,Row 2,A,70.0,70.0,30.0,40.0,
L10-AP,2016,3.0,-12.0,Row 3,A,30.0,50.0,70.0,30.0,
L10-AP,2016,3.0,-12.0,Row 4,A,50.0,40.0,50.0,30.0,
L10-AP,2016,3.0,-12.0,Row A,A,30.0,40.0,70.0,40.0,
L10-AP,2016,3.0,-12.0,Row B,A,30.0,40.0,70.0,40.0,
L10-AP,2016,-12.0,-27.4,Row 1,A,0.0,0.0,100.0,50.0,
L10-AP,2016,-12.0,-27.4,Row 2,A,0.0,0.0,100.0,70.0,
L10-AP,2016,-12.0,-27.4,Row 3,A,0.0,0.0,100.0,50.0,
L10-AP,2016,-12.0,-27.4,Row 4,A,0.0,0.0,100.0,50.0,
L10-AP,2016,-12.0,-27.4,Row A,A,0.0,0.0,100.0,70.0,
L10-AP,2016,-12.0,-27.4,Row B,A,0.0,0.0,100.0,70.0,
L10-AP,2016,-4.6,-4.6,Level 1,A,80.0,70.0,20.0,30.0,
L10-AP,2016,-4.6,-4.6,Conductor Field,A,,,,,
L10-AP,2016,-15.2,-15.2,Level 2,A,5.0,30.0,95.0,70.0,
L10-AP,2016,-15.2,-15.2,Conductor Field,A,,,,,
L10-AP,2016,-27.4,-27.4,Level 3,A,0.0,0.0,100.0,50.0,
L10-AP,2016,-27.4,-27.4,Conductor Field,A,,,,,
L10-AP,2014,0.0,-12.0,Rows and Elevations,A,59.0,52.0,27.0,30.0,
L10-AP,2014,0.0,-12.0,Risers,A,0.0,0.0,0.0,0.0,
L10-AP,2014,0.0,-12.0,Caissons,A,73.0,47.0,20.0,28.0,
L10-AP,2014,0.0,-12.0,Conductors,A,,,,,
L10-AP,2014,-12.0,-27.4,Rows and Elevations,A,9.0,41.0,73.0,50.0,
L10-AP,2014,-12.0,-27.4,Risers,A,0.0,0.0,0.0,0.0,
L10-AP,2014,-12.0,-27.4,Caissons,A,,,,,
L10-AP,2014,-12.0,-27.4,Conductors,A,,,,,
L10-AP,2014,0.0,-12.0,Rows and Elevations,M,90.0,60.0,60.0,50.0,
L10-AP,2014,0.0,-12.0,Risers,M,0.0,0.0,0.0,0.0,
L10-AP,2014,0.0,-12.0,Caissons,M,80.0,50.0,30.0,30.0,
L10-AP,2014,0.0,-12.0,Conductors,M,,,,,
L10-AP,2014,-12.0,-27.4,Rows and Elevations,M,20.0,50.0,90.0,60.0,
L10-AP,2014,-12.0,-27.4,Risers,M,0.0,0.0,0.0,0.0,
L10-AP,2014,-12.0,-27.4,Caissons,M,,,,,
