platform,year,depthmin,depthmax,Item,AvgMax,hardperc,hardmm,softperc,softmm,Remarks
L10-AR,2013,0.0,-12.0,Rows and Elevations,A,52.0,11.0,34.0,44.0,
L10-AR,2013,0.0,-12.0,Risers,A,73.0,12.0,27.0,17.0,
L10-AR,2013,0.0,-12.0,Caissons,A,,,,,
L10-AR,2013,0.0,-12.0,Conductors,A,,,,,
L10-AR,2013,-12.0,-27.4,Rows and Elevations,A,31.0,23.0,69.0,41.0,
L10-AR,2013,-12.0,-27.4,Risers,A,8.0,15.0,92.0,32.0,
L10-AR,2013,-12.0,-27.4,Caissons,A,,,,,
L10-AR,2013,-12.0,-27.4,Conductors,A,,,,,
L10-AR,2013,0.0,-12.0,Rows and Elevations,M,80.0,20.0,80.0,50.0,
L10-AR,2013,0.0,-12.0,Risers,M,80.0,20.0,50.0,20.0,
L10-AR,2013,0.0,-12.0,Caissons,M,,,,,
L10-AR,2013,0.0,-12.0,Conductors,M,,,,,
L10-AR,2013,-12.0,-27.4,Rows and Elevations,M,100.0,40.0,100.0,60.0,
L10-AR,2013,-12.0,-27.4,Risers,M,20.0,20.0,100.0,100.0,
L10-AR,2013,-12.0,-27.4,Caissons,M,,,,,
L10-AR,2013,-12.0,-27.4,Conductors,M,,,,,
L10-AR,2013,3.0,-4.5,Row 1,A,10.0,20.0,0.0,0.0,
L10-AR,2013,3.0,-4.5,Row 2,A,100.0,10.0,0.0,0.0,
L10-AR,2013,3.0,-4.5,Row A,A,0.0,0.0,0.0,0.0,
L10-AR,2013,3.0,-4.5,Row B,A,40.0,10.0,60.0,40.0,
L10-AR,2013,-4.5,-27.4,Row 1,A,50.0,40.0,50.0,40.0,
L10-AR,2013,-4.5,-27.4,Row 2,A,40.0,10.0,60.0,10.0,
L10-AR,2013,-4.5,-27.4,Row A,A,90.0,10.0,60.0,40.0,
L10-AR,2013,-4.5,-27.4,Row B,A,20.0,10.0,80.0,30.0,
L10-AR,2013,-4.5,-4.5,Level 1,A,80.0,10.0,0.0,0.0,
L10-AR,2013,-4.5,-4.5,Conductor Field,A,,,,,
L10-AR,2013,-15.2,-15.2,Level 2,A,100.0,30.0,0.0,0.0,
L10-AR,2013,-15.2,-15.2,Conductor Field,A,,,,,
L10-AR,2013,-27.4,-27.4,Level 3,A,0.0,0.0,100.0,40.0,
L10-AR,2013,-27.4,-27.4,Conductor Field,A,,,,,
L10-AR,2011,3.0,-12.0,Rows and Elevations,A,49.0,46.0,7.0,40.0,Marine Growth Removal (70%)
L10-AR,2011,3.0,-12.0,Risers,A,36.0,41.0,18.0,37.0,
L10-AR,2011,3.0,-12.0,Caissons,A,,,,,
L10-AR,2011,3.0,-12.0,Conductors,A,,,,,
L10-AR,2011,-12.0,-27.4,Rows and Elevations,A,38.0,56.0,15.0,45.0,
L10-AR,2011,-12.0,-27.4,Risers,A,35.0,52.0,64.0,41.0,
L10-AR,2011,-12.0,-27.4,Caissons,A,,,,,
L10-AR,2011,-12.0,-27.4,Conductors,A,,,,,
L10-AR,2011,3.0,-12.0,Rows and Elevations,M,100.0,60.0,30.0,50.0,Marine Growth Removal (70%)
L10-AR,2011,3.0,-12.0,Risers,M,90.0,60.0,50.0,50.0,
L10-AR,2011,3.0,-12.0,Caissons,M,,,,,
L10-AR,2011,3.0,-12.0,Conductors,M,,,,,
L10-AR,2011,-12.0,-27.4,Rows and Elevations,M,90.0,60.0,100.0,50.0,
L10-AR,2011,-12.0,-27.4,Risers,M,90.0,60.0,100.0,40.0,
L10-AR,2011,-12.0,-27.4,Caissons,M,,,,,
L10-AR,2011,-12.0,-27.4,Conductors,M,,,,,
L10-AR,2011,3.0,0.0,Row 1,A,30.0,20.0,0.0,0.0,
L10-AR,2011,3.0,0.0,Row 2,A,25.0,20.0,0.0,0.0,
L10-AR,2011,3.0,0.0,Row A,A,20.0,20.0,0.0,0.0,
L10-AR,2011,3.0,0.0,Row B,A,5.0,10.0,0.0,0.0,
L10-AR,2011,0.0,-4.5,Row 1,A,100.0,60.0,0.0,0.0,
L10-AR,2011,0.0,-4.5,Row 2,A,40.0,30.0,0.0,0.0,
L10-AR,2011,0.0,-4.5,Row A,A,20.0,20.0,0.0,0.0,
L10-AR,2011,0.0,-4.5,Row B,A,50.0,30.0,0.0,0.0,
L10-AR,2011,-4.5,-15.2,Row 1,A,60.0,60.0,30.0,40.0,
L10-AR,2011,-4.5,-15.2,Row 2,A,80.0,50.0,20.0,40.0,
L10-AR,2011,-4.5,-15.2,Row A,A,80.0,60.0,20.0,50.0,
L10-AR,2011,-4.5,-15.2,Row B,A,90.0,60.0,10.0,50.0,
L10-AR,2011,-15.2,-27.4,Row 1,A,0.0,0.0,100.0,50.0,
L10-AR,2011,-15.2,-27.4,Row 2,A,10.0,40.0,90.0,50.0,
L10-AR,2011,-15.2,-27.4,Row A,A,5.0,40.0,95.0,40.0,
