platform,year,depthmin,depthmax,Item,AvgMax,hardperc,hardmm,softperc,softmm,Remarks
L10-B,2016,0.0,-12.0,Rows and Elevations,A,58.0,56.0,42.0,30.0,
L10-B,2016,0.0,-12.0,Risers,A,30.0,34.0,70.0,30.0,
L10-B,2016,0.0,-12.0,Caissons,A,70.0,59.0,30.0,23.0,
L10-B,2016,0.0,-12.0,Conductors,A,40.0,60.0,60.0,62.0,
L10-B,2016,-12.0,-27.4,Rows and Elevations,A,0.0,0.0,100.0,66.0,
L10-B,2016,-12.0,-27.4,Risers,A,0.0,0.0,100.0,63.0,
L10-B,2016,-12.0,-27.4,Caissons,A,,,,,
L10-B,2016,-12.0,-27.4,Conductors,A,0.0,0.0,93.0,68.0,
L10-B,2016,0.0,-12.0,Rows and Elevations,M,95.0,70.0,70.0,40.0,
L10-B,2016,0.0,-12.0,Risers,M,40.0,40.0,80.0,40.0,
L10-B,2016,0.0,-12.0,Caissons,M,100.0,80.0,80.0,30.0,
L10-B,2016,0.0,-12.0,Conductors,M,40.0,60.0,60.0,70.0,
L10-B,2016,-12.0,-27.4,Rows and Elevations,M,0.0,0.0,100.0,80.0,
L10-B,2016,-12.0,-27.4,Risers,M,0.0,0.0,100.0,70.0,
L10-B,2016,-12.0,-27.4,Caissons,M,,,,,
L10-B,2016,-12.0,-27.4,Conductors,M,0.0,0.0,100.0,70.0,
L10-B,2016,3.0,-12.0,Row 1,A,70.0,50.0,30.0,40.0,
L10-B,2016,3.0,-12.0,Row 2,A,30.0,30.0,70.0,30.0,
L10-B,2016,3.0,-12.0,Row A,A,30.0,30.0,70.0,30.0,
L10-B,2016,3.0,-12.0,Row B,A,30.0,30.0,70.0,30.0,
L10-B,2016,-12.0,-27.4,Row 1,A,0.0,0.0,100.0,70.0,
L10-B,2016,-12.0,-27.4,Row 2,A,0.0,0.0,100.0,80.0,
L10-B,2016,-12.0,-27.4,Row A,A,0.0,0.0,100.0,80.0,
L10-B,2016,-12.0,-27.4,Row B,A,0.0,0.0,100.0,80.0,
L10-B,2016,-4.8,-4.8,Level 1,A ,95.0,70.0,5.0,10.0,
L10-B,2016,-4.8,-4.8,Conductor Field,A,95.0,70.0,5.0,10.0,
L10-B,2016,-15.5,-15.5,Level 2,A,0.0,0.0,100.0,50.0,
L10-B,2016,-15.5,-15.5,Conductor Field,A,0.0,0.0,100.0,50.0,
L10-B,2016,-27.4,-27.4,Level 3,A,0.0,0.0,100.0,50.0,
L10-B,2016,-27.4,-27.4,Conductor Field,A,,,,,
L10-B,2014,0.0,-12.0,Rows and Elevations,A,9.0,20.0,88.0,3.0,
