platform,year,depthmin,depthmax,Item,AvgMax,hardperc,hardmm,softperc,softmm,Remarks
L10-BB,2016,0.0,-12.0,Rows and Elevations,A,9.0,28.0,85.0,53.0,
L10-BB,2016,0.0,-12.0,Risers,A,,,,,
L10-BB,2016,0.0,-12.0,Caissons,A,,,,,
L10-BB,2016,0.0,-12.0,Conductors,A,5.0,40.0,47.0,27.0,
L10-BB,2016,-12.0,-30.0,Rows and Elevations,A,0.0,0.0,71.0,72.0,
L10-BB,2016,-12.0,-30.0,Risers,A,,,,,
L10-BB,2016,-12.0,-30.0,Caissons,A,,,,,
L10-BB,2016,-12.0,-30.0,Conductors,A,0.0,0.0,93.0,50.0,
L10-BB,2016,0.0,-12.0,Rows and Elevations,M,30.0,30.0,100.0,90.0,
L10-BB,2016,0.0,-12.0,Risers,M,,,,,
L10-BB,2016,0.0,-12.0,Caissons,M,,,,,
L10-BB,2016,0.0,-12.0,Conductors,M,5.0,40.0,60.0,30.0,
L10-BB,2016,-12.0,-30.0,Rows and Elevations,M,0.0,0.0,100.0,100.0,
L10-BB,2016,-12.0,-30.0,Risers,M,,,,,
L10-BB,2016,-12.0,-30.0,Caissons,M,,,,,
L10-BB,2016,-12.0,-30.0,Conductors,M,0.0,0.0,100.0,50.0,
L10-BB,2016,3.0,-12.0,Row 1-2,A,5.0,30.0,80.0,90.0,
L10-BB,2016,3.0,-12.0,Row 2-3,A,30.0,30.0,70.0,30.0,
L10-BB,2016,3.0,-12.0,Row 3-1,A,5.0,30.0,80.0,90.0,
L10-BB,2016,-12.0,-30.0,Row 1-2,A,0.0,0.0,100.0,80.0,
L10-BB,2016,-12.0,-30.0,Row 2-3,A,0.0,0.0,100.0,80.0,
L10-BB,2016,-12.0,-30.0,Row 3-1,A,0.0,0.0,100.0,50.0,
L10-BB,2016,-7.4,-7.4,Level 1,A,5.0,10.0,95.0,30.0,
L10-BB,2016,-7.4,-7.4,Conductor Field,A,0.0,0.0,100.0,30.0,
L10-BB,2016,-18.1,-18.1,Level 2,A,0.0,0.0,100.0,50.0,
L10-BB,2016,-18.1,-18.1,Conductor Field,A,0.0,0.0,100.0,100.0,
L10-BB,2016,-30.0,-30.0,Level 3,A,0.0,0.0,0.0,0.0,
L10-BB,2016,-30.0,-30.0,Conductor Field,A,0.0,0.0,0.0,0.0,
L10-BB,2014,0.0,-12.0,Rows and Elevations,A,4.0,20.0,96.0,11.0,
L10-BB,2014,0.0,-12.0,Risers,A,,,,,
L10-BB,2014,0.0,-12.0,Caissons,A,,,,,
L10-BB,2014,0.0,-12.0,Conductors,A,5.0,20.0,20.0,17.0,
L10-BB,2014,-12.0,-30.0,Rows and Elevations,A,0.0,0.0,26.0,27.0,
L10-BB,2014,-12.0,-30.0,Risers,A,,,,,
L10-BB,2014,-12.0,-30.0,Caissons,A,,,,,
L10-BB,2014,-12.0,-30.0,Conductors,A,0.0,0.0,73.0,40.0,
L10-BB,2014,0.0,-12.0,Rows and Elevations,M,10.0,20.0,100.0,20.0,
L10-BB,2014,0.0,-12.0,Risers,M,,,,,
L10-BB,2014,0.0,-12.0,Caissons,M,,,,,
L10-BB,2014,0.0,-12.0,Conductors,M,5.0,20.0,20.0,20.0,
L10-BB,2014,-12.0,-30.0,Rows and Elevations,M,0.0,0.0,30.0,30.0,
L10-BB,2014,-12.0,-30.0,Risers,M,,,,,
L10-BB,2014,-12.0,-30.0,Caissons,M,,,,,
L10-BB,2014,-12.0,-30.0,Conductors,M,0.0,0.0,80.0,40.0,
L10-BB,2014,3.0,-12.0,Row 1-2,A,0.0,0.0,100.0,5.0,
L10-BB,2014,3.0,-12.0,Row 2-3,A,0.0,0.0,100.0,5.0,
L10-BB,2014,3.0,-12.0,Row 3-1,A,0.0,0.0,100.0,5.0,
L10-BB,2014,-12.0,-30.0,Row 1-2,A,0.0,0.0,30.0,30.0,
L10-BB,2014,-12.0,-30.0,Row 2-3,A,0.0,0.0,30.0,30.0,
L10-BB,2014,-12.0,-30.0,Row 3-1,A,0.0,0.0,30.0,30.0,
L10-BB,2014,-7.4,-7.4,Level 1,A,10.0,20.0,90.0,20.0,
L10-BB,2014,-7.4,-7.4,Conductor Field,A,10.0,20.0,90.0,20.0,
L10-BB,2014,-18.1,-18.1,Level 2,A,0.0,0.0,20.0,20.0,
L10-BB,2014,-18.1,-18.1,Conductor Field,A,0.0,0.0,20.0,20.0,
L10-BB,2014,-30.0,-30.0,Level 3,A,,,,,
L10-BB,2014,-30.0,-30.0,Conductor Field,A,,,,,
L10-BB,2012,3.0,-12.0,Rows and Elevations,A,83.0,38.0,18.0,23.0,
L10-BB,2012,3.0,-12.0,Risers,A,,,,,
L10-BB,2012,3.0,-12.0,Caissons,A,,,,,
L10-BB,2012,3.0,-12.0,Conductors,A,90.0,37.0,10.0,18.0,
L10-BB,2012,-12.0,-30.0,Rows and Elevations,A,33.0,18.0,68.0,40.0,
L10-BB,2012,-12.0,-30.0,Risers,A,,,,,
L10-BB,2012,-12.0,-30.0,Caissons,A,,,,,
L10-BB,2012,-12.0,-30.0,Conductors,A,40.0,18.0,60.0,38.0,
L10-BB,2012,3.0,-12.0,Rows and Elevations,M,100.0,40.0,40.0,40.0,
L10-BB,2012,3.0,-12.0,Risers,M,,,,,
L10-BB,2012,3.0,-12.0,Caissons,M,,,,,
L10-BB,2012,3.0,-12.0,Conductors,M,100.0,40.0,20.0,40.0,
L10-BB,2012,-12.0,-30.0,Rows and Elevations,M,80.0,40.0,100.0,40.0,
L10-BB,2012,-12.0,-30.0,Risers,M,,,,,
L10-BB,2012,-12.0,-30.0,Caissons,M,,,,,
L10-BB,2012,-12.0,-30.0,Conductors,M,80.0,40.0,100.0,40.0,
L10-BB,2012,3.0,0.0,Row 1-2,A,100.0,40.0,0.0,0.0,
L10-BB,2012,3.0,0.0,Row 2-3,A,100.0,40.0,0.0,0.0,
L10-BB,2012,3.0,0.0,Row 3-1,A,100.0,40.0,0.0,0.0,
L10-BB,2012,0.0,-7.4,Row 1-2,A,80.0,40.0,20.0,40.0,
L10-BB,2012,0.0,-7.4,Row 2-3,A,80.0,40.0,20.0,40.0,
L10-BB,2012,0.0,-7.4,Row 3-1,A,80.0,40.0,20.0,40.0,
L10-BB,2012,-7.4,-18.1,Row 1-2,A,80.0,40.0,20.0,40.0,
L10-BB,2012,-7.4,-18.1,Row 2-3,A,80.0,40.0,20.0,40.0,
L10-BB,2012,-7.4,-18.1,Row 3-1,A,80.0,40.0,20.0,40.0,
L10-BB,2012,-18.1,-30.0,Row 1-2,A,0.0,0.0,100.0,40.0,
L10-BB,2012,-18.1,-30.0,Row 2-3,A,0.0,0.0,100.0,40.0,
L10-BB,2012,-18.1,-30.0,Row 3-1,A,0.0,0.0,100.0,40.0,
L10-BB,2012,-7.4,-7.4,Level 1,A,50.0,30.0,30.0,30.0,
L10-BB,2012,-7.4,-7.4,Conductor Field,A,50.0,30.0,30.0,30.0,
L10-BB,2012,-18.1,-18.1,Level 2,A,10.0,10.0,90.0,40.0,
L10-BB,2012,-18.1,-18.1,Conductor Field,A,10.0,10.0,90.0,40.0,
L10-BB,2012,-30.0,-30.0,Level 3,A,,,,,
L10-BB,2012,-30.0,-30.0,Conductor Field,A,,,,,
L10-BB,2010,3.0,-12.0,Rows and Elevations,A,67.0,53.0,20.0,27.0,
L10-BB,2010,3.0,-12.0,Risers,A,,,,,
L10-BB,2010,3.0,-12.0,Caissons,A,,,,,
L10-BB,2010,3.0,-12.0,Conductors,A,73.0,66.0,17.0,61.0,
L10-BB,2010,-12.0,-30.0,Rows and Elevations,A,33.0,54.0,49.0,47.0,
L10-BB,2010,-12.0,-30.0,Risers,A,,,,,
L10-BB,2010,-12.0,-30.0,Caissons,A,,,,,
L10-BB,2010,-12.0,-30.0,Conductors,A,30.0,62.0,64.0,52.0,
L10-BB,2010,3.0,-12.0,Rows and Elevations,M,90.0,70.0,60.0,60.0,
L10-BB,2010,3.0,-12.0,Risers,M,,,,,
L10-BB,2010,3.0,-12.0,Caissons,M,,,,,
L10-BB,2010,3.0,-12.0,Conductors,M,90.0,100.0,50.0,80.0,
L10-BB,2010,-12.0,-30.0,Rows and Elevations,M,80.0,60.0,100.0,60.0,
L10-BB,2010,-12.0,-30.0,Risers,M,,,,,
L10-BB,2010,-12.0,-30.0,Caissons,M,,,,,
L10-BB,2010,-12.0,-30.0,Conductors,M,80.0,80.0,100.0,80.0,
L10-BB,2010,3.0,0.0,Row 1-2,A,80.0,60.0,0.0,0.0,
L10-BB,2010,3.0,0.0,Row 2-3,A,20.0,20.0,60.0,20.0,
L10-BB,2010,3.0,0.0,Row 3-1,A,90.0,50.0,0.0,0.0,
L10-BB,2010,0.0,-7.4,Row 1-2,A,60.0,40.0,40.0,40.0,
L10-BB,2010,0.0,-7.4,Row 2-3,A,90.0,50.0,0.0,0.0,
L10-BB,2010,0.0,-7.4,Row 3-1,A,80.0,50.0,10.0,20.0,
L10-BB,2010,-7.4,-18.1,Row 1-2,A,80.0,60.0,20.0,60.0,
L10-BB,2010,-7.4,-18.1,Row 2-3,A,30.0,40.0,50.0,20.0,
L10-BB,2010,-7.4,-18.1,Row 3-1,A,50.0,40.0,40.0,20.0,
L10-BB,2010,-18.1,-30.0,Row 1-2,A,20.0,60.0,70.0,60.0,
