platform,year,depthmin,depthmax,Item,AvgMax,hardperc,hardmm,softperc,softmm,Remarks
L10-C,2014,0.0,-12.0,Rows and Elevations,A,30.0,28.0,23.0,26.0,
L10-C,2014,0.0,-12.0,Risers,A,0.0,0.0,0.0,0.0,
L10-C,2014,0.0,-12.0,Caissons,A,80.0,45.0,15.0,23.0,
L10-C,2014,0.0,-12.0,Conductors,A,47.0,44.0,18.0,24.0,
L10-C,2014,-12.0,-27.4,Rows and Elevations,A,8.0,27.0,65.0,48.0,
L10-C,2014,-12.0,-27.4,Risers,A,0.0,0.0,0.0,0.0,
L10-C,2014,-12.0,-27.4,Caissons,A,,,,,
L10-C,2014,-12.0,-27.4,Conductors,A,0.0,0.0,82.0,50.0,
L10-C,2014,0.0,-12.0,Rows and Elevations,M,40.0,40.0,30.0,30.0,
L10-C,2014,0.0,-12.0,Risers,M,0.0,0.0,0.0,0.0,
L10-C,2014,0.0,-12.0,Caissons,M,80.0,50.0,20.0,30.0,
L10-C,2014,0.0,-12.0,Conductors,M,80.0,50.0,20.0,30.0,
L10-C,2014,-12.0,-27.4,Rows and Elevations,M,10.0,40.0,80.0,50.0,
L10-C,2014,-12.0,-27.4,Risers,M,0.0,0.0,0.0,0.0,
L10-C,2014,-12.0,-27.4,Caissons,M,,,,,
L10-C,2014,-12.0,-27.4,Conductors,M,0.0,0.0,100.0,50.0,
L10-C,2014,3.0,-12.0,Row 1,A,20.0,40.0,30.0,30.0,
L10-C,2014,3.0,-12.0,Row 2,A,40.0,30.0,20.0,20.0,
L10-C,2014,3.0,-12.0,Row A,A,30.0,40.0,20.0,30.0,
L10-C,2014,3.0,-12.0,Row B,A,30.0,40.0,20.0,30.0,
L10-C,2014,-12.0,-27.4,Row 1,A,0.0,0.0,20.0,20.0,
L10-C,2014,-12.0,-27.4,Row 2,A,10.0,20.0,80.0,50.0,
L10-C,2014,-12.0,-27.4,Row A,A,10.0,40.0,80.0,50.0,
L10-C,2014,-12.0,-27.4,Row B,A,10.0,40.0,80.0,50.0,
L10-C,2014,-4.8,-4.8,Level 1,A,60.0,50.0,20.0,20.0,
L10-C,2014,-4.8,-4.8,Conductor Field,A,40.0,50.0,20.0,20.0,
L10-C,2014,-15.5,-15.5,Level 2,A,0.0,0.0,20.0,40.0,
L10-C,2014,-15.5,-15.5,Conductor Field,A,0.0,0.0,80.0,40.0,
L10-C,2014,-27.4,-27.4,Level 3,A,,,,,
L10-C,2014,-27.4,-27.4,Conductor Field,A,,,,,
L10-C,2012,3.0,-12.0,Rows and Elevations,A,66.0,27.0,41.0,25.0,
L10-C,2012,3.0,-12.0,Risers,A,53.0,20.0,47.0,20.0,
L10-C,2012,3.0,-12.0,Caissons,A,87.0,27.0,13.0,20.0,
L10-C,2012,3.0,-12.0,Conductors,A,100.0,30.0,0.0,0.0,
L10-C,2012,-12.0,-27.4,Rows and Elevations,A,27.0,13.0,73.0,40.0,
L10-C,2012,-12.0,-27.4,Risers,A,10.0,10.0,90.0,35.0,
L10-C,2012,-12.0,-27.4,Caissons,A,0.0,0.0,100.0,30.0,
L10-C,2012,-12.0,-27.4,Conductors,A,0.0,0.0,0.0,0.0,
L10-C,2012,3.0,-12.0,Rows and Elevations,M,100.0,30.0,100.0,40.0,
L10-C,2012,3.0,-12.0,Risers,M,100.0,20.0,80.0,30.0,
L10-C,2012,3.0,-12.0,Caissons,M,100.0,30.0,20.0,30.0,
L10-C,2012,3.0,-12.0,Conductors,M,100.0,30.0,0.0,0.0,
L10-C,2012,-12.0,-27.4,Rows and Elevations,M,80.0,40.0,100.0,40.0,
L10-C,2012,-12.0,-27.4,Risers,M,20.0,20.0,100.0,40.0,
L10-C,2012,-12.0,-27.4,Caissons,M,0.0,0.0,100.0,30.0,
L10-C,2012,-12.0,-27.4,Conductors,M,0.0,0.0,0.0,0.0,
L10-C,2012,3.0,0.0,Row 1,A,100.0,30.0,0.0,0.0,
L10-C,2012,3.0,0.0,Row 2,A,100.0,30.0,0.0,0.0,
L10-C,2012,3.0,0.0,Row A,A,100.0,30.0,0.0,0.0,
L10-C,2012,3.0,0.0,Row B,A,100.0,30.0,0.0,0.0,
L10-C,2012,0.0,-4.8,Row 1,A,10.0,10.0,90.0,20.0,
L10-C,2012,0.0,-4.8,Row 2,A,10.0,10.0,90.0,20.0,
L10-C,2012,0.0,-4.8,Row A,A,10.0,10.0,90.0,20.0,
L10-C,2012,0.0,-4.8,Row B,A,10.0,10.0,90.0,20.0,
L10-C,2012,-4.8,-15.5,Row 1,A,80.0,40.0,20.0,40.0,
L10-C,2012,-4.8,-15.5,Row 2,A,80.0,40.0,20.0,40.0,
L10-C,2012,-4.8,-15.5,Row A,A,80.0,40.0,20.0,40.0,
L10-C,2012,-4.8,-15.5,Row B,A,80.0,40.0,20.0,40.0,
L10-C,2012,-15.5,-27.4,Row 1,A,0.0,0.0,100.0,40.0,
L10-C,2012,-15.5,-27.4,Row 2,A,0.0,0.0,100.0,40.0,
