platform,year,depthmin,depthmax,Item,AvgMax,hardperc,hardmm,softperc,softmm,Remarks
L10-D,2015,0.0,-12.0,Rows and Elevations,A,32.0,47.0,65.0,18.0,
L10-D,2015,0.0,-12.0,Risers,A,25.0,30.0,40.0,20.0,
L10-D,2015,0.0,-12.0,Caissons,A,55.0,43.0,45.0,16.0,
L10-D,2015,0.0,-12.0,Conductors,A,42.0,46.0,58.0,20.0,
L10-D,2015,-12.0,-27.4,Rows and Elevations,A,9.0,30.0,95.0,38.0,
L10-D,2015,-12.0,-27.4,Risers,A,0.0,0.0,100.0,40.0,
L10-D,2015,-12.0,-27.4,Caissons,A,,,,,
L10-D,2015,-12.0,-27.4,Conductors,A,0.0,0.0,100.0,40.0,
L10-D,2015,0.0,-12.0,Rows and Elevations,M,80.0,60.0,80.0,30.0,
L10-D,2015,0.0,-12.0,Risers,M,30.0,30.0,70.0,20.0,
L10-D,2015,0.0,-12.0,Caissons,M,70.0,50.0,75.0,20.0,
L10-D,2015,0.0,-12.0,Conductors,M,60.0,50.0,70.0,20.0,
L10-D,2015,-12.0,-27.4,Rows and Elevations,M,50.0,30.0,100.0,50.0,
L10-D,2015,-12.0,-27.4,Risers,M,0.0,0.0,100.0,40.0,
L10-D,2015,-12.0,-27.4,Caissons,M,,,,,
L10-D,2015,-12.0,-27.4,Conductors,M,0.0,0.0,100.0,40.0,
L10-D,2015,3.0,-12.0,Row 1,A,10.0,20.0,80.0,10.0,
L10-D,2015,3.0,-12.0,Row 2,A,10.0,20.0,80.0,10.0,
L10-D,2015,3.0,-12.0,Row A,A,20.0,30.0,80.0,30.0,
L10-D,2015,3.0,-12.0,Row B,A,50.0,50.0,50.0,20.0,
L10-D,2015,-12.0,-27.4,Row 1,A,0.0,0.0,100.0,30.0,
L10-D,2015,-12.0,-27.4,Row 2,A,0.0,0.0,90.0,40.0,
L10-D,2015,-12.0,-27.4,Row A,A,0.0,0.0,90.0,40.0,
L10-D,2015,-12.0,-27.4,Row B,A,0.0,0.0,100.0,50.0,
L10-D,2015,-4.8,-4.8,Level 1,A,80.0,60.0,20.0,20.0,
L10-D,2015,-4.8,-4.8,Conductor Field,A,20.0,30.0,80.0,20.0,
L10-D,2015,-15.5,-15.5,Level 2,A,5.0,30.0,95.0,40.0,
L10-D,2015,-15.5,-15.5,Conductor Field,A,5.0,30.0,95.0,40.0,
L10-D,2015,-27.4,-27.4,Level 3,A,,,,,
L10-D,2015,-27.4,-27.4,Conductor Field,A,,,,,
L10-D,2013,0.0,-12.0,Rows and Elevations,A,23.0,36.0,2.0,30.0,
L10-D,2013,0.0,-12.0,Risers,A,80.0,50.0,0.0,0.0,
L10-D,2013,0.0,-12.0,Caissons,A,55.0,36.0,8.0,40.0,
L10-D,2013,0.0,-12.0,Conductors,A,30.0,43.0,0.0,0.0,
L10-D,2013,-12.0,-27.4,Rows and Elevations,A,37.0,40.0,23.0,47.0,
L10-D,2013,-12.0,-27.4,Risers,A,0.0,0.0,70.0,40.0,
L10-D,2013,-12.0,-27.4,Caissons,A,,,,,
L10-D,2013,-12.0,-27.4,Conductors,A,36.0,39.0,36.0,39.0,
L10-D,2013,0.0,-12.0,Rows and Elevations,M,50.0,40.0,10.0,30.0,
L10-D,2013,0.0,-12.0,Risers,M,80.0,50.0,0.0,0.0,
L10-D,2013,0.0,-12.0,Caissons,M,100.0,40.0,40.0,40.0,
L10-D,2013,0.0,-12.0,Conductors,M,100.0,50.0,0.0,0.0,
L10-D,2013,-12.0,-27.4,Rows and Elevations,M,80.0,40.0,50.0,50.0,
L10-D,2013,-12.0,-27.4,Risers,M,0.0,0.0,70.0,40.0,
L10-D,2013,-12.0,-27.4,Caissons,M,,,,,
L10-D,2013,-12.0,-27.4,Conductors,M,70.0,40.0,70.0,50.0,
L10-D,2013,3.0,-4.8,Row 1,A,70.0,40.0,5.0,50.0,
L10-D,2013,3.0,-4.8,Row 2,A,40.0,30.0,10.0,40.0,
L10-D,2013,3.0,-4.8,Row A,A,20.0,30.0,30.0,40.0,
L10-D,2013,3.0,-4.8,Row B,A,70.0,40.0,10.0,50.0,
L10-D,2013,-4.8,-27.4,Row 1,A,30.0,40.0,70.0,70.0,
L10-D,2013,-4.8,-27.4,Row 2,A,10.0,40.0,40.0,50.0,
L10-D,2013,-4.8,-27.4,Row A,A,5.0,30.0,55.0,60.0,
L10-D,2013,-4.8,-27.4,Row B,A,25.0,40.0,75.0,70.0,
L10-D,2013,-4.8,-4.8,Level 1,A,20.0,30.0,10.0,30.0,
L10-D,2013,-4.8,-4.8,Conductor Field,A,10.0,20.0,0.0,0.0,
L10-D,2013,-15.5,-15.5,Level 2,A,40.0,40.0,40.0,50.0,
L10-D,2013,-15.5,-15.5,Conductor Field,A,20.0,40.0,30.0,40.0,
L10-D,2013,-27.4,-27.4,Level 3,A,,,,,
L10-D,2013,-27.4,-27.4,Conductor Field,A,,,,,
L10-D,2011,3.0,-12.0,Rows and Elevations,A,52.0,54.0,19.0,40.0,
L10-D,2011,3.0,-12.0,Risers,A,80.0,35.0,20.0,40.0,
L10-D,2011,3.0,-12.0,Caissons,A,52.0,47.0,13.0,22.0,
L10-D,2011,3.0,-12.0,Conductors,A,58.0,54.0,17.0,30.0,
L10-D,2011,-12.0,-27.4,Rows and Elevations,A,47.0,51.0,50.0,56.0,
L10-D,2011,-12.0,-27.4,Risers,A,20.0,60.0,80.0,53.0,
L10-D,2011,-12.0,-27.4,Caissons,A,100.0,50.0,0.0,0.0,
L10-D,2011,-12.0,-27.4,Conductors,A,39.0,57.0,59.0,65.0,
L10-D,2011,3.0,-12.0,Rows and Elevations,M,100.0,80.0,70.0,50.0,
L10-D,2011,3.0,-12.0,Risers,M,100.0,60.0,60.0,40.0,
L10-D,2011,3.0,-12.0,Caissons,M,100.0,60.0,60.0,30.0,
L10-D,2011,3.0,-12.0,Conductors,M,100.0,70.0,50.0,60.0,
L10-D,2011,-12.0,-27.4,Rows and Elevations,M,100.0,60.0,70.0,60.0,
L10-D,2011,-12.0,-27.4,Risers,M,40.0,60.0,100.0,60.0,
L10-D,2011,-12.0,-27.4,Caissons,M,100.0,50.0,0.0,0.0,
L10-D,2011,-12.0,-27.4,Conductors,M,100.0,70.0,100.0,80.0,
L10-D,2011,3.0,0.0,Row 1,A,0.0,0.0,40.0,20.0,
L10-D,2011,3.0,0.0,Row 2,A,20.0,10.0,10.0,10.0,
L10-D,2011,3.0,0.0,Row A,A,0.0,0.0,20.0,10.0,
L10-D,2011,3.0,0.0,Row B,A,0.0,0.0,10.0,10.0,
L10-D,2011,0.0,-4.8,Row 1,A,100.0,40.0,0.0,0.0,
L10-D,2011,0.0,-4.8,Row 2,A,80.0,50.0,0.0,0.0,
L10-D,2011,0.0,-4.8,Row A,A,90.0,60.0,0.0,0.0,
L10-D,2011,0.0,-4.8,Row B,A,80.0,40.0,0.0,0.0,
L10-D,2011,-4.8,-15.5,Row 1,A,30.0,40.0,50.0,50.0,
L10-D,2011,-4.8,-15.5,Row 2,A,30.0,50.0,70.0,50.0,
L10-D,2011,-4.8,-15.5,Row A,A,80.0,50.0,10.0,30.0,
L10-D,2011,-4.8,-15.5,Row B,A,50.0,50.0,40.0,60.0,
L10-D,2011,-15.5,-27.4,Row 1,A,30.0,50.0,70.0,70.0,
L10-D,2011,-15.5,-27.4,Row 2,A,50.0,50.0,50.0,50.0,
L10-D,2011,-15.5,-27.4,Row A,A,30.0,50.0,70.0,60.0,
L10-D,2011,-15.5,-27.4,Row B,A,30.0,60.0,70.0,60.0,
L10-D,2011,-4.8,-4.8,Level 1,A,90.0,80.0,0.0,0.0,
L10-D,2011,-4.8,-4.8,Conductor Field,A,80.0,80.0,0.0,0.0,
L10-D,2011,-15.5,-15.5,Level 2,A,40.0,60.0,60.0,50.0,
L10-D,2011,-15.5,-15.5,Conductor Field,A,100.0,50.0,0.0,0.0,
L10-D,2011,-27.4,-27.4,Level 3,A,,,,,
L10-D,2011,-27.4,-27.4,Conductor Field,A,,,,,
L10-D,2009,3.0,-12.0,Rows and Elevations,A,66.0,96.0,29.0,51.0,
L10-D,2009,3.0,-12.0,Risers,A,40.0,37.0,43.0,30.0,
L10-D,2009,3.0,-12.0,Caissons,A,36.0,86.0,48.0,54.0,
L10-D,2009,3.0,-12.0,Conductors,A,52.0,52.0,26.0,55.0,
L10-D,2009,-12.0,-27.4,Rows and Elevations,A,0.0,0.0,85.0,107.0,
L10-D,2009,-12.0,-27.4,Risers,A,0.0,0.0,100.0,45.0,
L10-D,2009,-12.0,-27.4,Caissons,A,,,,,
L10-D,2009,-12.0,-27.4,Conductors,A,,,,,
L10-D,2009,3.0,-12.0,Rows and Elevations,M,100.0,120.0,100.0,70.0,
L10-D,2009,3.0,-12.0,Risers,M,80.0,40.0,100.0,30.0,
L10-D,2009,3.0,-12.0,Caissons,M,100.0,100.0,100.0,100.0,
L10-D,2009,3.0,-12.0,Conductors,M,90.0,80.0,90.0,70.0,
L10-D,2009,-12.0,-27.4,Rows and Elevations,M,0.0,0.0,100.0,120.0,
L10-D,2009,-12.0,-27.4,Risers,M,0.0,0.0,100.0,50.0,
L10-D,2009,-12.0,-27.4,Caissons,M,,,,,
L10-D,2009,-12.0,-27.4,Conductors,M,,,,,
L10-D,2009,3.0,0.0,Row 1,A,0.0,0.0,100.0,30.0,
L10-D,2009,3.0,0.0,Row 2,A,100.0,120.0,0.0,0.0,
L10-D,2009,3.0,0.0,Row A,A,100.0,120.0,0.0,0.0,
L10-D,2009,3.0,0.0,Row B,A,100.0,90.0,0.0,0.0,
L10-D,2009,0.0,-4.8,Row 1,A,100.0,90.0,0.0,0.0,
L10-D,2009,0.0,-4.8,Row 2,A,90.0,120.0,0.0,0.0,
L10-D,2009,0.0,-4.8,Row A,A,100.0,120.0,0.0,0.0,
L10-D,2009,0.0,-4.8,Row B,A,100.0,90.0,0.0,0.0,
L10-D,2009,-4.8,-15.5,Row 1,A,80.0,70.0,0.0,0.0,
L10-D,2009,-4.8,-15.5,Row 2,A,20.0,80.0,80.0,60.0,
L10-D,2009,-4.8,-15.5,Row A,A,40.0,80.0,60.0,60.0,
L10-D,2009,-4.8,-15.5,Row B,A,0.0,0.0,90.0,70.0,
L10-D,2009,-15.5,-27.4,Row 1,A,0.0,0.0,100.0,100.0,
L10-D,2009,-15.5,-27.4,Row 2,A,0.0,0.0,100.0,120.0,
L10-D,2009,-15.5,-27.4,Row A,A,0.0,0.0,90.0,100.0,
L10-D,2009,-15.5,-27.4,Row B,A,0.0,0.0,100.0,100.0,
L10-D,2009,-4.8,-4.8,Level 1,A,0.0,0.0,80.0,40.0,
L10-D,2009,-4.8,-4.8,Conductor Field,A,90.0,50.0,0.0,0.0,
L10-D,2009,-15.5,-15.5,Level 2,A,0.0,0.0,95.0,100.0,
L10-D,2009,-15.5,-15.5,Conductor Field,A,0.0,0.0,100.0,120.0,
L10-D,2009,-27.4,-27.4,Level 3,A,0.0,0.0,10.0,100.0,
L10-D,2009,-27.4,-27.4,Conductor Field,A,,,,,
L10-D,2005,3.0,-12.0,Rows and Elevations,A,11.0,16.0,67.0,29.0,
L10-D,2005,3.0,-12.0,Risers,A,22.0,25.0,77.0,35.0,
L10-D,2005,3.0,-12.0,Caissons,A,19.0,24.0,66.0,24.0,
L10-D,2005,3.0,-12.0,Conductors,A,12.0,21.0,57.0,24.0,
L10-D,2005,-12.0,-27.4,Rows and Elevations,A,0.0,0.0,87.0,54.0,
L10-D,2005,-12.0,-27.4,Risers,A,0.0,0.0,100.0,45.0,
L10-D,2005,-12.0,-27.4,Caissons,A,0.0,0.0,48.0,23.0,
L10-D,2005,-12.0,-27.4,Conductors,A,8.0,14.0,79.0,72.0,
L10-D,2005,3.0,-12.0,Rows and Elevations,M,60.0,40.0,90.0,60.0,
L10-D,2005,3.0,-12.0,Risers,M,40.0,40.0,100.0,40.0,
L10-D,2005,3.0,-12.0,Caissons,M,40.0,40.0,80.0,30.0,
L10-D,2005,3.0,-12.0,Conductors,M,40.0,50.0,80.0,70.0,
L10-D,2005,-12.0,-27.4,Rows and Elevations,M,0.0,0.0,100.0,120.0,
L10-D,2005,-12.0,-27.4,Risers,M,0.0,0.0,100.0,50.0,
L10-D,2005,-12.0,-27.4,Caissons,M,0.0,0.0,80.0,30.0,
L10-D,2005,-12.0,-27.4,Conductors,M,40.0,50.0,100.0,120.0,
L10-D,2005,3.0,0.0,Row 1,A,10.0,40.0,80.0,20.0,
L10-D,2005,3.0,0.0,Row 2,A,0.0,0.0,80.0,20.0,
L10-D,2005,3.0,0.0,Row A,A,0.0,0.0,70.0,30.0,
L10-D,2005,3.0,0.0,Row B,A,60.0,40.0,0.0,0.0,
L10-D,2005,0.0,-4.8,Row 1,A,5.0,40.0,80.0,60.0,
L10-D,2005,0.0,-4.8,Row 2,A,5.0,30.0,90.0,20.0,
L10-D,2005,0.0,-4.8,Row A,A,0.0,0.0,80.0,20.0,
L10-D,2005,0.0,-4.8,Row B,A,50.0,40.0,0.0,0.0,
L10-D,2005,-4.8,-15.5,Row 1,A,0.0,0.0,80.0,30.0,
L10-D,2005,-4.8,-15.5,Row 2,A,0.0,0.0,80.0,50.0,
L10-D,2005,-4.8,-15.5,Row A,A,0.0,0.0,80.0,30.0,
L10-D,2005,-4.8,-15.5,Row B,A,0.0,0.0,80.0,60.0,
L10-D,2005,-15.5,-27.4,Row 1,A,0.0,0.0,100.0,90.0,
L10-D,2005,-15.5,-27.4,Row 2,A,0.0,0.0,100.0,120.0,
L10-D,2005,-15.5,-27.4,Row A,A,0.0,0.0,100.0,100.0,
L10-D,2005,-15.5,-27.4,Row B,A,0.0,0.0,100.0,120.0,
L10-D,2005,-4.8,-4.8,Level 1,A,0.0,0.0,80.0,30.0,
L10-D,2005,-4.8,-4.8,Conductor Field,A,30.0,40.0,40.0,30.0,
L10-D,2005,-15.5,-15.5,Level 2,A,0.0,0.0,70.0,50.0,
L10-D,2005,-15.5,-15.5,Conductor Field,A,0.0,0.0,70.0,50.0,
L10-D,2005,-27.4,-27.4,Level 3,A,,,,,
L10-D,2005,-27.4,-27.4,Conductor Field,A,,,,,
L10-D,2002,3.0,-12.0,Rows and Elevations,A,49.0,54.0,21.0,74.0,Marine Growth Removal
L10-D,2002,3.0,-12.0,Risers,A,63.0,50.0,17.0,50.0,Marine Growth Removal
L10-D,2002,3.0,-12.0,Caissons,A,48.0,52.0,9.0,30.0,Marine Growth Removal
L10-D,2002,3.0,-12.0,Conductors,A,66.0,69.0,12.0,100.0,Marine Growth Removal
L10-D,2002,-12.0,-27.4,Rows and Elevations,A,0.0,0.0,100.0,122.0,
L10-D,2002,-12.0,-27.4,Risers,A,0.0,0.0,100.0,150.0,
