platform,year,depthmin,depthmax,Item,AvgMax,hardperc,hardmm,softperc,softmm,Remarks
L10-E,2015,0.0,-12.0,Rows and Elevations,A,20.0,28.0,73.0,18.0,
L10-E,2015,0.0,-12.0,Risers,A,,,,,
L10-E,2015,0.0,-12.0,Caissons,A,40.0,30.0,60.0,20.0,
L10-E,2015,0.0,-12.0,Conductors,A,40.0,37.0,60.0,15.0,
L10-E,2015,-12.0,-27.4,Rows and Elevations,A,7.0,30.0,93.0,36.0,
L10-E,2015,-12.0,-27.4,Risers,A,,,,,
L10-E,2015,-12.0,-27.4,Caissons,A,,,,,
L10-E,2015,-12.0,-27.4,Conductors,A,0.0,0.0,100.0,40.0,
L10-E,2015,0.0,-12.0,Rows and Elevations,M,40.0,30.0,90.0,20.0,
L10-E,2015,0.0,-12.0,Risers,M,,,,,
L10-E,2015,0.0,-12.0,Caissons,M,40.0,30.0,60.0,20.0,
L10-E,2015,0.0,-12.0,Conductors,M,40.0,40.0,60.0,20.0,
L10-E,2015,-12.0,-27.4,Rows and Elevations,M,20.0,30.0,100.0,40.0,
L10-E,2015,-12.0,-27.4,Risers,M,,,,,
L10-E,2015,-12.0,-27.4,Caissons,M,,,,,
L10-E,2015,-12.0,-27.4,Conductors,M,0.0,0.0,100.0,40.0,
L10-E,2015,3.0,-12.0,Row 1,A,40.0,30.0,60.0,20.0,
L10-E,2015,3.0,-12.0,Row 2,A,10.0,20.0,70.0,20.0,
L10-E,2015,3.0,-12.0,Row A,A,10.0,20.0,70.0,20.0,
L10-E,2015,3.0,-12.0,Row B,A,40.0,30.0,60.0,20.0,
L10-E,2015,-12.0,-27.4,Row 1,A,10.0,30.0,90.0,40.0,
L10-E,2015,-12.0,-27.4,Row 2,A,0.0,0.0,100.0,40.0,
L10-E,2015,-12.0,-27.4,Row A,A,0.0,0.0,100.0,40.0,
L10-E,2015,-12.0,-27.4,Row B,A,10.0,30.0,90.0,40.0,
L10-E,2015,-4.8,-4.8,Level 1,A,10.0,30.0,70.0,10.0,
L10-E,2015,-4.8,-4.8,Conductor Field,A,10.0,30.0,90.0,20.0,
L10-E,2015,-15.5,-15.5,Level 2,A,20.0,30.0,80.0,40.0,
L10-E,2015,-15.5,-15.5,Conductor Field,A,0.0,0.0,100.0,20.0,
L10-E,2015,-27.4,-27.4,Level 3,A,,,,,
L10-E,2015,-27.4,-27.4,Conductor Field,A,,,,,
L10-E,2013,0.0,-12.0,Rows and Elevations,A,22.0,25.0,0.0,0.0,
