platform,year,depthmin,depthmax,Item,AvgMax,hardperc,hardmm,softperc,softmm,Remarks
L10-EE,2016,0.0,-12.0,Rows and Elevations,A,93.0,72.0,7.0,29.0,
L10-EE,2016,0.0,-12.0,Risers,A,,,,,
L10-EE,2016,0.0,-12.0,Caissons,A,,,,,
L10-EE,2016,0.0,-12.0,Conductors,A,80.0,50.0,10.0,30.0,
L10-EE,2016,-12.0,-27.4,Rows and Elevations,A,1.0,10.0,99.0,83.0,
L10-EE,2016,-12.0,-27.4,Risers,A,,,,,
L10-EE,2016,-12.0,-27.4,Caissons,A,,,,,
L10-EE,2016,-12.0,-27.4,Conductors,A,0.0,0.0,100.0,80.0,
L10-EE,2016,0.0,-12.0,Rows and Elevations,M,100.0,80.0,20.0,30.0,
L10-EE,2016,0.0,-12.0,Risers,M,,,,,
L10-EE,2016,0.0,-12.0,Caissons,M,,,,,
L10-EE,2016,0.0,-12.0,Conductors,M,80.0,50.0,10.0,30.0,
L10-EE,2016,-12.0,-27.4,Rows and Elevations,M,5.0,10.0,100.0,100.0,
L10-EE,2016,-12.0,-27.4,Risers,M,,,,,
L10-EE,2016,-12.0,-27.4,Caissons,M,,,,,
L10-EE,2016,-12.0,-27.4,Conductors,M,0.0,0.0,100.0,80.0,
L10-EE,2016,3.0,-12.0,Row 1-2,A,80.0,80.0,20.0,30.0,
L10-EE,2016,3.0,-12.0,Row 2-3,A,95.0,80.0,5.0,30.0,
L10-EE,2016,3.0,-12.0,Row 3-1,A,95.0,80.0,5.0,30.0,
L10-EE,2016,-12.0,-30.0,Row 1-2,A,5.0,10.0,95.0,60.0,
L10-EE,2016,-12.0,-30.0,Row 2-3,A,0.0,0.0,100.0,100.0,
L10-EE,2016,-12.0,-30.0,Row 3-1,A,0.0,0.0,100.0,100.0,
L10-EE,2016,-4.8,-4.8,Level 1,A,100.0,60.0,0.0,0.0,
L10-EE,2016,-4.8,-4.8,Conductor Field,A,95.0,60.0,5.0,20.0,
L10-EE,2016,-15.5,-15.5,Level 2,A,0.0,0.0,100.0,60.0,
L10-EE,2016,-15.5,-15.5,Conductor Field,A,0.0,0.0,100.0,60.0,
L10-EE,2016,-27.4,-27.4,Level 3,A,0.0,0.0,100.0,100.0,
L10-EE,2016,-27.4,-27.4,Conductor Field,A,0.0,0.0,100.0,100.0,
L10-EE,2013,0.0,-12.0,Rows and Elevations,A,,,,,
L10-EE,2013,0.0,-12.0,Risers,A,,,,,
L10-EE,2013,0.0,-12.0,Caissons,A,,,,,
L10-EE,2013,0.0,-12.0,Conductors,A,,,,,
L10-EE,2013,-12.0,-27.4,Rows and Elevations,A,,,,,
L10-EE,2013,-12.0,-27.4,Risers,A,,,,,
L10-EE,2013,-12.0,-27.4,Caissons,A,,,,,
L10-EE,2013,-12.0,-27.4,Conductors,A,,,,,
