platform,year,depthmin,depthmax,Item,AvgMax,hardperc,hardmm,softperc,softmm,Remarks
L10-F,2016,0.0,-12.0,Rows and Elevations,A,95.0,76.0,5.0,33.0,
L10-F,2016,0.0,-12.0,Risers,A,80.0,50.0,20.0,30.0,
L10-F,2016,0.0,-12.0,Caissons,A,65.0,50.0,35.0,50.0,
L10-F,2016,0.0,-12.0,Conductors,A,100.0,80.0,0.0,0.0,
L10-F,2016,-12.0,-27.4,Rows and Elevations,A,2.0,30.0,96.0,57.0,
L10-F,2016,-12.0,-27.4,Risers,A,0.0,0.0,100.0,60.0,
L10-F,2016,-12.0,-27.4,Caissons,A,,,,,
L10-F,2016,-12.0,-27.4,Conductors,A,0.0,0.0,100.0,100.0,
L10-F,2016,0.0,-12.0,Rows and Elevations,M,100.0,100.0,10.0,40.0,
L10-F,2016,0.0,-12.0,Risers,M,80.0,50.0,20.0,30.0,
L10-F,2016,0.0,-12.0,Caissons,M,80.0,50.0,50.0,50.0,
L10-F,2016,0.0,-12.0,Conductors,M,100.0,80.0,0.0,0.0,
L10-F,2016,-12.0,-27.4,Rows and Elevations,M,10.0,30.0,100.0,80.0,
L10-F,2016,-12.0,-27.4,Risers,M,0.0,0.0,100.0,60.0,
L10-F,2016,-12.0,-27.4,Caissons,M,,,,,
L10-F,2016,-12.0,-27.4,Conductors,M,0.0,0.0,100.0,100.0,
L10-F,2016,3.0,-12.0,Row 1,A,90.0,60.0,10.0,40.0,
L10-F,2016,3.0,-12.0,Row 2,A,100.0,100.0,0.0,0.0,
L10-F,2016,3.0,-12.0,Row A,A,90.0,50.0,10.0,30.0,
L10-F,2016,3.0,-12.0,Row B,A,90.0,80.0,10.0,30.0,
L10-F,2016,-12.0,-27.4,Row 1,A,5.0,30.0,90.0,60.0,
L10-F,2016,-12.0,-27.4,Row 2,A,0.0,0.0,100.0,80.0,
L10-F,2016,-12.0,-27.4,Row A,A,0.0,0.0,100.0,60.0,
L10-F,2016,-12.0,-27.4,Row B,A,10.0,30.0,90.0,80.0,
L10-F,2016,-4.9,-4.9,Level 1,A,100.0,80.0,0.0,0.0,
L10-F,2016,-4.9,-4.9,Conductor Field,A,100.0,80.0,0.0,0.0,
L10-F,2016,-15.5,-15.5,Level 2,A,0.0,0.0,95.0,30.0,
L10-F,2016,-15.5,-15.5,Conductor Field,A,0.0,0.0,95.0,30.0,
L10-F,2016,-27.4,-27.4,Level 3,A,,,,,
L10-F,2016,-27.4,-27.4,Conductor Field,A,0.0,0.0,100.0,60.0,
L10-F,2014,0.0,-12.0,Rows and Elevations,A,14.0,34.0,32.0,26.0,
L10-F,2014,0.0,-12.0,Risers,A,20.0,40.0,100.0,5.0,
L10-F,2014,0.0,-12.0,Caissons,A,45.0,50.0,55.0,7.0,
L10-F,2014,0.0,-12.0,Conductors,A,44.0,43.0,36.0,18.0,
L10-F,2014,-12.0,-27.4,Rows and Elevations,A,8.0,35.0,45.0,38.0,
L10-F,2014,-12.0,-27.4,Risers,A,0.0,0.0,100.0,5.0,
L10-F,2014,-12.0,-27.4,Caissons,A,,,,,
L10-F,2014,-12.0,-27.4,Conductors,A,0.0,0.0,76.0,41.0,
L10-F,2014,0.0,-12.0,Rows and Elevations,M,30.0,40.0,70.0,40.0,
L10-F,2014,0.0,-12.0,Risers,M,20.0,40.0,100.0,5.0,
L10-F,2014,0.0,-12.0,Caissons,M,90.0,50.0,100.0,30.0,
L10-F,2014,0.0,-12.0,Conductors,M,60.0,50.0,80.0,30.0,
L10-F,2014,-12.0,-27.4,Rows and Elevations,M,30.0,40.0,80.0,40.0,
