platform,year,depthmin,depthmax,Item,AvgMax,hardperc,hardmm,softperc,softmm,Remarks
L10-G,2013,0.0,-12.0,Rows and Elevations,A,23.0,34.0,8.0,23.0,
L10-G,2013,0.0,-12.0,Risers,A,0.0,0.0,0.0,0.0,
L10-G,2013,0.0,-12.0,Caissons,A,23.0,28.0,3.0,25.0,
L10-G,2013,0.0,-12.0,Conductors,A,0.0,0.0,0.0,0.0,
L10-G,2013,-12.0,-27.4,Rows and Elevations,A,13.0,40.0,56.0,52.0,
L10-G,2013,-12.0,-27.4,Risers,A,0.0,0.0,13.0,15.0,
L10-G,2013,-12.0,-27.4,Caissons,A,,,,,
L10-G,2013,-12.0,-27.4,Conductors,A,20.0,40.0,60.0,60.0,
L10-G,2013,0.0,-12.0,Rows and Elevations,M,60.0,40.0,20.0,30.0,
L10-G,2013,0.0,-12.0,Risers,M,0.0,0.0,0.0,0.0,
L10-G,2013,0.0,-12.0,Caissons,M,40.0,30.0,5.0,25.0,
L10-G,2013,0.0,-12.0,Conductors,M,0.0,0.0,0.0,0.0,
L10-G,2013,-12.0,-27.4,Rows and Elevations,M,40.0,40.0,100.0,60.0,
L10-G,2013,-12.0,-27.4,Risers,M,0.0,0.0,25.0,15.0,
L10-G,2013,-12.0,-27.4,Caissons,M,,,,,
L10-G,2013,-12.0,-27.4,Conductors,M,20.0,40.0,60.0,60.0,
L10-G,2013,3.0,-4.0,Row 1,A,20.0,20.0,0.0,0.0,
L10-G,2013,3.0,-4.0,Row 2,A,0.0,0.0,0.0,0.0,
L10-G,2013,3.0,-4.0,Row A,A,60.0,40.0,20.0,20.0,
L10-G,2013,3.0,-4.0,Row B,A,10.0,25.0,10.0,30.0,
L10-G,2013,-4.0,-27.4,Row 1,A,10.0,40.0,50.0,50.0,
L10-G,2013,-4.0,-27.4,Row 2,A,30.0,40.0,30.0,40.0,
L10-G,2013,-4.0,-27.4,Row A,A,40.0,40.0,60.0,60.0,
L10-G,2013,-4.0,-27.4,Row B,A,10.0,40.0,50.0,50.0,
L10-G,2013,-4.0,-4.0,Level 1,A,0.0,0.0,0.0,0.0,
L10-G,2013,-4.0,-4.0,Conductor Field,A,0.0,0.0,0.0,0.0,
L10-G,2013,-15.5,-15.5,Level 2,A,0.0,0.0,100.0,60.0,
L10-G,2013,-15.5,-15.5,Conductor Field,A,0.0,0.0,100.0,50.0,
L10-G,2013,-27.4,-27.4,Level 3,A,0.0,0.0,100.0,50.0,
L10-G,2013,-27.4,-27.4,Conductor Field,A,0.0,0.0,100.0,50.0,
L10-G,2011,3.0,-12.0,Rows and Elevations,A,38.0,43.0,19.0,23.0,Marine Growth Removal (60%)
L10-G,2011,3.0,-12.0,Risers,A,0.0,0.0,50.0,13.0,
L10-G,2011,3.0,-12.0,Caissons,A,40.0,53.0,13.0,18.0,
L10-G,2011,3.0,-12.0,Conductors,A,0.0,0.0,80.0,26.0,
L10-G,2011,-12.0,-27.4,Rows and Elevations,A,28.0,50.0,56.0,50.0,
L10-G,2011,-12.0,-27.4,Risers,A,17.0,40.0,67.0,33.0,
L10-G,2011,-12.0,-27.4,Caissons,A,30.0,70.0,25.0,16.0,
L10-G,2011,-12.0,-27.4,Conductors,A,0.0,0.0,70.0,37.0,
L10-G,2011,3.0,-12.0,Rows and Elevations,M,90.0,60.0,70.0,60.0,Marine Growth Removal (60%)
L10-G,2011,3.0,-12.0,Risers,M,0.0,0.0,50.0,20.0,
L10-G,2011,3.0,-12.0,Caissons,M,80.0,70.0,30.0,20.0,
L10-G,2011,3.0,-12.0,Conductors,M,0.0,0.0,90.0,50.0,
L10-G,2011,-12.0,-27.4,Rows and Elevations,M,90.0,60.0,100.0,60.0,
L10-G,2011,-12.0,-27.4,Risers,M,50.0,40.0,100.0,40.0,
L10-G,2011,-12.0,-27.4,Caissons,M,60.0,70.0,30.0,20.0,
L10-G,2011,-12.0,-27.4,Conductors,M,0.0,0.0,80.0,50.0,
L10-G,2011,3.0,0.0,Row 1,A,0.0,0.0,10.0,10.0,
L10-G,2011,3.0,0.0,Row 2,A,0.0,0.0,10.0,10.0,
L10-G,2011,3.0,0.0,Row A,A,0.0,0.0,20.0,10.0,
L10-G,2011,3.0,0.0,Row B,A,20.0,20.0,10.0,20.0,
L10-G,2011,0.0,-4.0,Row 1,A,50.0,50.0,10.0,10.0,
L10-G,2011,0.0,-4.0,Row 2,A,10.0,20.0,0.0,0.0,
L10-G,2011,0.0,-4.0,Row A,A,70.0,10.0,10.0,10.0,
L10-G,2011,0.0,-4.0,Row B,A,30.0,40.0,10.0,20.0,
L10-G,2011,-4.0,-15.5,Row 1,A,90.0,50.0,0.0,0.0,
L10-G,2011,-4.0,-15.5,Row 2,A,60.0,40.0,30.0,30.0,
L10-G,2011,-4.0,-15.5,Row A,A,40.0,50.0,40.0,60.0,
L10-G,2011,-4.0,-15.5,Row B,A,70.0,60.0,20.0,50.0,
L10-G,2011,-15.5,-27.4,Row 1,A,10.0,50.0,80.0,60.0,
L10-G,2011,-15.5,-27.4,Row 2,A,30.0,50.0,60.0,60.0,
