platform,year,depthmin,depthmax,Item,AvgMax,hardperc,hardmm,softperc,softmm,Remarks
L10-L,2014,0,-12,Rows and Elevations,A,10.0,29.0,22.0,21.0,
L10-L,2014,0,-12,Risers,A,45.0,39.0,55.0,47.0,
L10-L,2014,0,-12,Caissons,A,67.0,36.0,17.0,14.0,
L10-L,2014,0,-12,Conductors,A,7.0,24.0,16.0,30.0,
L10-L,2014,-12,-27,Rows and Elevations,A,4.0,30.0,50.0,40.0,
L10-L,2014,-12,-27,Risers,A,0.0,0.0,90.0,12.0,
L10-L,2014,-12,-27,Caissons,A,,,,,
L10-L,2014,-12,-27,Conductors,A,1.0,20.0,56.0,40.0,
L10-L,2014,0,-12,Rows and Elevations,M,30.0,30.0,40.0,30.0,
L10-L,2014,0,-12,Risers,M,80.0,40.0,100.0,50.0,
L10-L,2014,0,-12,Caissons,M,80.0,40.0,20.0,20.0,
L10-L,2014,0,-12,Conductors,M,10.0,30.0,20.0,30.0,
L10-L,2014,-12,-27,Rows and Elevations,M,10.0,30.0,80.0,40.0,
L10-L,2014,-12,-27,Risers,M,0.0,0.0,100.0,20.0,
L10-L,2014,-12,-27,Caissons,M,,,,,
L10-L,2014,-12,-27,Conductors,M,5.0,20.0,60.0,40.0,
L10-L,2014,3,-12,Row 1,A,30.0,30.0,20.0,20.0,
L10-L,2014,3,-12,Row 2,A,5.0,30.0,20.0,20.0,
L10-L,2014,3,-12,Row A,A,5.0,20.0,40.0,20.0,
L10-L,2014,3,-12,Row B,A,10.0,30.0,10.0,30.0,
L10-L,2014,-12,-27,Row 1,A,10.0,30.0,80.0,40.0,
L10-L,2014,-12,-27,Row 2,A,10.0,30.0,60.0,40.0,
L10-L,2014,-12,-27,Row A,A,0.0,0.0,80.0,40.0,
L10-L,2014,-12,-27,Row B,A,5.0,30.0,80.0,40.0,
L10-L,2014,-12,-12,Level 1,A,10.0,30.0,20.0,20.0,
L10-L,2014,-12,-12,Conductor Field,A,0.0,0.0,20.0,20.0,
L10-L,2014,-27,-27,Level 2,A,0.0,0.0,0.0,0.0,
L10-L,2014,-27,-27,Conductor Field,A,0.0,0.0,0.0,0.0,
L10-L,2013,0,-12,Rows and Elevations,A,25.0,83.0,42.0,90.0,
L10-L,2013,0,-12,Risers,A,23.0,41.0,23.0,37.0,
L10-L,2013,0,-12,Caissons,A,60.0,60.0,31.0,61.0,
L10-L,2013,0,-12,Conductors,A,46.0,0.0,10.0,13.0,
