platform,year,depthmin,depthmax,Item,AvgMax,hardperc,hardmm,softperc,softmm,Remarks
L10-M,2016,0,-12,Rows and Elevations,A,30.0,49.0,70.0,45.0,
L10-M,2016,0,-12,Risers,A,30.0,30.0,70.0,30.0,
L10-M,2016,0,-12,Caissons,A,7.0,30.0,93.0,20.0,
L10-M,2016,0,-12,Conductors,A,40.0,50.0,60.0,47.0,
L10-M,2016,-12,-26,Rows and Elevations,A,0.0,0.0,100.0,73.0,
L10-M,2016,-12,-26,Risers,A,0.0,0.0,100.0,50.0,
L10-M,2016,-12,-26,Caissons,A,,,,,
L10-M,2016,-12,-26,Conductors,A,0.0,0.0,100.0,57.0,
L10-M,2016,0,-12,Rows and Elevations,M,50.0,50.0,95.0,50.0,
L10-M,2016,0,-12,Risers,M,30.0,30.0,70.0,30.0,
L10-M,2016,0,-12,Caissons,M,10.0,30.0,100.0,30.0,
L10-M,2016,0,-12,Conductors,M,40.0,50.0,60.0,60.0,
L10-M,2016,-12,-26,Rows and Elevations,M,0.0,0.0,100.0,80.0,
L10-M,2016,-12,-26,Risers,M,0.0,0.0,100.0,50.0,
L10-M,2016,-12,-26,Caissons,M,,,,,
L10-M,2016,-12,-26,Conductors,M,0.0,0.0,100.0,60.0,
L10-M,2016,3,-12,Row 1,A,40.0,50.0,60.0,40.0,
L10-M,2016,3,-12,Row 2,A,40.0,50.0,60.0,40.0,
L10-M,2016,3,-12,Row A,A,40.0,50.0,60.0,40.0,
L10-M,2016,3,-12,Row B,A,50.0,50.0,50.0,40.0,
L10-M,2016,-12,-26,Row 1,A,0.0,0.0,100.0,80.0,
L10-M,2016,-12,-26,Row 2,A,0.0,0.0,100.0,80.0,
L10-M,2016,-12,-26,Row A,A,0.0,0.0,100.0,80.0,
L10-M,2016,-12,-26,Row B,A,0.0,0.0,100.0,60.0,
L10-M,2016,-12,-12,Level 1,A ,5.0,30.0,95.0,50.0,
L10-M,2016,-12,-12,Conductor Field,A,5.0,30.0,95.0,50.0,
L10-M,2016,-26,-26,Level 2,A,0.0,0.0,100.0,70.0,
L10-M,2016,-26,-26,Conductor Field,A,0.0,0.0,100.0,70.0,
L10-M,2013,0,-12,Rows and Elevations,A,62.0,17.0,38.0,17.0,
L10-M,2013,0,-12,Risers,A,0.0,0.0,100.0,20.0,
L10-M,2013,0,-12,Caissons,A,100.0,30.0,0.0,0.0,
L10-M,2013,0,-12,Conductors,A,83.0,0.0,17.0,10.0,
L10-M,2013,-12,-26,Rows and Elevations,A,10.0,10.0,90.0,38.0,
L10-M,2013,-12,-26,Risers,A,0.0,0.0,100.0,20.0,
L10-M,2013,-12,-26,Caissons,A,,,,,
L10-M,2013,-12,-26,Conductors,A,0.0,0.0,100.0,30.0,
L10-M,2013,0,-12,Rows and Elevations,M,80.0,20.0,50.0,20.0,
L10-M,2013,0,-12,Risers,M,0.0,0.0,100.0,20.0,
L10-M,2013,0,-12,Caissons,M,100.0,30.0,0.0,40.0,
L10-M,2013,0,-12,Conductors,M,100.0,10.0,50.0,10.0,
L10-M,2013,-12,-26,Rows and Elevations,M,50.0,10.0,100.0,50.0,
L10-M,2013,-12,-26,Risers,M,0.0,0.0,100.0,20.0,
L10-M,2013,-12,-26,Caissons,M,,,,,
L10-M,2013,-12,-26,Conductors,M,0.0,0.0,100.0,40.0,
L10-M,2013,3,-12,Row 1,A,80.0,20.0,20.0,20.0,
L10-M,2013,3,-12,Row 2,A,80.0,20.0,20.0,20.0,
L10-M,2013,3,-12,Row A,A,50.0,10.0,50.0,20.0,
L10-M,2013,3,-12,Row B,A,50.0,20.0,50.0,20.0,
L10-M,2013,-12,-26,Row 1,A,0.0,0.0,100.0,20.0,
L10-M,2013,-12,-26,Row 2,A,0.0,0.0,100.0,20.0,
L10-M,2013,-12,-26,Row A,A,50.0,10.0,50.0,40.0,
L10-M,2013,-12,-26,Row B,A,0.0,0.0,100.0,50.0,
L10-M,2013,-12,-12,Level 1,A ,50.0,10.0,50.0,10.0,
L10-M,2013,-12,-12,Conductor Field,A,50.0,10.0,50.0,10.0,
L10-M,2013,-26,-26,Level 2,A,0.0,0.0,100.0,50.0,
L10-M,2013,-26,-26,Conductor Field,A,0.0,0.0,100.0,40.0,
L10-M,2011,3,-12,Rows and Elevations,A,30.0,45.0,34.0,20.0,
L10-M,2011,3,-12,Risers,A,100.0,100.0,0.0,0.0,Marine Growth Removal
L10-M,2011,3,-12,Caissons,A,10.0,9.0,25.0,10.0,Marine Growth Removal
L10-M,2011,3,-12,Conductors,A,38.0,70.0,20.0,15.0,
L10-M,2011,-12,-26,Rows and Elevations,A,28.0,54.0,70.0,69.0,
L10-M,2011,-12,-26,Risers,A,40.0,80.0,10.0,50.0,Marine Growth Removal
L10-M,2011,-12,-26,Caissons,A,0.0,0.0,10.0,5.0,Marine Growth Removal
L10-M,2011,-12,-26,Conductors,A,43.0,64.0,47.0,40.0,
L10-M,2011,3,-12,Rows and Elevations,M,90.0,50.0,80.0,30.0,
L10-M,2011,3,-12,Risers,M,100.0,100.0,0.0,0.0,Marine Growth Removal
L10-M,2011,3,-12,Caissons,M,30.0,10.0,80.0,10.0,Marine Growth Removal
L10-M,2011,3,-12,Conductors,M,90.0,70.0,30.0,30.0,
L10-M,2011,-12,-26,Rows and Elevations,M,50.0,60.0,100.0,80.0,
L10-M,2011,-12,-26,Risers,M,80.0,80.0,20.0,50.0,Marine Growth Removal
L10-M,2011,-12,-26,Caissons,M,0.0,0.0,10.0,5.0,Marine Growth Removal
L10-M,2011,-12,-26,Conductors,M,70.0,70.0,80.0,40.0,
L10-M,2011,3,0,Row 1,A,0.0,0.0,80.0,10.0,
L10-M,2011,3,0,Row 2,A,0.0,0.0,10.0,10.0,
L10-M,2011,3,0,Row A,A,0.0,0.0,10.0,10.0,
L10-M,2011,3,0,Row B,A,0.0,0.0,10.0,10.0,
L10-M,2011,0,-12,Row 1,A,50.0,50.0,40.0,20.0,
L10-M,2011,0,-12,Row 2,A,60.0,50.0,20.0,30.0,
L10-M,2011,0,-12,Row A,A,90.0,50.0,10.0,10.0,
L10-M,2011,0,-12,Row B,A,50.0,40.0,40.0,30.0,
L10-M,2011,-12,-26,Row 1,A,40.0,60.0,50.0,60.0,
L10-M,2011,-12,-26,Row 2,A,30.0,60.0,70.0,70.0,
L10-M,2011,-12,-26,Row A,A,40.0,50.0,60.0,70.0,
L10-M,2011,-12,-26,Row B,A,50.0,50.0,50.0,50.0,
L10-M,2011,-12,-12,Level 1,A ,30.0,30.0,60.0,30.0,
L10-M,2011,-12,-12,Conductor Field,A,20.0,30.0,60.0,20.0,
L10-M,2011,-26,-26,Level 2,A,0.0,0.0,100.0,70.0,
L10-M,2011,-26,-26,Conductor Field,A,5.0,30.0,90.0,80.0,
L10-M,2009,3,-12,Rows and Elevations,A,79.0,58.0,11.0,50.0,
L10-M,2009,3,-12,Risers,A,85.0,86.0,8.0,50.0,
L10-M,2009,3,-12,Caissons,A,93.0,75.0,5.0,40.0,
L10-M,2009,3,-12,Conductors,A,53.0,51.0,37.0,60.0,
L10-M,2009,-12,-26,Rows and Elevations,A,0.0,0.0,100.0,65.0,
L10-M,2009,-12,-26,Risers,A,8.0,60.0,83.0,67.0,
L10-M,2009,-12,-26,Caissons,A,20.0,45.0,30.0,40.0,
L10-M,2009,-12,-26,Conductors,A,22.0,80.0,77.0,73.0,
L10-M,2009,3,-12,Rows and Elevations,M,100.0,60.0,50.0,50.0,
L10-M,2009,3,-12,Risers,M,100.0,100.0,30.0,50.0,
L10-M,2009,3,-12,Caissons,M,100.0,100.0,20.0,40.0,
L10-M,2009,3,-12,Conductors,M,100.0,80.0,90.0,80.0,
L10-M,2009,-12,-26,Rows and Elevations,M,0.0,0.0,100.0,80.0,
L10-M,2009,-12,-26,Risers,M,30.0,60.0,100.0,80.0,
L10-M,2009,-12,-26,Caissons,M,20.0,50.0,60.0,40.0,
L10-M,2009,-12,-26,Conductors,M,50.0,80.0,100.0,80.0,
L10-M,2009,3,0,Row 1,A,70.0,60.0,20.0,50.0,
L10-M,2009,3,0,Row 2,A,80.0,60.0,0.0,0.0,
L10-M,2009,3,0,Row A,A,80.0,60.0,0.0,0.0,
L10-M,2009,3,0,Row B,A,100.0,60.0,0.0,0.0,
L10-M,2009,0,-12,Row 1,A,40.0,50.0,50.0,50.0,
L10-M,2009,0,-12,Row 2,A,90.0,60.0,0.0,0.0,
L10-M,2009,0,-12,Row A,A,90.0,60.0,0.0,0.0,
L10-M,2009,0,-12,Row B,A,80.0,50.0,20.0,50.0,
L10-M,2009,-12,-26,Row 1,A,0.0,0.0,100.0,50.0,
L10-M,2009,-12,-26,Row 2,A,0.0,0.0,100.0,60.0,
L10-M,2009,-12,-26,Row A,A,0.0,0.0,100.0,80.0,
L10-M,2009,-12,-26,Row B,A,0.0,0.0,100.0,60.0,
L10-M,2009,-12,-12,Level 1,A ,0.0,0.0,80.0,30.0,
