platform,year,depthmin,depthmax,Item,AvgMax,hardperc,hardmm,softperc,softmm,Remarks
L5-A,2016,0.0,-12.0,Rows and Elevations,A,43.0,52.0,57.0,41.0,
L5-A,2016,0.0,-12.0,Risers,A,,,,,
L5-A,2016,0.0,-12.0,Caissons,A,,,,,
L5-A,2016,0.0,-12.0,Conductors,A,10.0,10.0,90.0,20.0,
L5-A,2016,-12.0,-40.3,Rows and Elevations,A,5.0,22.0,93.0,124.0,
L5-A,2016,-12.0,-40.3,Risers,A,,,,,
L5-A,2016,-12.0,-40.3,Caissons,A,,,,,
L5-A,2016,-12.0,-40.3,Conductors,A,0.0,0.0,100.0,100.0,
L5-A,2016,0.0,-12.0,Rows and Elevations,M,80.0,90.0,100.0,100.0,
L5-A,2016,0.0,-12.0,Risers,M,,,,,
L5-A,2016,0.0,-12.0,Caissons,M,,,,,
L5-A,2016,0.0,-12.0,Conductors,M,10.0,10.0,90.0,20.0,
L5-A,2016,-12.0,-40.3,Rows and Elevations,M,20.0,30.0,100.0,150.0,
L5-A,2016,-12.0,-40.3,Risers,M,,,,,
L5-A,2016,-12.0,-40.3,Caissons,M,,,,,
L5-A,2016,-12.0,-40.3,Conductors,M,0.0,0.0,100.0,100.0,
L5-A,2016,3.0,-12.0,Row 1,A,60.0,50.0,40.0,30.0,
L5-A,2016,3.0,-12.0,Row 2,A,50.0,30.0,50.0,30.0,
L5-A,2016,3.0,-12.0,Row A,A,40.0,90.0,60.0,100.0,
L5-A,2016,3.0,-12.0,Row B,A,80.0,50.0,20.0,30.0,
L5-A,2016,3.0,-12.0,Row C,A,70.0,50.0,30.0,30.0,
L5-A,2016,-12.0,-40.3,Row 1,A,10.0,30.0,90.0,120.0,
L5-A,2016,-12.0,-40.3,Row 2,A,20.0,30.0,80.0,150.0,
L5-A,2016,-12.0,-40.3,Row A,A,0.0,0.0,90.0,150.0,
L5-A,2016,-12.0,-40.3,Row B,A,20.0,10.0,80.0,150.0,
L5-A,2016,-12.0,-40.3,Row C,A,0.0,0.0,100.0,150.0,
L5-A,2016,-9.0,-9.0,Level 1,A,0.0,0.0,100.0,40.0,
L5-A,2016,-9.0,-9.0,Conductor Field,A,0.0,0.0,100.0,20.0,
L5-A,2016,-24.0,-24.0,Level 2,A,0.0,0.0,100.0,150.0,
L5-A,2016,-24.0,-24.0,Conductor Field,A,0.0,0.0,100.0,150.0,
L5-A,2016,-40.3,-40.3,Level 3,A,0.0,0.0,90.0,130.0,
L5-A,2016,-40.3,-40.3,Conductor Field,A,,,,,
L5-A,2012,3.0,-12.0,Rows and Elevations,A,46.0,8.0,54.0,30.0,
L5-A,2012,3.0,-12.0,Risers,A,53.0,13.0,47.0,27.0,
L5-A,2012,3.0,-12.0,Caissons,A,,,,,Marine Growth Removal prior to inspection
L5-A,2012,3.0,-12.0,Conductors,A,57.0,13.0,43.0,5.0,
L5-A,2012,-12.0,-40.3,Rows and Elevations,A,8.0,9.0,92.0,34.0,
L5-A,2012,-12.0,-40.3,Risers,A,13.0,12.0,87.0,33.0,
L5-A,2012,-12.0,-40.3,Caissons,A,,,,,Marine Growth Removal prior to inspection
L5-A,2012,-12.0,-40.3,Conductors,A,30.0,13.0,70.0,40.0,
L5-A,2012,3.0,-12.0,Rows and Elevations,M,90.0,10.0,100.0,40.0,
L5-A,2012,3.0,-12.0,Risers,M,90.0,30.0,90.0,40.0,
