platform,year,depthmin,depthmax,Item,AvgMax,hardperc,hardmm,softperc,softmm,Remarks
Q13-A,2016,0.0,-12.0,Rows and Elevations,A,80.0,150,20.0,150.0,
Q13-A,2016,0.0,-12.0,Risers,A,100.0,130,0.0,0.0,
Q13-A,2016,0.0,-12.0,Caissons,A,,,,,
Q13-A,2016,0.0,-12.0,Conductors,A,,,,,
Q13-A,2016,-12.0,-17.5,Rows and Elevations,A,17.0,68,83.0,114.0,
Q13-A,2016,-12.0,-17.5,Risers,A,100.0,100,0.0,0.0,
Q13-A,2016,-12.0,-17.5,Caissons,A,,,,,
Q13-A,2016,-12.0,-17.5,Conductors,A,,,,,
Q13-A,2016,0.0,-12.0,Rows and Elevations,M,80.0,150,20.0,150.0,
Q13-A,2016,0.0,-12.0,Risers,M,100.0,130,0.0,0.0,
Q13-A,2016,0.0,-12.0,Caissons,M,,,,,
Q13-A,2016,0.0,-12.0,Conductors,M,,,,,
Q13-A,2016,-12.0,-17.5,Rows and Elevations,M,20.0,80,90.0,150.0,
Q13-A,2016,-12.0,-17.5,Risers,M,100.0,100,0.0,0.0,
Q13-A,2016,-12.0,-17.5,Caissons,M,,,,,
Q13-A,2016,-12.0,-17.5,Conductors,M,,,,,
Q13-A,2016,3.0,-12.0,Row 1,A,80.0,150,20.0,150.0,
Q13-A,2016,3.0,-12.0,Row 2,A,80.0,150,20.0,150.0,
Q13-A,2016,3.0,-12.0,Row A,A,80.0,150,20.0,150.0,
Q13-A,2016,3.0,-12.0,Row B,A,80.0,150,20.0,150.0,
Q13-A,2016,-12.0,-17.5,Row 1,A,20.0,50,80.0,80.0,
Q13-A,2016,-12.0,-17.5,Row 2,A,20.0,80,80.0,150.0,
Q13-A,2016,-12.0,-17.5,Row A,A,20.0,80,80.0,150.0,
Q13-A,2016,-12.0,-17.5,Row B,A,20.0,80,80.0,150.0,
Q13-A,2016,-6.0,-6.0,Level 1,A ,,,,,
Q13-A,2016,-6.0,-6.0,Conductor Field,A,,,,,
Q13-A,2016,-17.5,-17.5,Level 2,A,10.0,50,90.0,80.0,
Q13-A,2016,-17.5,-17.5,Conductor Field,A,10.0,50,90.0,80.0,
Q13-A,2017,0.0,-12.0,Rows and Elevations,A,2.0,30,98.0,6.0,
Q13-A,2017,0.0,-12.0,Risers,A,,,,,
Q13-A,2017,0.0,-12.0,Caissons,A,0.0,0,100.0,10.0,
Q13-A,2017,0.0,-12.0,Conductors,A,0.0,0,100.0,10.0,
Q13-A,2017,-12.0,-17.5,Rows and Elevations,A,23.0,41,77.0,17.0,
Q13-A,2017,-12.0,-17.5,Risers,A,,,,,
Q13-A,2017,-12.0,-17.5,Caissons,A,,,,,
Q13-A,2017,-12.0,-17.5,Conductors,A,29.0,`77,71.0,13.0,
Q13-A,2017,0.0,-12.0,Rows and Elevations,M,10.0,30,100.0,20.0,
Q13-A,2017,0.0,-12.0,Risers,M,,,,,
Q13-A,2017,0.0,-12.0,Caissons,M,0.0,0,100.0,10.0,
Q13-A,2017,0.0,-12.0,Conductors,M,0.0,0,100.0,30.0,
Q13-A,2017,-12.0,-17.5,Rows and Elevations,M,50.0,50,100.0,30.0,
Q13-A,2017,-12.0,-17.5,Risers,M,,,,,
Q13-A,2017,-12.0,-17.5,Caissons,M,,,,,
Q13-A,2017,-12.0,-17.5,Conductors,M,90.0,100,100.0,40.0,
Q13-A,2017,3.0,-12.0,Row 1,A,0.0,0,100.0,3.0,
Q13-A,2017,3.0,-12.0,Row 2,A,0.0,0,100.0,10.0,
Q13-A,2017,3.0,-12.0,Row A,A,10.0,30,90.0,5.0,
Q13-A,2017,3.0,-12.0,Row B,A,0.0,0,100.0,20.0,
Q13-A,2017,-12.0,-17.5,Row 1,A,0.0,0,100.0,2.0,
Q13-A,2017,-12.0,-17.5,Row 2,A,0.0,0,100.0,20.0,
Q13-A,2017,-12.0,-17.5,Row A,A,50.0,50,50.0,30.0,
Q13-A,2017,-12.0,-17.5,Row B,A,50.0,50,50.0,20.0,
Q13-A,2017,-6.0,-6.0,Level 1,A ,0.0,0,100.0,5.0,
Q13-A,2017,-6.0,-6.0,Conductor Field,A,0.0,0,100.0,5.0,
Q13-A,2017,-17.5,-17.5,Level 2,A,20.0,20,80.0,20.0,
Q13-A,2017,-17.5,-17.5,Conductor Field,A,20.0,20,80.0,20.0,
