platform,year,depthmin,depthmax,item,hardPerc,hardmm,softPerc,softmm,Total_Area_Coverage,Recommended_Cleaning_Method
E17-A,2003,-9,-7,Risers,0,127,44,84,8,Mechanical cleaning methods
L10-B,2002,-31,-34,Risers,47,122,72,54,72,Mechanical cleaning methods
K12-G,2012,-37,-13,Row E,3,159,88,101,88,Mechanical cleaning methods
L10-BB,2002,-27,-10,Caissons,28,14,92,78,91,High-pressure water jetting
L10-AP,2003,-42,-13,Level 2 ,3,245,60,171,60,Mechanical cleaning methods
K12-BD,2011,-24,-15,Row E,43,146,42,35,85,Mechanical cleaning methods
G16-A,2007,-37,-4,Row 1-2,41,17,99,113,86,High-pressure water jetting
L10-F,2007,-41,-34,Level 1 ,28,42,99,161,80,High-pressure water jetting
G17-AP,2012,-39,-30,Row 2,18,74,54,154,54,Mechanical cleaning methods
K12-CC,2014,-7,-40,Level 2 ,11,232,22,154,89,Mechanical cleaning methods
L10-AR,2017,-39,-42,Level 1,0,82,90,190,51,Mechanical cleaning methods
G16-A,2011,-41,-37,Row E,97,33,91,13,71,Mechanical cleaning methods
E17-A,2014,-34,0,Row E,41,115,83,103,83,Mechanical cleaning methods
K12-CC,2000,-39,-38,Row 2,31,153,11,85,74,Mechanical cleaning methods
K12-BP,2012,3,-38,Row 1-2,61,236,2,189,90,Mechanical cleaning methods
K12-BP,2004,-32,-18,Caissons,37,125,97,25,90,Mechanical cleaning methods
K12-A,2011,-37,-9,Level 3,15,92,34,8,77,Mechanical cleaning methods
K9-A,2017,-26,-12,Level 3,60,160,19,135,81,Mechanical cleaning methods
L10-G,2010,-12,-19,Row B,4,38,71,83,88,High-pressure water jetting
L10-B,2008,-10,-19,Row D,46,247,83,178,86,Mechanical cleaning methods
G14-B,2014,-7,-42,Row 1-2,20,127,35,185,35,Mechanical cleaning methods
L10-G,2016,-33,-33,Row B,45,7,78,34,78,High-pressure water jetting
E17-A,2013,-12,-24,Risers,35,46,43,154,76,High-pressure water jetting
K12-D,2004,-18,-32,Row D,5,22,54,196,54,High-pressure water jetting
K2-A,2012,-40,-34,Level 2 ,88,38,95,63,86,Mechanical cleaning methods
L10-F,2013,-18,-40,Row 3,39,92,8,188,39,Mechanical cleaning methods
G17-AP,2003,-38,-38,Caissons,28,0,40,155,76,High-pressure water jetting
K12-K,2014,3,-13,Row 5,64,129,87,179,11,Mechanical cleaning methods
K12-BD,1999,-19,-34,Risers,94,249,35,135,90,Mechanical cleaning methods
L10-M,2003,-17,-42,Rows and Elevations,53,213,2,101,53,Mechanical cleaning methods
K12-K,2002,-37,-8,Level 3,93,179,78,104,81,Mechanical cleaning methods
K9-C,2004,-29,-39,Row A,48,190,26,95,48,Mechanical cleaning methods
D15-A,1999,-39,-24,Level 2,47,25,72,51,72,High-pressure water jetting
G14-A,2012,-40,4,Row 1,57,19,100,190,81,High-pressure water jetting
L10-L,2010,-33,-19,Row 5,41,92,95,103,90,Mechanical cleaning methods
K9-B,2016,-27,-39,Row 1,1,93,26,155,26,Mechanical cleaning methods
L10-M,2007,-13,-10,Row D,28,22,64,192,88,High-pressure water jetting
K12-D,2003,-15,-29,Row 1,7,3,39,95,73,High-pressure water jetting
L10-B,2005,-26,-13,Level 1,48,44,43,183,76,High-pressure water jetting
