Structure_ID,Structure_Type,Location,Age (years),Last_Cleaning,Image_Path,Detected_Algae (%),Detected_Barnacles (%),Detected_Mussels (%),Total_Coverage (%),Recommended_Cleaning_Method
644,L10-AC,North Sea,15,2019-07-26,/path/img644,18,30,3,51,Method B
319,L10-M,North Sea,11,2015-11-22,/path/img319,39,25,30,94,Method A
413,L10-L,North Sea,12,2018-04-14,/path/img413,13,19,10,42,Method A
805,K12-K,North Sea,12,2019-11-20,/path/img805,24,5,22,51,Method B
320,L10-AR,North Sea,6,2020-08-14,/path/img320,34,32,27,93,Method A
021,G16-A,North Sea,12,2020-10-04,/path/img021,17,10,12,39,Method A
080,L10-AD,North Sea,13,2017-04-17,/path/img080,29,32,20,81,Method C
637,L10-C,North Sea,20,2019-12-11,/path/img637,49,13,10,72,Method A
978,E17-A,North Sea,1,2020-01-05,/path/img978,36,18,20,74,Method A
688,L10-C,North Sea,9,2018-02-23,/path/img688,10,37,3,50,Method A
349,L10-L,North Sea,14,2015-05-05,/path/img349,36,27,24,87,Method A
727,L10-C,North Sea,20,2015-12-10,/path/img727,27,3,4,34,Method C
030,K9-C,North Sea,4,2016-07-28,/path/img030,19,5,15,39,Method B
655,G14-B,North Sea,15,2018-01-21,/path/img655,7,24,27,58,Method B
873,K12-BD,North Sea,10,2016-01-29,/path/img873,46,37,25,100,Method B
444,Q13-A,North Sea,5,2015-09-25,/path/img444,15,0,18,33,Method B
581,K9-C,North Sea,3,2015-01-11,/path/img581,33,21,5,59,Method A
833,K12-G,North Sea,15,2017-07-11,/path/img833,38,31,17,86,Method B
009,K12-A,North Sea,8,2019-12-07,/path/img009,44,33,7,84,Method A
626,D15-A,North Sea,14,2019-11-05,/path/img626,4,7,18,29,Method A
854,L10-F,North Sea,4,2019-06-16,/path/img854,37,18,27,82,Method B
715,G14-B,North Sea,5,2017-02-09,/path/img715,8,22,23,53,Method C
716,G14-A,North Sea,11,2016-03-10,/path/img716,16,2,24,42,Method C
453,K12-BD,North Sea,3,2015-12-11,/path/img453,55,29,27,100,Method B
823,G16-B,North Sea,16,2017-01-20,/path/img823,58,8,2,68,Method C
235,L10-BB,North Sea,1,2020-03-20,/path/img235,56,30,30,100,Method A
