platform,year,depthmin,depthmax,item,hardPerc,hardmm,softPerc,softmm,Total_Area_Coverage,Recommended_Cleaning_Method
G16-A,2000,-37,-14,Row A,74,85,10,67,74,Mechanical cleaning methods
G17-AP,2004,-9,-17,Caissons,34,183,38,31,87,Mechanical cleaning methods
G14-B,2010,-42,-14,Row B,65,175,30,26,65,Mechanical cleaning methods
D15-A,2010,-18,-9,Row C,43,89,40,30,87,Mechanical cleaning methods
K12-G,2011,-26,-32,Level 1 ,17,219,37,179,37,Mechanical cleaning methods
K9-B,2009,-26,-33,Row 4,83,31,4,13,83,Mechanical cleaning methods
L5-A,2004,-31,-7,Rows and Elevations,9,118,84,103,70,Mechanical cleaning methods
K12-G,2014,-34,-40,Level 3,49,206,39,144,91,Mechanical cleaning methods
K12-CC,2000,-27,0,Level 2,23,58,20,79,79,Mechanical cleaning methods
L10-C,2012,-13,-38,Level 2 ,22,96,40,11,40,Mechanical cleaning methods
L5-A,2000,-26,-17,Row 2-3,53,71,17,85,87,Mechanical cleaning methods
L10-AC,2004,-8,-16,Rows and Elevations,41,121,34,86,79,Mechanical cleaning methods
L10-G,2005,-12,-31,Row E,44,200,2,92,70,Mechanical cleaning methods
L10-M,2013,-31,-42,Level 1,20,80,18,7,91,Mechanical cleaning methods
L10-D,2008,-6,-14,Level 3,29,244,12,147,8,Mechanical cleaning methods
L10-AD,2006,-17,-4,Level 1,86,180,1,146,76,Mechanical cleaning methods
K12-CC,2001,-11,-10,Row 5,86,139,13,166,90,Mechanical cleaning methods
E17-A,2016,-33,-26,Rows and Elevations,20,129,51,3,51,Mechanical cleaning methods
G16-A,2000,-32,-17,Conductors,25,13,7,92,25,High-pressure water jetting
G17-A,2012,-18,-13,Row 4,7,47,42,21,79,Laser cleaning
L10-G,2013,-38,-15,Row 4,80,244,19,92,80,Mechanical cleaning methods
L10-AD,2011,-30,-11,Row D,42,196,20,182,74,Mechanical cleaning methods
E17-A,2002,-19,-18,Row D,58,236,34,70,72,Mechanical cleaning methods
